"업소아이디","업소명","분류코드","분류코드명","업소 주소","업소 전화번호","찾아오시는 길","업소정보","자랑거리","추천수","기준년월","업소 사진"
"00006764","토방 닭 한마리","001","한식","서울특별시 관악구 신림로22길 5 (신림동)","874-6895        ","신성부동산 건물 바로 뒷건물","영업시간 : 오전 10시 ~ 오후 10시 좌석수 : 50석 예약 : 가능 카드 : 가능 배달 : 불가능 주차 : 가능 휴무일 : 첫째 셋째 화요일     ","▷관악구 평균가격보다 10% 저렴 ▷반찬을 여러가지 하지 않고 김치와 깍두기 두가지만 맛있게 준비하여 재료비 절감 ▷15년 전통의 맛집","214","21-2","http://tearstop.seoul.go.kr/mulga/photo/20220718182757.jpg"
"00006412","호계대중사우나","006","목욕업","서울특별시 중랑구 봉화산로56길 153 (신내동) 지하2층","433-5490        ","신내1동 대명프라자 상가 지하 2층 ","영업시간 :05:00~20:00 휴무일 :없음 카드 :불가능 주차 :불가능 취급품목 : 목욕료(성인) 6500원    ","가격이 저렴하며 지하 150m 암반수만을 공급하여 물이 좋음 휴무일 없어서 언제든지 목욕 가능 ","210","21-2","http://tearstop.seoul.go.kr/mulga/photo/20151126102107.jpg"
"00006220","행복한미용실","005","이 미용업","서울특별시 관악구 양지2길 24 (신림동)","889-1882        ","- 신림6동 시장내 정씨약국 옆골목 10M","영업시간 : 오전 8시 ~ 오후 9시 좌석수 : 3석 휴무일 : 월요일 예약 : 가능 주차 : 불가능 기타 : 파마는 20000원부터 서비스에 따라 추가 될 수 있습니다.  카드 : 불가능     ","▷관악구 평균가격보다 10%이상 저렴 ▷경로자 커트 파마 20~30% 할인 ▷청소년 10%할인","182","21-2","http://tearstop.seoul.go.kr/mulga/photo/b36.jpg"
"00003436","재경헤어라인","005","이 미용업","서울특별시 관악구 봉천로13길 7 (봉천동)","889-8241        ","당곡 초등학교 뒷길에 위치하고 있습니다.","영업시간 : 오전 9시 ~ 오후 10시 좌석수 : 5 휴무일 : 1 3주째 일요일 예약 : 가능 카드 : 가능 주차 : 가능 기타 : 서비스에 따라 가격 변동 가능  ","▷관악구 평균가격(커트8500원)보다 6% 저렴","172","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120405104014.JPG"
"00006408","한독세탁","007","세탁업","서울특별시 중랑구 동일로 752 (중화동 중화한신아파트)  1층","433-2058        ","중화1동 한신아파트 상가내 ","영업시간 :08:00~20:00 좌석수 : 휴무일 :일요일 배달 :가능 카드 : 불가능 주차 : 가능 취급품목 : 양복세탁료 5000원  ","경력 15년의 실력으로 주변보다 30% 이상 저렴한 가격을 유지하는 업소 ","166","21-2","http://tearstop.seoul.go.kr/mulga/photo/한독세탁.JPG"
"00003986","왕세숫대야냉면(행복을파는집)","001","한식","서울특별시 강서구 공항대로 423(등촌동)","02-2668-3608","화진코스메틱에서 강서구청4거리쪽으로 조금만 올라오세요~","영업시간 : 24시간 좌석수 : 30개 휴무일 : 미정 배달 : 불가 카드 : 가능 주차 : 불가 홈페이지 주소 : 없음 전자우편주소 : 없음 기타 : 없음 ","많이 판매가 되므로 저렴한 가격유지 그날그날 신선한 재료사용하여 조리합니다.","163","21-2","http://tearstop.seoul.go.kr/mulga/photo/00003986.JPG"
"00008633","돌마리유황오리","001","한식","서울특별시 송파구 가락로 66 (석촌동)","423-6231","전철노선 : 8호선 송파역 4번출구에서 강남한의원 방면 도보 7분 버스노선 : 2142321533143217320360301100116 석촌역정류장 하차 도보 5분","영업시간 :10:00~23:00 예약 :가능 카드 :가능 좌석 :96석 배달 : 불가 주차 : 가능    ","친절 서비스","155","21-2","http://tearstop.seoul.go.kr/mulga/photo/20130619110215.JPG"
"00000263","장미미용실","005","이 미용업","서울특별시 서울 중랑구 용마산로129길 61-4","","신내1동 신내초등학교 후문 쪽","영업시간 :09시30분 - 22시 좌석수 :5석 휴무일 : 화요일 예약 :가능 카드 :가능 주차 :불가능 취급품목 : 미용료(파마) 20000원  기타: 어르신 컷트 파마시 할인       ","주변보다 저렴한 가격으로 서비스하며 어르신 파마와 커트 시 할인해주는 업소 '주변 평균가격(25000원)보다 20% 저렴한 업소로  6년동안 동일가격 유지'  ","137","21-2","http://tearstop.seoul.go.kr/mulga/photo/20151126103351.jpg"
"00000784","강헤어컬렉션","005","이 미용업","서울특별시 중랑구 겸재로49길 22","2208-4790     ","지하철 7호선 면목역 1번출구 쪽(면목초등학교 옆)","영업시간 :오전10시-오후9시 좌석수 :5석 휴무일 :24주 일요일 예약 :가능 카드 :무 주차 :불가 취급품목 : 파마 25000원    ","경력 16년의 노하우로 가격은 저렴하지만 좋은 약품으로 파마서비스","111","21-2","http://tearstop.seoul.go.kr/mulga/photo/20151126103906.jpg"
"00008171","벧엘 칼국수","001","한식","서울특별시 송파구 마천로41길 22 (마천동)","408-5151","버스노선 : 3314 3318 5 3417 마천1동 주민센터 하차 전철노선 : 5호선 마천역 1번출구 5분거리 ","영업시간 : 오전 10시 ~ 오후 9시 좌석수 : 36석 휴무일 : 일요일 배달:불가 예약:가능 카드:가능 주차:불가   ","쾌적한 환경이며 안방같은 편안한 분위기. 깔끔하고 신선한 식재료 사용. 친절 서비스","106","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120703143647.JPG"
"00003906","보라매25시해장국","001","한식","서울특별시 양천구 신월로17길 21 (신월동 우창아파트)","2604-6952       ","신월4동 복개도로변 걷고싶은거리 입구","영업시간 :24시간 좌 석 수 :16석 휴 무 일 :무 배    달 : 예    약 : 카    드 :가능 주    차 :가능 홈페이지 주소 : 전자우편주소 : ","저렴한 가격과 정성어린 맛 집에서 드시는 음식처럼 청결하고 맛있는음식으로 드리려 노력합니다. 타업소보다 20% 저렴한가격으로 모십니다.","101","21-2","http://tearstop.seoul.go.kr/mulga/photo/00003906.JPG"
"00005230","목화미용실","005","이 미용업","서울특별시 송파구 거마로17길 11 (거여동)","406-7273        ","전철노선:거여역 2번출구  마천사거리 방면 서강학원 골목안 MS홈마트뒷편 버스노선:3214.3315.3416.3316.5.3314.3317.3318  ","영업시간 : 오전 9시~오후 8시 좌석수 :3 휴무일 :매주일요일 예약 :가능 카드 :가능 주차:불가   ","지역주민  .단골고객 대상으로  서비스및 가격할혜택 .1년이상 가격동결	 넓은 실내공간에 쾌적한 환경이며  안방같은 편안한 분위기입니다. ","98","21-2","http://tearstop.seoul.go.kr/mulga/photo/20111104162419.jpg"
"00003098","예성미용실","005","이 미용업","서울특별시 양천구 곰달래로5길 16 (신월동)","2693-5274       ","신월1동 월정시장 입구에 위치하고 있습니다. 태영아파트 옆에 위치하고 있습니다.","영업시간 : 10:00~22:00 좌 석 수 : 3대 휴 무 일 : 매주 화요일 배    달 : 예    약 : 예약가능 카    드 : 가능 주    차 : 가능 홈페이지 주소 : 전자우편주소 : ","좋은 약품을 사용하여 머리에 자극이 없습니다. 지속적인 헤어스타일연구로 여러가지 다양한 스타일을 가꾸어 드립니다. 저렴한 가격으로 멋진 스타일을 가꾸시기 바랍니다.","98","21-2","http://tearstop.seoul.go.kr/mulga/photo/20140307143643.JPG"
"00008265","해피분식","001","한식","서울특별시 구로구 중앙로1길 18-19 (고척동 우성현대아파트)","02-2688-1242","고척중학교 정문 앞 현대우성아파트 상가에 위치합니다.","영업시간 : 8:00~21:00 좌석수 : 22석(야외 4석) 휴무일 : 매주 일요일 배달 : 가능 예약 : 가능 카드 : 가능 주차 : 가능 홈페이지 주소 : X 전자우편주소 : pyjong57@hanmail.net 기타 : 분식도 함께함(여름엔 직접 갈아 만든 국산 콩국수 판매)   ","- 매일 신선한 재료 사용 - 순수 국내산 배추김치와 쌀 돼지고기 사용 - 즉석에서 만든 김밥 판매","75","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120706153533.JPG"
"00003545","윤희미용실","005","이 미용업","서울특별시 양천구 목동중앙남로5길 22 (목동)","2653-1671       ","강서 고등학교 후문 근처","영업시간 :09:00~2100 좌 석 수 :4대 휴 무 일 : 배    달 : 예    약 : 카    드 : 주    차 : 홈페이지 주소 : 전자우편주소 :  ","null","71","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120522155213.JPG"
"00005755","머리잘하는집","005","이 미용업","서울특별시 양천구 남부순환로57길 24-1 (신월동)","2692-3758       ","신월1동 복개천도로 옆","영업시간: 9:30~21:00 좌 석 수: 3대 휴 무 일: 배    달: 예    약: 카    드: 무 주    차: 가능 홈페이지주소 : 전자우편주소 : ","25년의 경력으로 모십니다.","68","21-2","http://tearstop.seoul.go.kr/mulga/photo/머리잘하는집.JPG"
"00005959","금강숯불생고기","001","한식","서울특별시 광진구 용마산로7길 9 (중곡동)","3437-9599       ","구 중곡2동사무소 뒤","영업시간 : 11:00~23:00 좌석수 : 40 휴무일 : 무 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :    ","타 업소에 비해 가격이 저렴함","65","21-2","http://tearstop.seoul.go.kr/mulga/photo/금강숯불생고기.JPG"
"00007204","으뜸크리닝","007","세탁업","서울특별시 광진구 아차산로51길 74 (구의동)","446-1756","구의전철역 1번 출구에서 동대부중 방향으로 200m","영업시간 : 8:00 ~ 21:00 좌석수 :  휴무일 : 매주 일요일 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :   ","청결하고 가격이 저렴함","65","21-2","http://tearstop.seoul.go.kr/mulga/photo/20100622183737.jpg"
"00006778","흥부농장","001","한식","서울특별시 광진구 뚝섬로59길 81-2 (자양동)","3437-3611       ","자양사거리에서 자양골목시장 방향 100m지점","영업시간 : 11:00~익일02:00 좌석수 : 40석 휴무일 : 명절 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :  ","가격이 저렴하고 청결함","64","21-2","http://tearstop.seoul.go.kr/mulga/photo/SDC10304.JPG"
"00007786","한우마당","001","한식","서울특별시 중구 남대문로5길 7 (북창동)","02-3789-7792","2호선 시청역 7번출구에서   한국은행 옆 일방통행길 (횡단보도건너 좌측으로 올라가 우측까페베네끼고 우회전)","(2022년 5월 기준) ○ 영업시간 : 10:00~22:00 (휴무일: 일요일) ○ 좌석수 : 120석  ○ 배달 : 불가 ○ 주차 : 불가 ○ 기타:  예약 가능 카드 가능  ","전용 숙성고에서 20~30일 동안 저온 숙성된 고급 육질의 쇠고기를 맛볼 수 있어요.  유통 마진을 줄여 저렴한 가격에 1등급 이상의 한우를 제공합니다.  숯 대신 두꺼운 돌 불판을 사용하여 고기 본연의 육즙과 향을 고스란히 느낄 수 있어요.","64","21-2","http://tearstop.seoul.go.kr/mulga/photo/20220512100541.jpg"
"00004826","김밥나라","001","한식","서울특별시 광진구 용마산로 52 (중곡동)","446-2442        "," 중곡동길에서 신성시장길 입구","영업시간 : 24시간 좌석수 : 휴무일 : 둘째넷째 일요일 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :     "," o 옥외 가격표시 우수업소 - 가격이 저렴하고 청결","63","21-2","http://tearstop.seoul.go.kr/mulga/photo/STA71371.JPG"
"00001299","명신미용실","005","이 미용업","서울특별시 광진구 자양로37길 8 (구의동)","453-2774        ","구의4거리 신광약국옆 골목 20미터 전방 오른쪽에 위치","영업시간 :09:00-20:00 좌석수 : 휴무일 : 설추석명절 배달 : 예약 :가능 카드 : 주차 : 불가 홈페이지 주소 : 전자우편주소 :  ","가격이 저렴하다고 해서 실력이 모자라는 건 절대아닙니다 20년전통과 기술로 만족을 드립니다","63","21-2","http://tearstop.seoul.go.kr/mulga/photo/00001299.jpg"
"00004412","헤어포인트","005","이 미용업","서울특별시 광진구 능동로3길 44 (자양동)","498-1746        "," * 자양4동주민센터에서 극동아파트 10m 전 사거리","영업시간 : 09:00 ~ 21:00 좌석수 : 3 휴무일 : 매주 24주 화요일 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 : "," * 경로우대 업소   ","63","21-2","http://tearstop.seoul.go.kr/mulga/photo/STA70704.JPG"
"00006378","다비다식당","001","한식","서울특별시 광진구 동일로 444 (중곡동)","466-1074        ","중곡동성원아파트 지나 현대주유소 맞은편","영업시간 : 11:00 ~ 20:00 좌석수 : 50 휴무일 : 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :  ","가격이 저렴하고 청결함","63","21-2","http://tearstop.seoul.go.kr/mulga/photo/20111108095547.JPG"
"00006779","그린세탁","007","세탁업","서울특별시 광진구 뚝섬로54길 57 (자양동)","456-8301        ","자양2동 경남아파트 옆","영업시간 : 08:00~22:30 좌석수 :  휴무일 : 매주 일요일 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :      ","타 업소에 비해 가격이 저렴함","63","21-2","http://tearstop.seoul.go.kr/mulga/photo/SDC10302.JPG"
"00006384","자매식당","001","한식","서울특별시 광진구 구의로 16 (구의동)","3437-8760       ","구의역 근처 서울광진 우체국 맞은편","영업시간 : 09:00 ~ 21:00 좌석수 : 30 휴무일 : 매주일요일 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :  ","저렴한 가격","63","21-2","http://tearstop.seoul.go.kr/mulga/photo/20111108095530.JPG"
"00001264","코닥스튜디오","013","기타서비스업종","서울특별시 광진구 영화사로 4 (중곡동)","457-6542        ","중곡신성시장 입구","영업시간 :09:00-21:00 휴무일 :연중무휴      ","남기고 싶은 추억을 사진에 담으세요 오랜 경험과 기술로 실물보다 더 만족스러운 사진을 담아드리도록 최선을 다하겠습니다.","62","21-2","http://tearstop.seoul.go.kr/mulga/photo/20151228173019.jpg"
"00004824","유나미용실","005","이 미용업","서울특별시 광진구 동일로4길 44 (자양동)","463-7832        ","자양4치안센터 근처 은성어린이집 앞","영업시간 : 10:00 ~ 22:00 좌석수 :  3 휴무일 :  무 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :    "," o 경로우대업소    ","62","21-2","http://tearstop.seoul.go.kr/mulga/photo/STA71375.JPG"
"00004576","광장스튜디오","013","기타서비스업종","서울특별시 광진구 광장로 79 (광장동)","444-6190        ","천호대교 북단 신동아파밀리에아파트  뒷편","영업시간 : 10:00 ~ 20:00 좌석수 : 10평 휴무일 : 매월 격주 일요일 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :    ","null","62","21-2","http://tearstop.seoul.go.kr/mulga/photo/STA70429.JPG"
"00006871","궁원 중화요리","002","중식","서울특별시 동대문구 사가정로 229 (장안동)","2212-7749       ","장안2동 주민센터 길건너편 뚜레주르제과점 2층에 위치.","영업시간 : 11:00 ~ 21:00 휴무일 : 첫째셋째 화요일 명절 배달 : 가능 (할인적용은 안됨) 예약 : 가능 카드 : 가능 주차 : 가능(2~3대정도) 기타 : 세트메뉴 4인가족 식사 가능 ","맛고 성실 친절로 승부합니다. 꿈나무카드 가맹점으로 오기 힘든 아이들을 위해 배달까지 가능합니다. ","62","21-2","http://tearstop.seoul.go.kr/mulga/photo/20130820140648.jpg"
"00002936","머리천국미용실","005","이 미용업","서울특별시 광진구 뚝섬로49길 31 (자양동)","458-5619        ","null","영업시간 : 09:30~21:30 좌석수 : 5석 휴무일 : 둘째 넷째주 수요일  배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :       ","경로우대업소로 주변노인분들에 대하여 저렴한 가격으로 봉사합니다.","62","21-2","http://tearstop.seoul.go.kr/mulga/photo/20160511164041.jpg"
"00002937","이계임헤어모드","005","이 미용업","서울특별시 광진구 자양로15길 101 (자양동)","446-9831        ","자양골목시장 내","영업시간 : 10:00~21:00 좌석수 : 10여석 휴무일 :없음 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :    ","넓은 미용실안에 오랜 경력으로 &#51211;은 여성들에게는 세련된 멋을  찾아드리고 노인분들에 대하여는 저렴한 가격으로 봉사합니다. ","62","21-2","http://tearstop.seoul.go.kr/mulga/photo/20111108100503.JPG"
"00004407","한일세탁","007","세탁업","서울특별시 광진구 자양번영로5길 7 (자양동)","447-2856        ","  * 기사식당길 자양3동 경찰지구대 옆 이면도로 30m 지점","영업시간 : 09:00 ~ 22:00 좌석수 : 10평 휴무일 : 매주 일요일 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :  "," *","62","21-2","http://tearstop.seoul.go.kr/mulga/photo/STA70699.JPG"
"00003263","스타머리방","005","이 미용업","서울특별시 양천구 신월로9길 22 (신월동)","2601-7843       "," 신월4동 한빛복지관 좌측에 위치하고 있습니다.","파마 : 15000원 컷트 : 5000원(학생) 6000원(성인)    ","최고의 약품으로 머릿결을 지켜드리며 친절한 서비스와 안락한 실내환경으로 편안함을 즐기실 수 있습니다. 원하는 최신스타일로 가꾸어 드립니다. 또한 세정병원 환자들 미용봉사활동을 하고 있으며 특히 어르신께 더욱 친절하도록 노력하고 있습니다. 노인복지카드참여업소입니다.","62","21-2","http://tearstop.seoul.go.kr/mulga/photo/00003263.jpg"
"00003312","모짜르트헤어샵","005","이 미용업","서울특별시 광진구 자양번영로1길 12 (자양동)","447-1623        ","서울신자초등학교와 반석중앙교회 사이","영업시간 : 09:00 ~ 21:00 좌석수 : 2석 휴무일 : 매주 일요일 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :  ","경로우대","62","21-2","http://tearstop.seoul.go.kr/mulga/photo/00003312.jpg"
"00006669","짱구세탁소","007","세탁업","서울특별시 강서구 강서로45라길 70 (내발산동)","02-2661-5994","우장산역 미스터피자 건물 우측 골목","영업시간 : 09:00~22:00 좌석수 : 해당없음 휴무일 : 매주 일요일 배달 : 가능 예약 : 해당없음 카드 : 가능 주차 : 가능 홈페이지 주소 : 없음 전자우편주소 : 없음 기타 : 없음  ","저희 세탁소는 타 업소보다 저렴한 가격으로 손님들의 품의에 ？？추어 드리는 업소이며 아울러 웰빙세탁으로 산뜻한 향으로 세탁해 드립니다. 한 장소에서 7년동안 운영한 신뢰있는 집입니다.","61","21-2","http://tearstop.seoul.go.kr/mulga/photo/090114_002.jpg"
"00007142","제주토방탕수육","002","중식","서울특별시 송파구 성내천로 212 (마천동)","431-0049","전철노선:5호선마천역 2번출구 버스노선:3316.3315.3416.3214.3318.3314.3317 남천초등학교방면' ","영업시간 :11:00~23:00 좌석수 :4석 휴무일 :둘째 넷째주 월요일 배달 : 배달가능모든메뉴포장가능 예약 :가능 카드 :가능 주차 :가능 기타 : 제주축협에서 직송하는 제주도 돼지고기만을 사용하고 있음 ","15년 동안  한장소에서  운영하고 있습니다!!! 돼지고기는 제주산  생고기만을 사용합니다.(냉동고기는 사용 안함)~~~ 맛이좋습니다!!!  탕수육 전문점으로 단일품목만 취급하며 홀 방문시 저렴한 가격으로 제공 ","60","21-2","http://tearstop.seoul.go.kr/mulga/photo/20111104152729.jpg"
"00001113","해주냉면","001","한식","서울특별시 송파구 올림픽로12길 5-22 (잠실동)","424-7192        ","전철노선:2호선 신천역 4번출구 맥도날드 골목안 좌회전 로즈모텔앞 위치 버스노선:600.6006.1100.2000.3217.3315.등 잠실롯데백화점방면버스 모두 ","영업시간 : 11:30 ~ 21:00 좌석수 : 40석 휴무일 : 매주일요일 배달 : 무 예약 : 가능 카드 : 가능 주차 : 2대 ","냉면양념의 맵고 새콤달콤한 특별한 맛과 20년 전통의 특별한 노하우가 있으며. SBS MBC TV에 방영된 업소입니다. 단일메뉴로 반찬 식자재 절감효과로 저렴한 가격제공가능","60","21-2","http://tearstop.seoul.go.kr/mulga/photo/20111104155711.jpg"
"00007338","우돈골","001","한식","서울특별시 송파구 위례성대로20길 24 (오금동)","3401-4585","전철노선: 5호선 방이역 2번출구 도보 3분  버스노선: 3214321632203414  오금동 대림아파트 정류장 하차 도보3분 ","영업시간 : 오전11시 ~ 새벽 1시  좌석수 : 테이블 12 의자 50 휴무일 : 연중무휴  배달 : ×  예약 : 가능  카드 : 가능  주차 : 가능  ","점심특선으로 가격할인제공  국내산 삼겹살 600g 22000원으로 푸짐한 양과 저렴한 가격 점심특선 메뉴로 인근 직장인들이 많이 이용함 ","60","21-2","http://tearstop.seoul.go.kr/mulga/photo/20100726170307.jpg"
"00006856","자매식당","001","한식","서울특별시 동대문구 이문로28길 16 (이문동)","967-9358        ","한국외국어대학교 앞 지하차도 도입부의 편의점옆 골목으로 들어가 온누리성민약국 우측 골목에 위치.","영업시간 : 09:30~21:30 좌석수 : 36석 휴무일 : 매주일요일 명절 예약 : 가능 카드 : 가능 주차 : 불가  ","집에서 먹는 어머니의 손맛을 느낄 수 있으며 맛있고 푸짐하게 식사가 가능합니다.  ","60","21-2","http://tearstop.seoul.go.kr/mulga/photo/20130820140706.jpg"
"00007501","한연수짜장","002","중식","서울특별시 송파구 송이로31길 4-11 (문정동)","402-3414","전철노선:8호선 문정역 2번출구 문정고등학교지나 장지동주민센터방면 삼성래미안 하차 공원쪽으로 지나 상가 밀집지역으로 20m 버스노선:3215.3418.301.3011.401.3319' ","영업시간 : 11:00~19:00 좌석수 :8 휴무일 : 둘째 넷째 월요일 배달 : X 예약 : O 카드 : O 주차 : X  ","배달제외로 인건비 절감  저렴한 가격은 물론. 신선하고 질 좋은 식재료로 정성껏 준비하여 손님을 맞이하며  청결 깨끗한 요리작업을 볼 수 있게 주방이 오픈되어 있습니다. ","60","21-2","http://tearstop.seoul.go.kr/mulga/photo/20110707191607.jpg"
"00005713","김밥나라","001","한식","서울특별시 강서구 양천로59길 46 (가양동)","02-3664-8327","강서구청 가양동 별관 주위","영업시간 : 24시간 좌석수 : 20개 휴무일 : 미정 배달 : 불가 예약 : 가능 카드 : 가능 주차 : 가능 홈페이지 주소 : 없음 전자우편주소 : 없음 기타 : 없음   ","다양한 메뉴 친절하고 깨끗합니다.","59","21-2","http://tearstop.seoul.go.kr/mulga/photo/g3_2.jpg"
