영업상태명,상세영업상태코드,상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,업소id,별점
영업/정상,1,영업,,414.14,120834.0,서울특별시 서대문구 창천동 31-26 (지하1층) ,서울특별시 서대문구 명물1길 2 (창천동(지하1층)),3776.0,언더우드 스터디카페,20220300000000.0,U,2022-03-19 2:40,분식,194395.2173,450629.2285,분식,1744417217,-
영업/정상,1,영업,070 81531617,46.74,120834.0,서울특별시 서대문구 창천동 62-37번지 ,서울특별시 서대문구 연세로5다길 36 (창천동),3787.0,돈불,20141100000000.0,I,2018-08-31 23:59,한식,194067.8831,450521.6177,한식,36343564,4.7
영업/정상,1,영업,,19.8,120857.0,서울특별시 서대문구 홍제동 268-14 ,서울특별시 서대문구 세무서길 78 1층 (홍제동),3627.0,킹부대찌개 홍제점,20200900000000.0,I,2020-09-24 0:23,한식,195247.5981,454319.8586,한식,-,-
영업/정상,1,영업,02  393 3811,41.92,120020.0,서울특별시 서대문구 미근동 90-2번지 ,서울특별시 서대문구 충정로6안길 6-5 1층 (미근동),3739.0,신촌서서갈비(서대문가),20170600000000.0,I,2018-08-31 23:59,한식,197093.4079,451145.8996,한식,956557603,4.43
영업/정상,1,영업,02  379 9789,55.62,120861.0,서울특별시 서대문구 홍제동 334-85,서울특별시 서대문구 홍제내길 128 (홍제동),3640.0,커피 원(Coffee one),20220500000000.0,U,2021-12-05 0:07,호프/통닭,194340.8649,453969.7648,,1412611730,-
영업/정상,1,영업,,35.0,120825.0,서울특별시 서대문구 연희동 192-10번지 ,서울특별시 서대문구 연희맛로 5 지하1층 (연희동),3707.0,연희비어,20191100000000.0,I,2019-11-30 0:23,호프/통닭,193613.3453,451541.0615,호프/통닭,1705309008,4.35
영업/정상,1,영업,,40.0,120807.0,서울특별시 서대문구 남가좌동 341-30,서울특별시 서대문구 증가로10길 16-20 1층 (남가좌동),3665.0,카페드가좌,20220500000000.0,I,2021-12-05 0:07,기타,193228.5167,452829.5887,,1072528741,-
영업/정상,1,영업,,37.76,120100.0,서울특별시 서대문구 홍은동 467 북한산 두산위브 ,서울특별시 서대문구 홍은중앙로3길 9 상가동 지2층 16호 (홍은동 북한산 두산위브),3610.0,본가 춘천닭갈비,20210900000000.0,I,2021-09-04 0:22,한식,195150.7265,455063.2882,한식,1086088653,3.92
영업/정상,1,영업,,69.3,120825.0,서울특별시 서대문구 연희동 190-19 2층,서울특별시 서대문구 연희로11가길 33-3 2층 (연희동),3707.0,칠린에그(Chillin EGG),20220400000000.0,U,2021-12-03 22:04,경양식,193605.9286,451619.3235,,1188146910,4.9
영업/정상,1,영업,02 3622104,52.87,120808.0,서울특별시 서대문구 대현동 45-5 ,서울특별시 서대문구 신촌로 189 (대현동),3767.0,김밥천국카페,20220200000000.0,U,2022-02-19 2:40,분식,195245.2012,450551.1286,분식,38522537,4.29
영업/정상,1,영업,,44.74,120013.0,서울특별시 서대문구 충정로3가 464번지 충정타워빌딩 ,서울특별시 서대문구 서소문로 21 충정타워빌딩 지하1층 115호 (충정로3가),3742.0,마티아,20190100000000.0,I,2019-01-17 2:20,경양식,196752.764,450838.5976,경양식,1632025500,4.56
영업/정상,1,영업,,103.03,120856.0,서울특별시 서대문구 홍제동 176-6번지 옐림빌딩 1층 ,서울특별시 서대문구 통일로36길 5 옐림빌딩 1층 (홍제동),3630.0,원조명동찌개마을,20180900000000.0,U,2018-09-19 23:59,한식,195181.4117,453925.267,한식,-,-
영업/정상,1,영업,,36.0,120802.0,서울특별시 서대문구 남가좌동 152-40번지 1층 ,서울특별시 서대문구 수색로2길 30-6 1층 (남가좌동),3712.0,아시안쿠진,20180800000000.0,I,2018-08-31 23:59,외국음식전문점(인도태국등),192542.8583,451999.389,외국음식전문점(인도태국등),919495042,4.54
영업/정상,1,영업,,10.0,120857.0,서울특별시 서대문구 홍제동 294-20 가동2호 지층,서울특별시 서대문구 인왕시장길 12 가동 지층 (홍제동),3628.0,유진,20220600000000.0,U,2021-12-05 22:09,한식,194867.5809,454305.1231,,36432334,4.32
영업/정상,1,영업,,68.43,120859.0,서울특별시 서대문구 홍제동 172-5번지 1층 전체 ,서울특별시 서대문구 통일로37길 5 1층 (홍제동),3646.0,라온,20190400000000.0,I,2019-04-17 2:20,경양식,195048.2571,453949.3066,경양식,1725031544,-
영업/정상,1,영업,3138629,25.9,120050.0,서울특별시 서대문구 냉천동 227번지 ,서울특별시 서대문구 통일로 153-1 (냉천동),3735.0,이판저판,20200500000000.0,U,2020-05-24 2:40,한식,196790.5628,451716.6429,한식,18208118,4.64
영업/정상,1,영업,203927461,121.1,120833.0,서울특별시 서대문구 창천동 2-80번지 ,서울특별시 서대문구 명물길 63 지상1층 (창천동),3776.0,명륜진사갈비 신촌점,20190900000000.0,U,2019-09-21 2:40,한식,194585.874,450780.1706,한식,1491408912,4.21
영업/정상,1,영업,02  393 9707,90.57,120808.0,서울특별시 서대문구 대현동 54-9 외 1필지 2층별관 ,서울특별시 서대문구 이화여대길 26 2층 (대현동 별관),3767.0,산타비,20210200000000.0,U,2021-02-12 2:40,까페,195167.0794,450633.9149,까페,31442520,4.61
영업/정상,1,영업,,70.88,120857.0,서울특별시 서대문구 홍제동 258-4 1층 ,서울특별시 서대문구 세무서1길 10 1층 (홍제동),3629.0,풍요로운식당,20220200000000.0,U,2022-02-23 2:40,한식,195071.2296,454091.7269,한식,37997536,4.43
영업/정상,1,영업,,52.74,120012.0,서울특별시 서대문구 충정로2가 25번지 2층 ,서울특별시 서대문구 통일로9안길 36-1 (충정로2가 2층),3735.0,요란서대문점,20151000000000.0,I,2018-08-31 23:59,한식,196876.3228,451496.1265,한식,37250171,3.04
영업/정상,1,영업,203341310,65.74,120834.0,서울특별시 서대문구 창천동 52-69번지 ,서울특별시 서대문구 연세로7길 28-8 (창천동),3788.0,우드스탁,20010900000000.0,I,2018-08-31 23:59,경양식,194215.5096,450637.605,경양식,18746327,4.32
영업/정상,1,영업,,21.67,120012.0,서울특별시 서대문구 충정로2가 185-15 충정로현대아파트 상가동 202호,서울특별시 서대문구 충정로7길 30 상가동 2층 202호 (충정로2가 충정로현대아파트),3736.0,자담치킨 서대문역점,20210600000000.0,U,2021-06-10 2:40,중국식,196684.0536,451268.3125,중국식,1731987471,5
영업/정상,1,영업,,61.56,120837.0,서울특별시 서대문구 충정로3가 120-26번지 1층 ,서울특별시 서대문구 경기대로 28 (충정로3가 1층),3737.0,다래,20150800000000.0,I,2018-08-31 23:59,한식,196562.6563,451083.1695,한식,13150719,4.42
영업/정상,1,영업,,25.31,120020.0,서울특별시 서대문구 미근동 96-1 1층 101호,서울특별시 서대문구 충정로6길 51 1층 101호 (미근동),3740.0,더 에스프레소룸,20220400000000.0,U,2021-12-03 21:00,까페,197061.1497,451124.5273,,-,-
영업/정상,1,영업,02  364 4222,108.9,120050.0,서울특별시 서대문구 냉천동 20-1번지 1층 ,서울특별시 서대문구 통일로9길 12 1층 (냉천동),3735.0,한옥집,20200600000000.0,U,2020-06-25 2:40,한식,196779.8462,451666.313,한식,11593472,4.23
영업/정상,1,영업,02 3924798,60.72,120808.0,서울특별시 서대문구 대현동 37-2 ,서울특별시 서대문구 이화여대7길 22 (대현동),3766.0,시나위,20210800000000.0,U,2021-08-20 2:40,경양식,195023.8577,450730.5328,경양식,1023301438,-
영업/정상,1,영업,02  62059915,94.54,120848.0,서울특별시 서대문구 홍은동 427-4번지 지상2층 ,서울특별시 서대문구 모래내로 364 2층 (홍은동),3653.0,셰프팬더,20170900000000.0,I,2018-08-31 23:59,중국식,194323.0876,453288.0606,중국식,1507072056,4.51
영업/정상,1,영업,02  395 8460,27.3,120857.0,서울특별시 서대문구 홍제동 298-7번지 1동 1층2425호 ,,,소문난연경이네,20100400000000.0,I,2018-08-31 23:59,한식,194937.7856,454308.179,한식,1318439602,4.2
영업/정상,1,영업,,30.0,120857.0,서울특별시 서대문구 홍제동 266-6 ,서울특별시 서대문구 세무서7길 8 1층 (홍제동),3624.0,화목전,20210700000000.0,I,2021-07-04 0:22,한식,195209.1594,454347.3471,한식,1467115171,4.45
영업/정상,1,영업,070 41456000,472.02,120834.0,서울특별시 서대문구 창천동 45-1번지 지하1층 ,서울특별시 서대문구 명물길 37 지하1층 (창천동),3776.0,놀숲,20180600000000.0,I,2018-08-31 23:59,기타,194491.6821,450700.5236,기타,37391652,4.21
영업/정상,1,영업,02  333 3525,26.07,120825.0,서울특별시 서대문구 연희동 134-20번지 ,서울특별시 서대문구 연희로 117 (연희동),3708.0,웰덤치킨(강정이 기가막혀),20180600000000.0,I,2018-08-31 23:59,통닭(치킨),193908.8817,451782.3155,통닭(치킨),-,-
영업/정상,1,영업,02 3366115,68.18,120834.0,서울특별시 서대문구 창천동 72-10 (지상12층) ,서울특별시 서대문구 연세로5다길 9 (창천동(지상12층)),3789.0,BAR REGGIO SEOUL(바레지오서울),20201200000000.0,U,2021-01-02 2:40,한식,194180.2445,450448.9585,한식,-,-
영업/정상,1,영업,,20.0,120808.0,서울특별시 서대문구 대현동 45-17 ,서울특별시 서대문구 이화여대2길 14 1층 (대현동),3767.0,하늘초밥,20210400000000.0,I,2021-04-04 0:23,일식,195223.9544,450560.9034,일식,1960457705,4.66
영업/정상,1,영업,,52.53,120120.0,서울특별시 서대문구 남가좌동 385 DMC파크뷰자이,서울특별시 서대문구 가재울미래로 2 1층 106-2호 (남가좌동 DMC파크뷰자이),3709.0,곱분이곱창,20220400000000.0,U,2021-12-03 21:00,한식,192672.0675,452221.9607,,1524272466,4.32
영업/정상,1,영업,,42.0,120819.0,서울특별시 서대문구 북아현동 154-4번지 ,서울특별시 서대문구 신촌로35길 1 (북아현동),3774.0,푸짐한포장마차,20141200000000.0,I,2018-08-31 23:59,호프/통닭,195972.9891,450588.2045,호프/통닭,1408416281,4.48
영업/정상,1,영업,02   3922671,33.06,120030.0,서울특별시 서대문구 합동 10-1 ,서울특별시 서대문구 서소문로 61-7 (합동),3741.0,독박골맛있는집,20210800000000.0,U,2021-08-04 2:40,한식,197088.461,451084.1613,한식,42876925,4.42
영업/정상,1,영업,,33.0,120863.0,서울특별시 서대문구 홍제동 285-41 1층 우측 ,서울특별시 서대문구 간호대로2길 10 1층 우측 (홍제동),3617.0,영수야 국수먹자,20220300000000.0,I,2022-03-27 0:22,한식,195440.2395,454964.1385,한식,1965415963,-
영업/정상,1,영업,02  322 6959,60.65,120834.0,서울특별시 서대문구 창천동 57-54번지 ,서울특별시 서대문구 연세로7길 21 (창천동),3789.0,오나라 오징어 장군,20160100000000.0,I,2018-08-31 23:59,분식,194244.267,450590.2452,분식,-,-
영업/정상,1,영업,203624355,33.3,120809.0,서울특별시 서대문구 대현동 104-39 대한일보신촌지국 ,서울특별시 서대문구 연세로2길 83 대한일보신촌지국 (대현동),3778.0,동강참치,20210900000000.0,U,2021-09-04 2:40,일식,194751.6841,450552.1357,일식,13452907,4.41
영업/정상,1,영업,,68.85,120866.0,서울특별시 서대문구 북아현동 1-532번지 1층 ,서울특별시 서대문구 북아현로 100 1층 (북아현동),3747.0,비윰,20150300000000.0,I,2018-08-31 23:59,한식,195715.4023,451439.2787,한식,1010769241,4.42
영업/정상,1,영업,02  313 4679,70.55,120160.0,서울특별시 서대문구 대신동 115-7번지 ,서울특별시 서대문구 성산로 557 (대신동),3721.0,비바베네,20141200000000.0,I,2018-08-31 23:59,호프/통닭,195168.0029,451509.5191,호프/통닭,-,-
영업/정상,1,영업,,81.36,120865.0,서울특별시 서대문구 북아현동 1-253 ,서울특별시 서대문구 북아현로 82 1층 (북아현동),3748.0,비카인드 리와인드,20211200000000.0,I,2021-12-15 0:22,기타,195857.7824,451318.9218,기타,1519562977,-
영업/정상,1,영업,,73.77,120120.0,서울특별시 서대문구 남가좌동 389 DMC에코자이,서울특별시 서대문구 거북골로 84 상가2동 1층 109호 (남가좌동 DMC에코자이),3687.0,빵쌤 DMC가재울점,20220300000000.0,I,2021-12-04 0:01,경양식,192834.8899,452702.5255,,1592624032,-
영업/정상,1,영업,,52.0,120834.0,서울특별시 서대문구 창천동 57-38 ,서울특별시 서대문구 연세로5가길 30 지하1층 (창천동),3789.0,포토제닉2,20210500000000.0,I,2021-06-02 0:22,기타,194190.1777,450574.0321,기타,-,-
영업/정상,1,영업,,45.63,120834.0,서울특별시 서대문구 창천동 33-46,서울특별시 서대문구 연세로7안길 2 2층 (창천동),3788.0,반이학생마라탕마라반,20220800000000.0,I,2021-12-08 0:04,중국식,194319.4349,450610.326,,1988687728,-
영업/정상,1,영업,02 3921781,174.54,120833.0,서울특별시 서대문구 창천동 18-8번지 ,서울특별시 서대문구 명물길 2 (창천동),3777.0,나무 NAMU,20120200000000.0,I,2018-08-31 23:59,까페,194384.6069,450550.3672,까페,1232792293,4.57
영업/정상,1,영업,02  391 2080,33.0,120857.0,서울특별시 서대문구 홍제동 266-76번지 ,서울특별시 서대문구 세검정로 34 1층 (홍제동),3624.0,비사벌 전주 콩나물 국밥,20160700000000.0,I,2018-08-31 23:59,한식,195078.5967,454370.9256,한식,21900697,4.13
영업/정상,1,영업,,7.1,120834.0,서울특별시 서대문구 창천동 52-125 지층 일부,서울특별시 서대문구 연세로7안길 16-6 지층 (창천동),3788.0,스테이크 러프,20220500000000.0,I,2021-12-04 22:02,한식,194281.2624,450677.6802,,-,-
영업/정상,1,영업,,35.0,120800.0,서울특별시 서대문구 남가좌동 7-7번지 ,서울특별시 서대문구 명지대길 60 1층 (남가좌동),3675.0,실비집,20191100000000.0,I,2019-11-29 0:23,한식,193189.5821,453382.48,한식,-,-
영업/정상,1,영업,,43.0,120854.0,서울특별시 서대문구 홍제동 116 ,서울특별시 서대문구 통일로 396-3 1층 (홍제동),3632.0,사꼬,20210600000000.0,I,2021-06-16 0:22,기타,195365.6157,453673.5346,기타,1793967582,4.91
영업/정상,1,영업,02  332 8613,162.62,120834.0,서울특별시 서대문구 창천동 52-67 지하1층,서울특별시 서대문구 연세로7길 24 지하1층 (창천동),3788.0,비어쇼,20220400000000.0,U,2021-12-03 21:00,호프/통닭,194226.2893,450623.1333,,-,-
영업/정상,1,영업,,37.27,120012.0,서울특별시 서대문구 충정로2가 85번지 ,서울특별시 서대문구 충정로11길 13 1층 (충정로2가),3736.0,청춘(구탁사발),20180500000000.0,I,2018-08-31 23:59,한식,196896.3262,451468.7112,한식,-,-
영업/정상,1,영업,,85.0,120833.0,서울특별시 서대문구 창천동 18-31 ,서울특별시 서대문구 연세로 8 3층 (창천동),3779.0,주식회사 보드게임카페 레드버튼 신촌,20210800000000.0,U,2021-08-13 2:40,기타,194375.4763,450437.8811,기타,-,-
영업/정상,1,영업,,28.0,120834.0,서울특별시 서대문구 창천동 52-49 ,서울특별시 서대문구 연세로7안길 1 2층 (창천동),3788.0,셀리스도넛,20210400000000.0,I,2021-04-29 0:23,기타,194292.6193,450621.0188,기타,1100940033,4.68
영업/정상,1,영업,,43.02,120190.0,서울특별시 서대문구 북아현동 1015 이편한세상신촌 제지1층 제402엠동 제비401호,서울특별시 서대문구 신촌로35길 10 제402엠동 제지1층 제비401호 (북아현동 이편한세상신촌),3772.0,본죽&비빔밥,20220200000000.0,U,2022-03-02 2:40,한식,195993.9946,450618.5921,한식,1823159874,4.55
영업/정상,1,영업,,7.42,120808.0,서울특별시 서대문구 대현동 60-11 신촌 박스퀘어 1층 8호 ,,,모닭모닭,20210800000000.0,U,2021-08-27 2:40,호프/통닭,194955.4064,450620.4637,호프/통닭,1620235060,3.63
영업/정상,1,영업,,96.42,120848.0,서울특별시 서대문구 홍은동 401-17 신흥빌딩 ,서울특별시 서대문구 명지대길 6 신흥빌딩 1층 (홍은동),3675.0,디저트39 명지대점,20210900000000.0,I,2021-09-09 0:22,기타,193316.7467,453156.667,기타,1747599758,4.5
영업/정상,1,영업,02  365 0707,33.66,120822.0,서울특별시 서대문구 북아현동 223-5 e편한세상신촌 1단지 ,서울특별시 서대문구 북아현로1가길 20 상가동 B102호 (북아현동 e편한세상신촌 1단지),3768.0,치즈웨이브,20210600000000.0,U,2021-06-24 2:40,경양식,195662.6151,450657.4079,경양식,1954881301,4.67
영업/정상,1,영업,,84.55,120804.0,서울특별시 서대문구 남가좌동 175 래미안루센티아 ,서울특별시 서대문구 거북골로 100 1층 11호 (남가좌동 래미안루센티아),3689.0,연희김밥,20200900000000.0,I,2020-09-05 0:23,분식,192669.0794,452652.7687,분식,1447626937,4.34
영업/정상,1,영업,203356337,21.3,120832.0,서울특별시 서대문구 연희동 519-96 ,서울특별시 서대문구 홍제천로2길 140 (연희동),3700.0,피노키오치킨호프,20210800000000.0,U,2021-08-19 2:40,경양식,193243.0716,452320.9044,경양식,-,-
영업/정상,1,영업,,65.94,120120.0,서울특별시 서대문구 남가좌동 385 DMC파크뷰자이,서울특별시 서대문구 가재울미래로 2 제상가 202동 102호 (남가좌동 DMC파크뷰자이),3709.0,가마로강정 가재울사거리점,20220400000000.0,I,2021-12-03 22:09,호프/통닭,192672.0675,452221.9607,,1987031753,-
영업/정상,1,영업,02 3651171,55.83,120190.0,서울특별시 서대문구 북아현동 1-521번지  522(지상1층) ,서울특별시 서대문구 북아현로14길 9 (북아현동 522(지상1층)),3749.0,해피 돈,20041100000000.0,I,2018-08-31 23:59,한식,196043.6125,451176.8139,한식,13446419,4.48
영업/정상,1,영업,,76.0,120848.0,서울특별시 서대문구 홍은동 401-40 송정빌딩 1층 101호,서울특별시 서대문구 거북골로 10 송정빌딩 1층 101호 (홍은동),3675.0,왕가주방,20210500000000.0,I,2021-05-28 0:22,기타,193383.1913,453201.5773,기타,1314671448,4.51
영업/정상,1,영업,02  395 3039,61.59,120859.0,서울특별시 서대문구 홍제동 330-57,서울특별시 서대문구 통일로 461 1층 (홍제동),3636.0,싱싱샐러드 홍제점,20220700000000.0,U,2021-12-06 21:00,한식,194897.36,454124.2281,,1114699025,-
영업/정상,1,영업,203363049,50.36,120834.0,서울특별시 서대문구 창천동 53-21 ,서울특별시 서대문구 연세로7안길 39 (창천동),3787.0,통큰 장모님 밥상,20220200000000.0,U,2022-03-02 2:40,한식,194146.2044,450654.6038,한식,1204617501,-
영업/정상,1,영업,02  309 5373,33.05,120807.0,서울특별시 서대문구 남가좌동 339-32 (지상1층) ,서울특별시 서대문구 증가로 114 (남가좌동(지상1층)),3666.0,신돈,20210800000000.0,U,2021-08-28 2:40,한식,193307.664,452748.8341,한식,1576315885,4.34
영업/정상,1,영업,02 3237589,97.5,120834.0,서울특별시 서대문구 창천동 33-55,서울특별시 서대문구 연세로7안길 4 (창천동),3788.0,인쌩맥주,20220700000000.0,U,2021-12-06 22:08,호프/통닭,194315.8194,450622.8132,,-,-
영업/정상,1,영업,,53.41,120100.0,서울특별시 서대문구 홍은동 48-82번지 ,서울특별시 서대문구 세검정로1길 100-4 (홍은동),3611.0,토리텐,20150400000000.0,I,2018-08-31 23:59,호프/통닭,195184.7425,454691.7208,호프/통닭,380995011,4.3
영업/정상,1,영업,02 3643594,16.0,120070.0,서울특별시 서대문구 영천동 322 ,서울특별시 서대문구 통일로 191 (영천동),3734.0,장충한방족발,20210700000000.0,U,2021-07-31 2:40,한식,196552.62,452012.1747,한식,37057154,4.38
영업/정상,1,영업,02  31427450,46.34,120830.0,서울특별시 서대문구 연희동 187-59 지상1층 ,서울특별시 서대문구 연희로 90-1 (연희동지상1층),3725.0,초가집,20210800000000.0,U,2021-08-17 2:40,한식,193793.8982,451535.159,한식,1314052927,4.31
영업/정상,1,영업,02  326 0235,37.82,120834.0,서울특별시 서대문구 창천동 52-19번지 ,서울특별시 서대문구 연세로9길 10-7 (창천동),3788.0,엔터,20120900000000.0,I,2018-08-31 23:59,한식,194286.2302,450734.8172,한식,1906334113,5
영업/정상,1,영업,02  364 0604,40.0,120808.0,서울특별시 서대문구 대현동 34-51번지 ,서울특별시 서대문구 이화여대길 88-14 1층 (대현동),3765.0,파파노다이닝,20190500000000.0,I,2019-05-10 2:20,일식,194992.925,450796.9419,일식,36509239,4.56
영업/정상,1,영업,02 3028972,34.55,120848.0,서울특별시 서대문구 홍은동 401-18번지 ,서울특별시 서대문구 거북골로 20 (홍은동),3675.0,김밥천국,20171200000000.0,I,2018-08-31 23:59,분식,193318.9837,453141.4453,분식,38522537,4.29
