Unnamed: 0,상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,업소id,별점
12,영업,02 5492888,115.0,135818,서울특별시 강남구 논현동 86-5번지 ,서울특별시 강남구 논현로132길 13 (논현동),6052.0,난랑,20180500000000.0,I,2018-08-31 23:59,중국식,202724.2143,445894.3059,중국식,21027893,4.34
13,영업,02  555 5733,84.0,135868,서울특별시 강남구 삼성동 44-15 ,서울특별시 강남구 봉은사로 445 지상1층 (삼성동),6097.0,멍텅구리 꼼장어,20201100000000.0,U,2020-11-07 2:40,한식,204211.0314,445517.8377,한식,20712009,4.46
14,영업,220933979,80.0,157779,서울특별시 강서구 염창동 240-21번지 외 1필지 우림블루나인비즈니스센터 (지상 1층) A동 121호,서울특별시 강서구 양천로 583 A동 1층 121호 (염창동 우림블루나인비즈니스센터),7547.0,이화수 염창점,20160400000000.0,I,2018-08-31 23:59,통닭(치킨),187952.56,450562.0202,통닭(치킨),37793282,4.27
15,영업,02 8343009,48.84,150813,서울특별시 영등포구 대림동 675-6번지 1층 ,서울특별시 영등포구 가마산로46길 21 1층 (대림동),7403.0,회문가든,20180200000000.0,I,2018-08-31 23:59,한식,191234.3326,444315.6955,한식,1007728423,-
16,영업,02  742 1980,,110809,서울특별시 종로구 동숭동 25-5번지 101호,서울특별시 종로구 동숭길 100 1층 101호 (동숭동),3085.0,문벅(Moon buck),20180700000000.0,I,2018-08-31 23:59,경양식,200319.976,453397.0589,경양식,-,-
17,영업,02  903 0189,31.5,132898,서울특별시 도봉구 창동 13 유진빌딩 1층 6호,서울특별시 도봉구 마들로11길 65 1층 6호 (창동 유진빌딩),1414.0,창고을만두,20210200000000.0,U,2021-02-05 2:40,한식,204317.2649,461224.0141,한식,38481529,4.18
18,영업,,212.4,156816,서울특별시 동작구 사당동 139-72 ,서울특별시 동작구 동작대로27가길 12 3층 (사당동),7008.0,쓰리에프(3F),20201100000000.0,I,2020-11-28 0:23,기타,198253.4187,442769.1143,기타,-,-
19,영업,02  5693929,36.7,157220,서울특별시 강서구 방화동 886번지 (방화2동) 롯대백화점 지하2층 ,서울특별시 강서구 하늘길 38 지하2층 (방화동 2동 롯데백화점),7505.0,선호에프엔비 김포공항점(속초코다리냉면),20191000000000.0,U,2019-10-18 2:40,냉면집,182524.8238,451438.2509,냉면집,-,-
20,영업,,47.45,121808,서울특별시 마포구 대흥동 12-41번지 ,서울특별시 마포구 신촌로 160 (대흥동 이대역스타힐스 제비층 제비10호),4104.0,명품임실치즈피자,20170400000000.0,I,2018-08-31 23:59,기타,194917.8122,450449.2023,기타,35816156,4.46
21,영업,,40.4,130865,서울특별시 동대문구 제기동 992-4번지 지상1층 ,서울특별시 동대문구 경동시장로3길 4 (제기동지상1층),2571.0,시골밥상,20100900000000.0,I,2018-08-31 23:59,한식,203505.9481,453063.8691,한식,1336027069,3.9
22,영업,,30.0,136051,서울특별시 성북구 동선동1가 3-3,서울특별시 성북구 동소문로20나길 16 1층 (동선동1가),2845.0,홍스(HONGS),20220600000000.0,I,2021-12-06 0:04,기타,201472.502,454414.2152,,1129682982,-
23,영업,02 9189289,46.08,136866,서울특별시 성북구 하월곡동 96-76 ,서울특별시 성북구 오패산로3길 83 (하월곡동),2736.0,BHC 비에이치씨 월곡점,20211100000000.0,U,2021-11-11 2:40,통닭(치킨),202931.8183,456092.3129,통닭(치킨),18276015,4.4
24,영업,02  998 1942,102.24,132904,서울특별시 도봉구 창동 135-12번지 지하1층 ,서울특별시 도봉구 노해로63다길 14 지하1층 (창동),1399.0,두메골,20180500000000.0,I,2018-08-31 23:59,한식,204033.158,461240.9735,한식,17994032,4.47
25,영업,,34.5,142804,서울특별시 강북구 미아동 54-260 ,서울특별시 강북구 월계로7나길 36 (미아동),1219.0,육회공작소(미아삼거리점),20210400000000.0,U,2021-04-11 2:40,한식,202749.9237,456709.5147,한식,37153312,4.36
26,영업,,14.98,152864,서울특별시 구로구 구로동 606-1번지 구로공구상가 비블럭동27호 ,서울특별시 구로구 구로중앙로 197 (구로동 구로공구상가 비블럭동27호),8216.0,해진식당,20130700000000.0,I,2018-08-31 23:59,한식,189133.785,444562.756,한식,1268625347,-
27,영업,02 8265477,42.19,156838,서울특별시 동작구 상도동 182-7번지 ,서울특별시 동작구 장승배기로 57-1 (상도동),6957.0,마산아구?동태찜?탕,20180600000000.0,I,2018-08-31 23:59,한식,194590.9122,444516.4347,한식,-,-
28,영업,,92.16,100130,서울특별시 중구 순화동 217번지 덕수궁롯데캐슬 ,서울특별시 중구 서소문로9길 28 1층 B105호 (순화동 덕수궁롯데캐슬),4516.0,스시 이치바,20200100000000.0,I,2020-01-04 0:23,일식,197312.6552,451257.2232,일식,1864257767,4.14
29,영업,02 734 1796,45.95,121829,서울특별시 마포구 상수동 314-7 ,서울특별시 마포구 와우산로13길 49-13 지1층 (상수동),4049.0,북스 앤 비터스(Books & Bitters),20200700000000.0,I,2020-07-22 0:23,기타,192986.9078,449548.6636,기타,-,-
30,영업,206342645,72.5,150866,서울특별시 영등포구 양평동4가 66-8번지 ,서울특별시 영등포구 양평로17길 1 (양평동4가),7208.0,대원,20130100000000.0,I,2018-08-31 23:59,한식,190770.9471,448237.5682,한식,11635518,4.49
31,영업,,92.85,137881,서울특별시 서초구 서초동 1669-14 1층 103호 ,서울특별시 서초구 서초대로56길 28 1층 103호 (서초동),6633.0,보영만두 서초교대점,20201200000000.0,I,2020-12-06 0:23,분식,201454.4577,443454.2473,분식,1393457380,4.42
32,영업,02  980 5285,26.0,142810,서울특별시 강북구 미아동 223-25 ,서울특별시 강북구 도봉로53길 36 (미아동),1125.0,분식家,20210400000000.0,U,2021-04-08 2:40,한식,202033.62,458252.6766,한식,-,-
33,영업,02  26428592,40.0,158806,서울특별시 양천구 목동 406-35 2층 ,서울특별시 양천구 오목로 319 2층 (목동),8000.0,불닭발동대문엽기떡볶이오목교점,20210600000000.0,U,2021-07-01 2:40,호프/통닭,188710.59,446990.2868,호프/통닭,-,-
34,영업,,42.0,135881,서울특별시 강남구 삼성동 166-6 ,서울특별시 강남구 봉은사로114길 42 지상1층 103호 (삼성동),6172.0,리커피 로스터스(Re coffee roasters),20211100000000.0,I,2021-11-10 0:22,기타,205707.361,445550.6027,기타,1310890637,-
35,영업,,33.0,122881,서울특별시 은평구 신사동 16-22 ,서울특별시 은평구 갈현로 15 1층 101호 (신사동),3436.0,Bistro Min(비스트로민),20200700000000.0,I,2020-07-19 0:23,경양식,191980.7003,455227.3742,경양식,1221435462,4.69
36,영업,,33.0,131860,서울특별시 중랑구 상봉동 124-3번지 ,서울특별시 중랑구 면목로85길 48 (상봉동),2139.0,에릭클랩튼(Eric Clapton),20200200000000.0,U,2020-02-29 2:40,호프/통닭,207310.5172,454504.709,호프/통닭,1572735268,-
37,영업,226711518,39.21,150094,서울특별시 영등포구 문래동4가 8-2 ,서울특별시 영등포구 도림로 485-1 (문래동4가),7288.0,우주집,20211100000000.0,U,2021-11-24 2:40,한식,190170.4951,446052.0457,한식,1931817534,-
38,영업,226933277,63.58,121836,서울특별시 마포구 서교동 332-1,서울특별시 마포구 와우산로29길 69 1층 101호 (서교동),4053.0,미성정육식당 홍대점,20220400000000.0,I,2021-12-04 0:03,한식,193430.8653,450431.6233,,1837989416,-
39,영업,,31.0,130866,서울특별시 동대문구 청량리동 18-18 ,서울특별시 동대문구 왕산로 293 1층 (청량리동),2462.0,카페 브레멘,20210700000000.0,I,2021-07-17 0:22,기타,204525.1732,453825.6105,기타,1669307474,4.31
40,영업,226900426,62.7,157879,서울특별시 강서구 화곡동 340-57번지 대강빌딩 (지상 1층) ,서울특별시 강서구 강서로18길 16 1층 (화곡동 8동 대강빌딩),7756.0,바우네나주곰탕 까치산역점,20190200000000.0,U,2019-02-23 2:40,외국음식전문점(인도태국등),186383.4372,447944.4447,외국음식전문점(인도태국등),1751242845,4.29
41,영업,02 7250589,,110062,서울특별시 종로구 신문로2가 92-1번지 ,,,본전가,20080700000000.0,I,2018-08-31 23:59,한식,,,한식,-,-
42,영업,02 3633323,39.0,120160,서울특별시 서대문구 대신동 90-10번지 ,,,쉼표,20020100000000.0,I,2018-08-31 23:59,한식,,,한식,1778304002,-
43,영업,,24.12,121867,서울특별시 마포구 연남동 373-6번지 ,서울특별시 마포구 연남로 12 우측 102호 (연남동),3989.0,산동꾸냥 수제만두,20181000000000.0,I,2018-10-07 2:37,중국식,193153.0227,450954.9457,중국식,1180776943,4.32
44,영업,22159733,21.0,133848,서울특별시 성동구 용답동 41-10번지 (지상1층) ,서울특별시 성동구 용답25길 27 (용답동(지상1층)),4805.0,대성식당,20030600000000.0,I,2018-08-31 23:59,한식,204534.2529,451151.7218,한식,18774993,4.15
45,영업,,,110320,서울특별시 종로구 낙원동 233번지 ,서울특별시 종로구 종로17길 46 1층 (낙원동),3140.0,황태해장국,20181000000000.0,U,2018-10-03 2:36,한식,198901.6196,452209.7459,한식,17947240,4.44
46,영업,,58.61,121865,서울특별시 마포구 연남동 241-31 ,서울특별시 마포구 성미산로29길 24 지하1층 (연남동),3980.0,카페 잼잼,20200800000000.0,I,2020-08-15 0:23,기타,193073.8131,451422.7292,기타,1708553019,4.64
47,영업,,65.59,110841,서울특별시 종로구 창신동 406-1 1층 ,서울특별시 종로구 종로44길 83 1층 (창신동),3120.0,쓱삭 나침반,20210700000000.0,I,2021-07-14 0:22,한식,201253.037,452061.3656,한식,-,-
48,영업,,199.49,157210,서울특별시 강서구 마곡동 774-0번지 에스에이치빌딩 (지상 2층) 205~206호 ,서울특별시 강서구 공항대로 205 2층 205~206호 (마곡동 가양 1동 에스에이치빌딩),7802.0,마곡다우리,20160900000000.0,I,2018-08-31 23:59,한식,184954.0,450846.0,한식,1239207928,4.3
49,영업,02  337 1818,16.5,121893,서울특별시 마포구 서교동 365-5번지 2층 ,서울특별시 마포구 홍익로3길 11 (서교동2층),4039.0,바다,20161100000000.0,I,2018-08-31 23:59,까페,193050.2014,450174.4452,까페,18799565,4.37
50,영업,7041101534,53.66,156816,서울특별시 동작구 사당동 147-29 이수자이 ,서울특별시 동작구 사당로 300 지하2층 B202호 (사당동 이수자이),7013.0,산쪼메 이수점,20201100000000.0,U,2020-11-21 2:40,일식,198202.4725,442471.241,일식,1779562085,4.39
51,영업,,60.0,150815,서울특별시 영등포구 대림동 728번지 1층 ,서울특별시 영등포구 대림로31가길 10 (대림동 1층),7414.0,오리랑순대랑,20171000000000.0,I,2018-08-31 23:59,중국식,190767.7729,443692.9364,중국식,-,-
52,영업,,30.0,156859,서울특별시 동작구 흑석동 95-14,서울특별시 동작구 서달로10길 9-1 1층 (흑석동),6980.0,진주식당,20220400000000.0,I,2021-12-03 22:09,한식,196568.332,444895.1783,,771196897,-
53,영업,,30.6,139842,서울특별시 노원구 월계동 333-1 월계이마트 ,서울특별시 노원구 마들로3길 15 월계이마트 2층 (월계동),1906.0,에머이&아뵤오 반점,20220300000000.0,U,2022-03-17 2:40,중국식,205391.0704,458333.9892,중국식,-,-
54,영업,02  22079995,123.3,131814,서울특별시 중랑구 면목동 412-4번지 ,서울특별시 중랑구 면목로 370 12층 (면목동),2205.0,이디야,20150600000000.0,I,2018-08-31 23:59,한식,207756.2466,453630.7852,한식,1237543049,4.49
55,영업,,30.0,131817,서울특별시 중랑구 면목동 87-2번지 ,서울특별시 중랑구 상봉로15길 9 1층 (면목동),2158.0,달려라달봉이떡볶이중랑점,20180600000000.0,I,2018-08-31 23:59,분식,208130.488,454396.5238,분식,-,-
56,영업,,278.97,137873,서울특별시 서초구 서초동 1555-16 지하1층1층2층 ,서울특별시 서초구 서초대로48길 20 지하1층1층2층 (서초동),6646.0,더엘씨,20211100000000.0,I,2021-11-21 0:22,기타,200937.1366,443304.862,기타,1350591558,-
57,영업,,103.31,156714,서울특별시 동작구 신대방동 395-70 전문건설회관빌딩,서울특별시 동작구 보라매로5길 15 전문건설회관빌딩 지하1층 (신대방동),7071.0,꼬리야,20220600000000.0,I,2021-12-05 23:08,한식,193232.0279,443314.0572,,1571095633,-
58,영업,02  433 6696,68.0,131860,서울특별시 중랑구 상봉동 121-71번지 외 2필지(73번지) ,서울특별시 중랑구 동일로114길 37 (상봉동외 2필지(73번지)),2136.0,청국장앤스토리,20171000000000.0,I,2018-08-31 23:59,한식,207207.8779,454613.9704,한식,1018580685,4.25
59,영업,,60.0,135916,서울특별시 강남구 역삼동 683-14번지 RUBINA사옥 ,서울특별시 강남구 선릉로 561 RUBINA사옥 지상1층 (역삼동),6145.0,디 에이프론,20180300000000.0,I,2018-08-31 23:59,기타,203833.7655,445165.5578,기타,-,-
60,영업,,26.88,121812,서울특별시 마포구 도화동 179-17 1층 ,서울특별시 마포구 도화길 31-2 (도화동 1층),4168.0,매운국물떡볶이 밀방떡 마포공덕점,20200900000000.0,U,2020-09-16 2:40,한식,195459.9751,448759.8636,한식,1602622331,4.39
61,영업,02 5162837,109.22,135830,서울특별시 강남구 논현동 242-28번지 ,서울특별시 강남구 선릉로129길 5 (논현동),6099.0,나리,20111000000000.0,I,2018-08-31 23:59,경양식,203559.4457,446001.7589,경양식,32261286,4.08
62,영업,,33.0,136120,서울특별시 성북구 상월곡동 27-1,서울특별시 성북구 화랑로19길 64 1층 (상월곡동),2773.0,옹달샘 아구찜,20220400000000.0,I,2021-12-04 0:08,한식,204393.9556,456307.2885,,1832498918,-
63,영업,02 4632953,74.0,143915,서울특별시 광진구 화양동 213번지 ,서울특별시 광진구 능동로19길 12 (화양동),5009.0,치카잇카이,20191200000000.0,U,2019-12-05 2:40,호프/통닭,206387.9258,449434.2666,호프/통닭,1800983468,-
64,영업,,92.3,110840,서울특별시 종로구 창신동 151-2 (지상 3층),서울특별시 종로구 종로 313 (창신동(지상 3층)),3105.0,세와세무나 레스토랑,20220600000000.0,U,2021-12-07 0:01,기타,201032.2122,452228.0159,,-,-
65,영업,702 1112,59.29,121801,서울특별시 마포구 공덕동 105-98번지 ,서울특별시 마포구 마포대로 190 1층 (공덕동),4207.0,김밥천국,20131000000000.0,I,2018-08-31 23:59,분식,196025.1495,449854.1583,분식,32052655,4.14
66,영업,02  363 2295,49.0,100858,서울특별시 중구 중림동 144-2번지 1층 ,서울특별시 중구 중림로 37 (중림동 1층),4506.0,신선 한우 생구이,20170600000000.0,I,2018-08-31 23:59,한식,197055.4797,450631.6754,한식,-,-
67,영업,,9.69,135912,서울특별시 강남구 역삼동 649 유니언타운 강남,서울특별시 강남구 강남대로94길 28 유니언타운 강남 지하2층 주방4호 (역삼동),6134.0,그릴 한 끼,20220600000000.0,U,2021-12-06 0:08,한식,202546.8456,444157.6253,,-,-
68,영업,222429318,27.88,130030,서울특별시 동대문구 답십리동 265-1번지 1층 ,서울특별시 동대문구 전농로 48 1층 (답십리동),2615.0,참숯민물장어구이,20141200000000.0,I,2018-08-31 23:59,한식,204995.3779,451864.5407,한식,20850818,4.49
69,영업,02 5433838,186.54,135517,서울특별시 강남구 청담동 99-20번지 퀸빌딩7층 ,서울특별시 강남구 압구정로 450 (청담동퀸빌딩7층),6015.0,베네디지오네,20020200000000.0,I,2018-08-31 23:59,경양식,203993.4993,447074.8508,경양식,-,-
70,영업,02 3791583,49.1,120841,서울특별시 서대문구 홍은동 9-419 ,서울특별시 서대문구 포방터길 71 (홍은동),3605.0,엉터리생고기,20210800000000.0,U,2021-08-04 2:40,한식,195460.1952,455287.9432,한식,38018639,4.33
71,영업,,17.58,130820,서울특별시 동대문구 용두동 119-8번지 1층 ,서울특별시 동대문구 왕산로16길 18-1 1층 (용두동),2584.0,용두포구,20180400000000.0,I,2018-08-31 23:59,한식,202675.4708,452744.7055,한식,256089389,4.39
72,영업,02 5628625,54.78,135931,서울특별시 강남구 역삼동 817-31 .32 ,서울특별시 강남구 강남대로98길 12-5 (역삼동.32),6129.0,선진,20211100000000.0,U,2021-11-03 2:40,경양식,202404.4807,444243.8187,경양식,21553523,4.38
73,영업,,59.68,121842,서울특별시 마포구 서교동 468-1번지 지1층일부 ,서울특별시 마포구 월드컵로14길 60 (서교동 지1층일부),4003.0,섭스탠스(SUBSTANCE),20161000000000.0,I,2018-08-31 23:59,호프/통닭,192306.5926,450494.4506,호프/통닭,-,-
74,영업,,22.16,136800,서울특별시 성북구 길음동 516-3 ,서울특별시 성북구 동소문로 311 (길음동),2730.0,아다미분식,20211200000000.0,U,2021-12-15 2:40,분식,202463.8447,456156.6272,분식,-,-
75,영업,,162.0,140858,서울특별시 용산구 이태원동 136-46번지 지상2층 ,서울특별시 용산구 우사단로 40 (이태원동 136-46 지상2층),4405.0,술판,20181000000000.0,U,2018-10-15 23:59,경양식,199563.5296,447939.0851,경양식,1826604864,-
76,영업,,61.45,133806,서울특별시 성동구 금호동3가 894-1번지 ,서울특별시 성동구 장터길 35-1 2층 (금호동3가),4726.0,쿨쉽,20181200000000.0,I,2018-12-16 2:20,경양식,201695.7128,449572.13,경양식,1395455721,4.87
77,영업,,32.0,138886,서울특별시 송파구 문정동 292번지 동남권유통단지 다블럭 10-S01 ,서울특별시 송파구 충민로 10 (문정동 동남권유통단지 다블럭 10-S01),5840.0,스파인가든5(The spain garden5),20131200000000.0,I,2018-08-31 23:59,한식,210535.0896,442137.5787,한식,-,-
78,영업,,23.37,150819,서울특별시 영등포구 대림동 832-10번지 지상1층 ,서울특별시 영등포구 대림로21길 3-2 (대림동 지상1층),7418.0,맛있는나라,20180100000000.0,I,2018-08-31 23:59,분식,191169.1594,443420.8298,분식,1063810249,-
79,영업,,14.43,135867,서울특별시 강남구 삼성동 38-30 청림빌딩 ,서울특별시 강남구 봉은사로 415 청림빌딩 지하1층 주방 4호 (삼성동),6097.0,케이에스로얄컴퍼니,20210800000000.0,I,2021-09-01 0:22,외국음식전문점(인도태국등),203961.2889,445431.5514,외국음식전문점(인도태국등),-,-
80,영업,222939233,67.22,133882,서울특별시 성동구 도선동 105번지 ,서울특별시 성동구 왕십리로24나길 10 지1층 101호 (도선동 트윈빌),4709.0,달구지,20190700000000.0,U,2019-07-24 2:40,한식,203012.7802,451295.5736,한식,37943841,4.33
81,영업,234369392,46.2,143867,서울특별시 광진구 자양동 634-23,서울특별시 광진구 자양로13길 87-1 (자양동),5061.0,자양돼지산업,20220600000000.0,U,2021-12-05 22:02,한식,207034.6094,447847.1346,,-,-
82,영업,,45.0,151844,서울특별시 관악구 봉천동 930-1 ,서울특별시 관악구 남부순환로 1726 1층 (봉천동),8784.0,행수곱창,20200900000000.0,I,2020-09-30 0:23,한식,194780.8919,442208.6748,한식,1524982075,4.89
83,영업,3243970,58.65,121828,서울특별시 마포구 상수동 93-86번지 지하1층 ,서울특별시 마포구 와우산로 51 (상수동지하1층),4049.0,버즈,20100500000000.0,I,2018-08-31 23:59,까페,193111.4691,449650.3183,까페,35895908,4.56
84,영업,,14.75,137040,서울특별시 서초구 반포동 885번지 지하 2층 201호,서울특별시 서초구 신반포로 27-6 지하 2층 201호 (반포동),6502.0,미소의집,20170800000000.0,I,2018-08-31 23:59,분식,198845.0401,444439.8956,분식,13548310,3.97
85,영업,,19.83,143844,서울특별시 광진구 자양동 57-82 ,서울특별시 광진구 동일로2길 45 1층 우측호 (자양동),5083.0,코리엔탈깻잎두마리치킨성수점,20211000000000.0,I,2021-10-22 0:22,호프/통닭,205484.3679,448050.9106,호프/통닭,1121574240,-
86,영업,02 3554295,70.64,122809,서울특별시 은평구 갈현동 402-28 201호,서울특별시 은평구 연서로29길 20-23 1층 201호 (갈현동),3330.0,진원조보신닭한마리,20220300000000.0,U,2021-12-04 0:02,한식,192792.5197,457527.9846,,-,-
87,영업,,149.27,135814,서울특별시 강남구 논현동 20-14 논현제일빌딩,서울특별시 강남구 강남대로136길 11 논현제일빌딩 지하1층 (논현동),6043.0,에이엔아더,20220500000000.0,I,2021-12-04 22:02,기타,201835.4488,445661.7618,,1970653518,4.55
88,영업,02 3023288,51.2,122923,서울특별시 은평구 응암동 579-45번지 1층 ,서울특별시 은평구 응암로21길 11 1층 (응암동),3457.0,빅토리아,20130100000000.0,I,2018-08-31 23:59,분식,192570.8914,454632.0966,분식,1764304145,4.68
89,영업,,9.52,151844,서울특별시 관악구 봉천동 928-10번지 ,서울특별시 관악구 청룡4길 64 1층 (봉천동),8785.0,꼬지나라,20190100000000.0,I,2019-02-01 2:21,분식,194849.8369,442119.9425,분식,20864450,-
90,영업,02  309 5373,33.05,120807,서울특별시 서대문구 남가좌동 339-32 (지상1층) ,서울특별시 서대문구 증가로 114 (남가좌동(지상1층)),3666.0,신돈,20210800000000.0,U,2021-08-28 2:40,한식,193307.664,452748.8341,한식,1576315885,-
91,영업,,31.0,130837,서울특별시 동대문구 장안동 195-2,서울특별시 동대문구 천호대로77길 123 1층 (장안동),2630.0,카츠와이찌,20220400000000.0,I,2021-12-03 23:06,경양식,205620.0106,451626.0976,,1608206115,-
92,영업,,16.47,150866,서울특별시 영등포구 양평동4가 23-7 ,서울특별시 영등포구 선유로47길 19 B101-9호 (양평동4가),7209.0,아웃백딜리버리 당산점,20211200000000.0,U,2021-12-10 2:40,패밀리레스트랑,190625.6624,448156.014,패밀리레스트랑,1652208709,4.75
93,영업,,164.3,152050,서울특별시 구로구 구로동 1278-1번지 두산위브단지내상가 지하B01B02호 ,서울특별시 구로구 디지털로31길 81 (구로동 두산위브단지내상가 지하B01B02호),8375.0,바다사랑,20150600000000.0,I,2018-08-31 23:59,한식,190310.336,442687.4623,한식,37366249,4.41
94,영업,,30.36,138837,서울특별시 송파구 삼전동 10번지 지상1층 ,서울특별시 송파구 백제고분로21길 8 지상1층 (삼전동),5605.0,화전밭 밀국수,20120900000000.0,I,2018-08-31 23:59,한식,207894.3343,444709.552,한식,1033533002,4.59
95,영업,,83.96,137713,서울특별시 서초구 반포동 19-4번지 7 8호 ,서울특별시 서초구 신반포로 194 영동선 1층 점포 78호 (반포동),6545.0,압구정칼국수김밥,20200500000000.0,U,2020-05-27 2:40,한식,200554.744,444811.3648,한식,-,-
96,영업,,93.84,135825,서울특별시 강남구 논현동 163-3 ,서울특별시 강남구 학동로2길 45 2층 (논현동),6114.0,위징쉔,20200600000000.0,U,2020-06-26 2:40,호프/통닭,202017.3881,445167.2018,호프/통닭,1117488715,4.56
97,영업,226144013,58.44,152826,서울특별시 구로구 고척동 76-180번지 200 ,서울특별시 구로구 경인로47길 25 (고척동),8223.0,빨봉분식 고척점,20191000000000.0,U,2019-10-03 2:40,호프/통닭,188116.3591,444270.0704,호프/통닭,38491368,4.6
98,영업,02 3637058,32.55,120020,서울특별시 서대문구 미근동 31-11 ,서울특별시 서대문구 통일로 107-23 (미근동),3739.0,평양옥,20210700000000.0,U,2021-07-31 2:40,한식,197011.2987,451331.8968,한식,13289694,4.45
99,영업,02 8171370,43.37,156030,서울특별시 동작구 상도동 492-14 ,서울특별시 동작구 상도로62길 35 (상도동),7040.0,동춘돌곱창,20211000000000.0,U,2021-10-28 2:40,호프/통닭,195808.0645,443733.3996,호프/통닭,1742927661,4.37
100,영업,02 3872006,35.0,122915,서울특별시 은평구 응암동 241-46 1층,서울특별시 은평구 응암로22길 39 1층 (응암동),3466.0,마더스닭강정,20220600000000.0,U,2021-12-07 0:01,한식,193094.6129,454554.0537,,239796214,4.4
101,영업,,80.4,138828,서울특별시 송파구 방이동 58-24번지 ,서울특별시 송파구 올림픽로34길 20 1층 101호 (방이동),5547.0,포모르,20200500000000.0,I,2020-05-29 0:23,기타,209743.4845,445859.4593,기타,1922372651,4.42
102,영업,,94.96,133866,서울특별시 성동구 행당동 168-151 왕십리민자역사,서울특별시 성동구 왕십리광장로 17 왕십리민자역사 3층 (행당동),4750.0,삼청동샤브 왕십리역점,20220400000000.0,U,2021-12-04 0:07,기타,203321.5623,451001.8687,,1636566290,-
103,영업,02 9048833,39.6,132792,서울특별시 도봉구 창동 807번지 쌍용아파트 상가101-1호 ,서울특별시 도봉구 마들로 551 (창동 쌍용아파트 상가 101-1호),1410.0,처갓집양념치킨(창5점),20170200000000.0,I,2018-08-31 23:59,통닭(치킨),204169.7657,461930.1913,통닭(치킨),1065024273,4.25
