,상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,업소id,별점
20,영업,02 5273194,56.88,135709.0,서울특별시 강남구 역삼동 705-1번지 빅토리아빌딩 지하1층 2호 ,서울특별시 강남구 테헤란로 327 (역삼동빅토리아빌딩 지하1층 2호),6150.0,빅토리아,20130400000000.0,I,2018-08-31 23:59,경양식,204091.5789,444708.1826,경양식,1451318132,4.45
21,영업,205682696,48.32,135840.0,서울특별시 강남구 대치동 896-7번지 ,서울특별시 강남구 선릉로86길 26 (대치동),6197.0,듬북담북,20111000000000.0,I,2018-08-31 23:59,경양식,204515.6553,444590.2473,경양식,32262156,4.16
22,영업,,180.84,135818.0,서울특별시 강남구 논현동 83-20 2층 ,서울특별시 강남구 학동로37길 23 (논현동2층),6053.0,천미향,20210200000000.0,U,2021-02-12 2:40,중국식,202962.7719,446064.8522,중국식,18446141,4.17
23,영업,,99.0,135878.0,서울특별시 강남구 삼성동 145-29번지 지상1층 ,서울특별시 강남구 봉은사로82길 16 (삼성동지상1층),6163.0,황소곱창,20180300000000.0,I,2018-08-31 23:59,한식,204792.8784,445545.506,한식,1017596309,4.6
24,영업,,66.0,135513.0,서울특별시 강남구 역삼동 700-11 SMC빌딩,서울특별시 강남구 언주로98길 8 SMC빌딩 지상1층 (역삼동),6147.0,제이엠일구구칠위스키 JM1997WHISKY,20220400000000.0,I,2021-12-03 22:09,호프/통닭,203675.4565,444741.4122,,-,-
25,영업,02 5756102,60.59,135964.0,서울특별시 강남구 개포동 1237-5번지 ,서울특별시 강남구 논현로20길 16 (개포동),6307.0,치어스,20150400000000.0,I,2018-08-31 23:59,한식,204014.7206,441775.4079,한식,1719319212,4.72
26,영업,234462233,70.08,135873.0,서울특별시 강남구 삼성동 109-19번지 ,서울특별시 강남구 봉은사로 623 (삼성동),6083.0,전주현대옥 코엑스점,20130400000000.0,I,2018-08-31 23:59,경양식,205548.9704,445881.2529,경양식,-,-
27,영업,,72.16,135200.0,서울특별시 강남구 자곡동 651번지 강남유탑유블레스 ,서울특별시 강남구 자곡로 180 강남유탑유블레스 1층 111-1호 (자곡동),6373.0,노랑통닭 강남자곡점,20191200000000.0,I,2019-12-11 0:23,호프/통닭,209044.6526,441272.314,호프/통닭,1038593412,4.27
28,영업,222263020,51.9,135885.0,서울특별시 강남구 수서동 724-0번지 로즈데일빌딩 지하2층13호 ,서울특별시 강남구 광평로 280 (수서동로즈데일빌딩 지하2층13호),6367.0,김가네김밥 수서역점,20160600000000.0,I,2018-08-31 23:59,분식,209052.0725,442797.1382,분식,11760992,4.15
29,영업,,99.01,135838.0,서울특별시 강남구 대치동 628번지 지하1층 ,서울특별시 강남구 남부순환로 2915 지하1층 (대치동),6280.0,백암소머리곰탕,20190100000000.0,I,2019-01-06 2:20,한식,205139.2062,443414.5384,한식,37854986,4.36
30,영업,,43.0,135509.0,서울특별시 강남구 삼성동 120-16번지 지상1층 ,서울특별시 강남구 봉은사로78길 37 (삼성동지상1층),6155.0,한우식당,20180300000000.0,I,2018-08-31 23:59,한식,204692.3946,445360.4708,한식,38274774,4.53
31,영업,02 9152923,204.95,135891.0,서울특별시 강남구 신사동 577-0번지 지상2층 ,서울특별시 강남구 논현로175길 25 (신사동지상2층),6030.0,쥬만지,20030900000000.0,I,2018-08-31 23:59,경양식,202289.3845,447021.674,경양식,-,-
32,영업,,16.66,135939.0,서울특별시 강남구 개포동 13-3 대청타워 ,서울특별시 강남구 개포로 623 대청타워 지하1층 제112호 (개포동),6336.0,엉클톰,20200900000000.0,I,2020-09-19 0:23,분식,206970.9193,443574.4116,분식,1789996852,4.2
33,영업,02 4517579,44.16,135939.0,서울특별시 강남구 개포동 14-5번지 도시개발공사지하1층113호 ,서울특별시 강남구 개포로 621 (개포동도시개발공사지하1층113호),6336.0,송탄부대찌개,20180300000000.0,I,2018-08-31 23:59,분식,206888.9964,443553.3878,분식,19448580,4.44
34,영업,222766498,614.47,135931.0,서울특별시 강남구 역삼동 809-12 지상1층 ,서울특별시 강남구 강남대로 452 지상1층 (역삼동),6123.0,쉐이크쉑 강남점,20210400000000.0,U,2021-04-11 2:40,기타,202224.1548,444524.2744,기타,38291008,4.44
35,영업,,33.17,135827.0,서울특별시 강남구 논현동 184-38 나래빌딩 ,서울특별시 강남구 강남대로114길 11 나래빌딩 지상5층 (논현동),6120.0,오르꾸숑 루프탑,20210900000000.0,I,2021-10-01 0:22,기타,202159.1355,444861.9575,기타,1124047059,-
36,영업,,89.1,135822.0,서울특별시 강남구 논현동 122-3,서울특별시 강남구 학동로6길 8 지상2층 (논현동),6110.0,소호,20220400000000.0,U,2021-12-03 22:07,기타,202015.9166,445439.0814,,1570450695,-
37,영업,02 2260919,15.57,135520.0,서울특별시 강남구 수서동 746번지 까치마을아파트상가 116호 ,서울특별시 강남구 광평로19길 10 (수서동까치마을아파트상가 116호),6354.0,사또양념치킨,20180300000000.0,I,2018-08-31 23:59,한식,207679.5793,442508.0064,한식,18429260,4.23
38,영업,,128.3,135889.0,서울특별시 강남구 신사동 545-1,서울특별시 강남구 논현로159길 65 지상2층 (신사동),6033.0,그린스티치,20220600000000.0,I,2021-12-05 22:02,경양식,201978.08,446573.3237,,-,-
39,영업,,113.0,135744.0,서울특별시 강남구 수서동 724 로즈데일오피스텔,서울특별시 강남구 광평로 280 로즈데일오피스텔 지상1층 115호 (수서동),6367.0,사위식당 수서점,20220400000000.0,U,2021-12-03 22:03,한식,209052.0725,442797.1382,,1468843896,-
40,영업,070 77772981,231.75,135831.0,서울특별시 강남구 논현동 236-6,서울특별시 강남구 봉은사로 227 지상1층 지상2층 (논현동),6109.0,샐러딧 강남본점,20220500000000.0,I,2021-12-04 22:09,기타,203194.2103,445143.7751,,1130747872,-
41,영업,02 5435861,85.0,135949.0,서울특별시 강남구 청담동 9-13번지 지상1층 ,서울특별시 강남구 학동로77길 52 (청담동지상1층),6067.0,청담곱창,20131000000000.0,I,2018-08-31 23:59,경양식,204168.4655,446650.7794,경양식,19877522,4.41
42,영업,02  34530752,18.1,135509.0,서울특별시 강남구 삼성동 119-9번지 ,서울특별시 강남구 삼성로 571 4.5층 (삼성동 경산빌딩),6154.0,러빙유골프존(삼성점),20160400000000.0,I,2018-08-31 23:59,기타,204639.1348,445571.7953,기타,-,-
43,영업,,140.71,135923.0,서울특별시 강남구 역삼동 735-25 지상1층 ,서울특별시 강남구 테헤란로16길 13 (역삼동지상1층),6235.0,육사공,20200600000000.0,U,2020-07-01 2:40,한식,202941.7488,444052.6019,한식,38483157,-
44,영업,,112.15,135888.0,서울특별시 강남구 신사동 525-19번지 ,서울특별시 강남구 논현로175길 101 (신사동),6028.0,챕터1(Chapter1),20161100000000.0,I,2018-08-31 23:59,경양식,201801.9219,446716.8617,경양식,608623130,4.67
45,영업,,172.82,135918.0,서울특별시 강남구 역삼동 707-34번지 한신인터밸리24빌딩 ,서울특별시 강남구 테헤란로 322 한신인터밸리24빌딩 지하2층 B102103호 (역삼동),6211.0,엘비스테이션(LB Station),20190700000000.0,I,2019-07-19 2:21,기타,204044.7899,444529.8404,기타,1132019353,4.21
46,영업,,118.3,135916.0,서울특별시 강남구 역삼동 682-14번지 지상1층 ,서울특별시 강남구 봉은사로54길 10 지상1층 (역삼동),6143.0,이조한아름갈비,20190500000000.0,U,2019-05-05 2:40,한식,203780.3583,445235.4182,한식,33674982,4.17
47,영업,02  511 3055,33.0,135955.0,서울특별시 강남구 청담동 122-4번지 1층101호 ,서울특별시 강남구 도산대로85길 18 1층 101호 (청담동),6012.0,부띠끄림코,20111100000000.0,I,2018-08-31 23:59,패스트푸드,204287.988,447046.7317,패스트푸드,-,-
48,영업,,296.0,135502.0,서울특별시 강남구 대치동 997-13 ,서울특별시 강남구 테헤란로108길 15 지상2층3층 (대치동),6175.0,희래등,20211000000000.0,U,2021-10-23 2:40,중국식,205781.943,445141.7291,중국식,18393183,4.14
49,영업,,49.5,135951.0,서울특별시 강남구 청담동 44-11번지 지상1층107호 ,서울특별시 강남구 학동로 421 (청담동지상1층107호),6069.0,미소야강남구청점,20170100000000.0,I,2018-08-31 23:59,분식,204019.8856,446252.3231,분식,19722328,4.3
50,영업,,41.0,135515.0,서울특별시 강남구 역삼동 786번지 ,서울특별시 강남구 도곡로33길 8 1층 101호 (역삼동),6230.0,오떡 역삼점,20150800000000.0,I,2018-08-31 23:59,기타,203788.1012,443531.2308,기타,-,-
51,영업,,30.0,135895.0,서울특별시 강남구 신사동 634-17 ,서울특별시 강남구 압구정로42길 42 지하1층 (신사동),6020.0,달마시안(Dalmatian),20210700000000.0,I,2021-07-23 0:22,한식,202981.7087,447111.5023,한식,1529976454,-
52,영업,,172.95,135888.0,서울특별시 강남구 신사동 523-10,서울특별시 강남구 강남대로162길 27-16 지상1층 (신사동),6028.0,소스윗예스,20220700000000.0,I,2021-12-06 23:04,중국식,201825.7815,446547.3086,,1771720857,-
53,영업,02  20662463,47.88,135933.0,서울특별시 강남구 역삼동 823-40 지상4층 ,서울특별시 강남구 테헤란로10길 13 지상4층 (역삼동),6234.0,윙,20210500000000.0,U,2021-05-27 2:40,경양식,202818.0743,444012.6668,경양식,1520283395,-
54,영업,,366.11,135517.0,서울특별시 강남구 청담동 98-3 ,서울특별시 강남구 압구정로 464 5층 (청담동),6015.0,카페 디올(Cafe Dior),20210400000000.0,U,2021-04-22 2:40,기타,204029.6793,446941.3444,기타,37161914,-
55,영업,,76.03,135891.0,서울특별시 강남구 신사동 572-0번지 지상1층 ,서울특별시 강남구 압구정로22길 10 (신사동지상1층),6030.0,우형준 정미소,20160200000000.0,I,2018-08-31 23:59,한식,202210.2245,446972.9631,한식,38008310,4.3
56,영업,,113.22,135891.0,서울특별시 강남구 신사동 577-9번지 ,서울특별시 강남구 압구정로28길 22-10 지상1층 102호 (신사동),6030.0,마봉양꼬치 압구정점,20191000000000.0,U,2019-10-10 2:40,한식,202305.619,447003.076,한식,1325800564,4.5
57,영업,,140.72,135935.0,서울특별시 강남구 역삼동 827-44 ,서울특별시 강남구 강남대로84길 28 2층 (역삼동),6240.0,오목집 역삼점,20201100000000.0,U,2020-11-06 2:40,한식,202665.4438,443862.9802,한식,1312590881,4.16
58,영업,,164.81,135502.0,서울특별시 강남구 대치동 1001-5번지 ,서울특별시 강남구 영동대로86길 6 2층 (대치동 지산빌딩),6174.0,교동전선생 삼성역점,20180300000000.0,I,2018-08-31 23:59,한식,205649.7705,445055.6892,한식,-,-
59,영업,,15.0,135090.0,서울특별시 강남구 삼성동 159-7번지 ,서울특별시 강남구 테헤란로 517 지하1층 (삼성동),6164.0,건강밥상,20170400000000.0,I,2018-08-31 23:59,한식,205210.3588,445154.4223,한식,1568424355,4.46
60,영업,02 5185066,24.0,135826.0,서울특별시 강남구 논현동 190-0번지 지상1층 ,서울특별시 강남구 논현로115길 29 (논현동지상1층),6122.0,엘에이양분식,20040700000000.0,I,2018-08-31 23:59,분식,202648.8844,445116.9955,분식,91813695,4.52
61,영업,,29.75,135998.0,서울특별시 강남구 대치동 936-4 지상1층2호 ,서울특별시 강남구 선릉로64길 6 (대치동지상1층2호),6206.0,한가닭 본점(구 인생닭 한티),20211200000000.0,U,2021-12-24 2:40,김밥(도시락),204610.6338,443941.1591,김밥(도시락),-,-
62,영업,,94.27,135920.0,서울특별시 강남구 역삼동 721번지 ,서울특별시 강남구 언주로85길 7 1층 (역삼동),6222.0,북촌순두부 보쌈,20150300000000.0,I,2018-08-31 23:59,기타,203700.82,444315.795,기타,37290294,4.27
63,영업,,334.78,135897.0,서울특별시 강남구 신사동 651-19,서울특별시 강남구 도산대로49길 9 지상1층 (신사동),6021.0,센트레(centre),20220700000000.0,U,2021-12-06 23:02,경양식,203209.0204,446789.5839,,1120549775,-
64,영업,02  34681600,150.0,135893.0,서울특별시 강남구 신사동 599 압구정빌딩 ,서울특별시 강남구 논현로 842 압구정빌딩 1층 (신사동),6025.0,(주)커피빈코리아 압구정역점,20210800000000.0,U,2021-08-28 2:40,기타,202471.1797,446885.8746,기타,-,-
65,영업,,86.06,135887.0,서울특별시 강남구 신사동 512-1 ,서울특별시 강남구 강남대로154길 12 (신사동),6035.0,바다를 훔친 언니,20211000000000.0,U,2021-10-07 2:40,분식,201732.8076,446150.1973,분식,1492652592,-
66,영업,,59.08,135930.0,서울특별시 강남구 역삼동 793-7 ,서울특별시 강남구 도곡로17길 29 지상1층 102호 (역삼동),6256.0,듀크버거,20201100000000.0,I,2020-11-19 0:23,기타,203170.5007,443453.8919,기타,1930692035,4.58
67,영업,02 5628800,357.2,135877.0,서울특별시 강남구 삼성동 144-22번지 ,서울특별시 강남구 테헤란로 437 (삼성동),6158.0,남도구들 한정식,20200200000000.0,U,2020-03-01 2:40,한식,204793.6175,444948.8534,한식,1047444317,-
68,영업,02  515 8679,60.2,135897.0,서울특별시 강남구 신사동 661-10번지 ,서울특별시 강남구 압구정로50길 5-12 1층 102호 (신사동),6018.0,생활맥주 압구정로데오점,20170500000000.0,I,2018-08-31 23:59,기타,203405.2905,447261.1356,기타,1524099823,4.29
69,영업,,263.24,135955.0,서울특별시 강남구 청담동 121-28,서울특별시 강남구 압구정로79길 19 지상2층 201호 (청담동),6011.0,JAVIER aranda(하비에르 아란다),20220400000000.0,I,2021-12-03 23:07,경양식,204242.0877,447010.7065,,1236602330,-
70,영업,070 77003668,15.0,135833.0,서울특별시 강남구 논현동 278-14 ,서울특별시 강남구 봉은사로51길 3-3 지하1층 103호 (논현동),6103.0,포포야,20211100000000.0,I,2021-11-24 0:22,외국음식전문점(인도태국등),203686.1439,445344.6794,외국음식전문점(인도태국등),-,-
71,영업,234527576,92.88,135936.0,서울특별시 강남구 역삼동 830-9 1층,서울특별시 강남구 역삼로3길 20-4 (역삼동1층),6243.0,농민백암왕순대,20220600000000.0,U,2021-12-05 22:06,한식,202715.544,443635.5964,,13149768,4.5
72,영업,,74.1,135501.0,서울특별시 강남구 대치동 994-8번지 ,서울특별시 강남구 영동대로 221 (대치동),6283.0,진지방 순대국 대치점,20130100000000.0,I,2018-08-31 23:59,한식,205949.3943,444056.7429,한식,38276258,4.2
73,영업,200000000,76.49,135814.0,서울특별시 강남구 논현동 49-0번지 ,서울특별시 강남구 강남대로 570 (논현동),6044.0,로비,20010900000000.0,I,2018-08-31 23:59,경양식,201785.9872,445622.7843,경양식,11583200,4.48
74,영업,,183.67,135948.0,서울특별시 강남구 청담동 2-10 남강빌딩 지상9층 ,서울특별시 강남구 도산대로 412 지상9층 (청담동 남강빌딩),6062.0,데이데이 Day Day,20220100000000.0,U,2022-01-14 2:40,경양식,203528.8893,446748.0796,경양식,1009812719,-
75,영업,02  511 1993,192.25,135897.0,서울특별시 강남구 신사동 656-15 JLJ빌딩 ,서울특별시 강남구 선릉로153길 22 JLJ빌딩 지상1층 (신사동),6019.0,카페오미노,20210600000000.0,I,2021-07-02 0:23,기타,203249.9782,446970.7685,기타,1366868070,4.63
76,영업,02  552 3001,126.31,135919.0,서울특별시 강남구 역삼동 708-24 선릉타워,서울특별시 강남구 선릉로89길 9 선릉타워 1층 (역삼동),6212.0,위드카페 WITH CAFE,20220500000000.0,U,2021-12-04 23:08,호프/통닭,204227.965,444575.83,,1353775673,-
77,영업,02 5144821,59.25,135819.0,서울특별시 강남구 논현동 98-12 지상1층 ,서울특별시 강남구 언주로148길 14 (논현동지상1층),6057.0,부부불이 동대문닭한마리,20210400000000.0,U,2021-04-24 2:40,한식,203121.2036,446464.38,한식,-,-
78,영업,02 5493328,90.34,135517.0,서울특별시 강남구 청담동 99-22번지 지하1층 ,서울특별시 강남구 압구정로 446 (청담동지하1층),6015.0,까르마,20120500000000.0,I,2018-08-31 23:59,경양식,203971.4753,447097.5188,경양식,1272506920,-
79,영업,5016775,33.0,135878.0,서울특별시 강남구 삼성동 152-0 지상1층,서울특별시 강남구 삼성로104길 12 (삼성동지상1층),6166.0,을지로골뱅이,20220600000000.0,U,2021-12-05 23:08,한식,204858.2948,445405.0446,,18476509,4.43
80,영업,,231.0,135888.0,서울특별시 강남구 신사동 528-4 화인빌딩 ,서울특별시 강남구 압구정로 110 화인빌딩 2층 201호 (신사동),6028.0,원조마포소금구이 강남점,20220200000000.0,I,2022-02-11 0:22,한식,201782.1012,446748.0672,한식,1418811404,-
81,영업,,120.0,135860.0,서울특별시 강남구 도곡동 954-13번지 지상1층 ,서울특별시 강남구 강남대로42길 13 (도곡동지상1층),6267.0,조우,20200600000000.0,U,2020-06-11 2:40,한식,203038.896,442595.242,한식,1487738581,4.62
82,영업,,109.09,135935.0,서울특별시 강남구 역삼동 826-35번지 지상1층 ,서울특별시 강남구 테헤란로4길 38 (역삼동지상1층),6241.0,국민우동집,20171100000000.0,I,2018-08-31 23:59,한식,202621.3322,443756.056,한식,860263425,4.27
83,영업,205672914,65.12,135932.0,서울특별시 강남구 역삼동 818-0번지 ,서울특별시 강남구 테헤란로1길 20 (역삼동),6129.0,황토 감자탕,20190900000000.0,U,2019-09-11 2:40,한식,202391.3864,444162.3416,한식,1014520867,4.3
84,영업,,67.31,135867.0,서울특별시 강남구 삼성동 35-19,서울특별시 강남구 선릉로116길 6 지상1층 (삼성동),6097.0,에이밤 커피,20220400000000.0,I,2021-12-04 0:07,기타,203791.1096,445577.3707,,1192857924,-
85,영업,02  556 1041,132.0,135915.0,서울특별시 강남구 역삼동 677-26 ,서울특별시 강남구 테헤란로 221 1층 (역삼동),6142.0,41포원 모카옌,20220100000000.0,I,2022-01-23 0:22,경양식,203502.7024,444451.2997,경양식,-,-
86,영업,,121.9,135811.0,서울특별시 강남구 논현동 13-18,서울특별시 강남구 도산대로8길 17 2층 (논현동),6039.0,곰다방,20220400000000.0,U,2021-12-04 0:09,한식,201911.0337,445961.6818,,1999535299,4.88
87,영업,,33.54,135918.0,서울특별시 강남구 역삼동 707-34번지 한신인터밸리24빌딩 ,서울특별시 강남구 테헤란로 322 한신인터밸리24빌딩 지하2층층 119호 (역삼동),6211.0,소소한 브라더,20190900000000.0,U,2019-09-04 2:40,일식,204044.7899,444529.8404,일식,1540755072,4.56
88,영업,02  557 7779,63.0,135515.0,서울특별시 강남구 역삼동 788-20번지 1층102호 ,서울특별시 강남구 논현로64길 14 (역삼동1층102호),6231.0,겸's 커피,20191100000000.0,U,2019-11-06 2:40,분식,203597.4046,443488.7603,분식,-,-
89,영업,,155.13,135955.0,서울특별시 강남구 청담동 117-10번지 ,서울특별시 강남구 도산대로81길 18 지상3층 (청담동),6011.0,소꿉,20170700000000.0,I,2018-08-31 23:59,한식,204151.0173,447037.0172,한식,759141120,4.35
90,영업,02  565 9522,61.62,135847.0,서울특별시 강남구 대치동 952-2번지 B101-3호 ,서울특별시 강남구 역삼로 555 지하1층 B101-3호 (대치동),6183.0,맛당,20151100000000.0,I,2018-08-31 23:59,한식,205533.7574,444755.8852,한식,-,-
91,영업,234458889,41.97,135891.0,서울특별시 강남구 신사동 567-6번지 ,서울특별시 강남구 논현로161길 27 (신사동),6031.0,우리식당,20161200000000.0,I,2018-08-31 23:59,한식,202228.1364,446786.6576,한식,1565085412,4.35
92,영업,02 5127135,99.17,135821.0,서울특별시 강남구 논현동 115-14번지 지하1층 ,서울특별시 강남구 학동로 305 (논현동지하1층),6061.0,엠,20140900000000.0,I,2018-08-31 23:59,경양식,203116.4667,445963.8971,경양식,35346657,-
93,영업,222269254,30.0,135994.0,서울특별시 강남구 개포동 186-7번지 지상1층3호 ,서울특별시 강남구 개포로82길 13-17 지상1층 3호 (개포동),6329.0,스시현,20150500000000.0,I,2018-08-31 23:59,일식,205996.6391,442966.1181,일식,36960035,4.69
94,영업,34123939,294.84,135884.0,서울특별시 강남구 수서동 714-6번지 지하1층 ,서울특별시 강남구 광평로51길 6-5 (수서동지하1층),6349.0,밤고개포차,20200200000000.0,U,2020-02-27 2:40,호프/통닭,209018.8701,442913.3832,호프/통닭,1826941158,-
95,영업,,60.4,135878.0,서울특별시 강남구 삼성동 152-45 ,서울특별시 강남구 테헤란로81길 46-3 지상1층 (삼성동),6166.0,전우소고기해장국,20211200000000.0,U,2021-12-09 2:40,한식,204904.5803,445303.9186,한식,1539351485,4.58
96,영업,,145.6,135839.0,서울특별시 강남구 대치동 890-43번지 ,서울특별시 강남구 테헤란로70길 14-12 지상1층 (대치동),6193.0,교대 이층집 선릉점,20180500000000.0,I,2018-08-31 23:59,한식,204600.348,444671.0976,한식,1080710511,4.34
97,영업,,61.0,135894.0,서울특별시 강남구 신사동 613-16번지 1층 101호,서울특별시 강남구 논현로176길 24 1층 101호 (신사동),6022.0,봉식이 옛날 왕만두,20131200000000.0,I,2018-08-31 23:59,분식,202622.845,447242.3578,분식,1282313047,4.39
98,영업,,14.38,135880.0,서울특별시 강남구 삼성동 157-18 ,서울특별시 강남구 테헤란로83길 11 지하2층 주방12호 (삼성동),6168.0,베비스토어 삼성점,20201100000000.0,I,2020-11-06 0:23,기타,205011.5101,445106.4575,기타,-,-
99,영업,,2.06,135829.0,서울특별시 강남구 논현동 215-15,서울특별시 강남구 논현로124길 5 지상2층 25호 (논현동),6105.0,쌈쌈한 냉면,20220500000000.0,U,2021-12-04 23:08,한식,202766.247,445582.0189,,-,-
100,영업,02  544 1022,72.09,135888.0,서울특별시 강남구 신사동 524-34 ,서울특별시 강남구 압구정로10길 22 지상1층 (신사동),6028.0,에이 투앤티 세컨드 A-TWENTY SECOND,20210900000000.0,I,2021-09-16 0:22,경양식,201858.5661,446661.7631,경양식,-,-
101,영업,02  523 8200,138.15,135953.0,서울특별시 강남구 청담동 70-6 ,서울특별시 강남구 학동로97길 17 지상1층 (청담동),6072.0,코자차,20210200000000.0,U,2021-02-10 2:40,한식,204810.6561,446518.0206,한식,1777546474,-
102,영업,02 5451249,81.32,135819.0,서울특별시 강남구 논현동 98-12번지 ,서울특별시 강남구 언주로148길 14 (논현동),6057.0,청기와,20040400000000.0,I,2018-08-31 23:59,한식,203121.2036,446464.38,한식,18524027,4.16
