상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,업소id,별점
영업,02 8244636,102.0,156843,서울특별시 동작구 상도동 248-2 ,서울특별시 동작구 성대로1길 6 1층 (상도동),6959.0,기절초풍 물닭갈비,20201100000000.0,U,2020-11-21 2:40,한식,193993.0335,444241.663,한식,13156205,4.42
영업,02 8210067,43.74,156839,서울특별시 동작구 상도동 324-64 ,서울특별시 동작구 국사봉1길 43-1 (상도동),7041.0,골목식당,20211200000000.0,U,2021-12-14 2:40,한식,193804.8728,444122.8153,한식,-,-
영업,02 8179686,28.0,156808,서울특별시 동작구 대방동 335-15 ,서울특별시 동작구 상도로 77 (대방동),6953.0,바지락손칼국수,20211200000000.0,U,2021-12-14 2:40,한식,193671.3734,444190.6705,한식,38276241,4.47
영업,,39.3,156821,서울특별시 동작구 사당동 267-21번지 ,서울특별시 동작구 사당로16나길 22 1층 (사당동),7010.0,명인치킨,20190700000000.0,I,2019-08-01 2:21,호프/통닭,197458.4323,442323.1272,호프/통닭,1961954308,4.39
영업,02  32801100,57.6,156842,서울특별시 동작구 상도동 214-295 현산푸른숲 ,서울특별시 동작구 양녕로26길 49 1층 101호 (상도동 현산푸른숲),7037.0,젠(ZEN),20220100000000.0,I,2022-01-19 0:22,기타,194976.3579,443800.5754,기타,1816157694,-
영업,02843 7003,177.6,156855,서울특별시 동작구 신대방동 708 ,서울특별시 동작구 보라매로3길 29 상가동 2층 44 45호 (신대방동 해태보라매타워),7071.0,순남시래기,20201200000000.0,U,2020-12-11 2:40,한식,193279.5991,443230.4182,한식,983271561,4.51
영업,,22.0,156822,서울특별시 동작구 사당동 300-69번지 ,서울특별시 동작구 사당로16길 64 1층 (사당동),7018.0,밥이불,20200500000000.0,I,2020-05-03 0:23,한식,197441.6581,442091.2518,한식,1527943211,-
영업,7076045953,13.5,156811,서울특별시 동작구 대방동 402-7 ,서울특별시 동작구 여의대방로24라길 32 지상1층 (대방동),7055.0,알렉스플레이스,20211000000000.0,U,2021-10-31 2:40,경양식,193091.1527,444134.0199,경양식,21274070,4.73
영업,02817 5001,117.0,156830,서울특별시 동작구 상도1동 638-2번지 ,서울특별시 동작구 양녕로 282-1 1층 (상도1동),6969.0,갈매울감자탕,20181000000000.0,U,2018-10-25 2:37,식육(숯불구이),195548.01,444687.4916,식육(숯불구이),1020768837,4.2
영업,02   8225697,40.71,156803,서울특별시 동작구 노량진동 231-10번지 ,서울특별시 동작구 장승배기로23길 1 (노량진동),6935.0,오감만족,20121000000000.0,I,2018-08-31 23:59,한식,194605.4799,445310.2168,한식,233912086,4.57
영업,,26.4,156821,서울특별시 동작구 사당동 269-23번지 ,서울특별시 동작구 사당로16가길 43 1층 (사당동),7010.0,또래오래,20200300000000.0,U,2020-03-05 2:40,호프/통닭,197370.728,442364.5967,호프/통닭,11483655,4.43
영업,02 8178152,26.46,156810,서울특별시 동작구 대방동 385-13 ,서울특별시 동작구 여의대방로36길 1 (대방동),6945.0,옛날짜장,20201000000000.0,U,2020-10-08 2:40,중국식,193067.403,444674.7958,중국식,20668686,4.41
영업,260142120,108.59,156831,서울특별시 동작구 상도동 26-27 ,서울특별시 동작구 상도로 217-4 지하2층 (상도동),6921.0,두젠틀(DOGENTLE),20210300000000.0,U,2021-03-11 2:40,기타,194879.621,444803.0784,기타,398449188,4.36
영업,02 522 6320,42.34,156821,서울특별시 동작구 사당동 268-30번지 (1층) ,서울특별시 동작구 사당로16가길 24 (사당동(1층)),7010.0,골목식당,20101100000000.0,I,2018-08-31 23:59,한식,197470.2402,442338.1271,한식,-,-
영업,,26.0,156826,서울특별시 동작구 사당동 1030-10 ,서울특별시 동작구 동작대로7길 12 1층 2호 (사당동),7015.0,뜸들이다 사당점,20211100000000.0,I,2021-11-12 0:22,한식,198237.705,441979.1023,한식,1886398621,-
영업,,40.0,156030,서울특별시 동작구 상도동 314-16번지 ,서울특별시 동작구 성대로 18 2층 24호 (상도동),7042.0,상도미식회,20200400000000.0,U,2020-05-01 2:40,기타,193961.8337,444158.8817,기타,1409592232,4.38
영업,02 5229293,90.16,156827,서울특별시 동작구 사당동 1041-28번지 ,서울특별시 동작구 사당로30길 154 (사당동),7025.0,푸드100,20190200000000.0,U,2019-02-20 2:40,한식,198213.011,441755.2762,한식,11807293,4.42
영업,02  34763392,62.58,156816,서울특별시 동작구 사당동 139-52번지 ,서울특별시 동작구 동작대로27다길 9 (사당동),7008.0,호우양꼬치,20150300000000.0,I,2018-08-31 23:59,한식,198212.8818,442776.8789,한식,36830431,4.54
영업,8126889,73.9,156030,서울특별시 동작구 상도동 505-8 ,서울특별시 동작구 상도로61길 35 (상도동),7027.0,백채김치찌개,20201100000000.0,U,2020-11-25 2:40,한식,196115.215,443640.4862,한식,36631123,4.56
영업,02588 5444,26.3,156825,서울특별시 동작구 사당동 1029-38 ,서울특별시 동작구 사당로30길 100 (사당동),7015.0,주라주라김밥,20201100000000.0,U,2020-11-22 2:40,일식,198221.0595,442025.2194,일식,1997244192,4.38
영업,02 8221145,26.36,156857,서울특별시 동작구 흑석동 50-22 ,서울특별시 동작구 서달로14길 24 (흑석동),6979.0,재일,20211100000000.0,U,2021-11-19 2:40,일식,196768.3726,445056.3044,일식,35209214,4.11
영업,,88.42,156030,서울특별시 동작구 상도동 507-3번지 제이플러스 ,서울특별시 동작구 상도로61길 72 지하1층 B103호 (상도동 제이플러스),7027.0,고렝,20180100000000.0,I,2018-08-31 23:59,외국음식전문점(인도태국등),196284.0741,443586.544,외국음식전문점(인도태국등),1082149369,4.4
영업,,45.12,156832,서울특별시 동작구 상도동 358-1 ,서울특별시 동작구 상도로15길 98 1층 (상도동),6949.0,소소한 브런치,20220100000000.0,I,2022-01-20 0:22,경양식,194289.6268,444672.6218,경양식,1134463428,-
영업,,32.06,156824,서울특별시 동작구 사당동 1001-7,서울특별시 동작구 동작대로17길 40 2층 (사당동),7012.0,온도425,20220400000000.0,I,2021-12-03 22:00,경양식,197914.9641,442309.6195,,1806113489,-
영업,7041101534,53.66,156816,서울특별시 동작구 사당동 147-29 이수자이 ,서울특별시 동작구 사당로 300 지하2층 B202호 (사당동 이수자이),7013.0,산쪼메 이수점,20201100000000.0,U,2020-11-21 2:40,일식,198202.4725,442471.241,일식,1779562085,4.39
영업,02 8225972,41.0,156804,서울특별시 동작구 노량진동 271-13번지 ,서울특별시 동작구 등용로14길 68 지상1층 (노량진동),6931.0,새우네집,20170300000000.0,I,2018-08-31 23:59,분식,194209.5458,445564.3385,분식,230403199,4.56
영업,,53.48,156847,서울특별시 동작구 신대방동 345-7번지 외2필지 ,서울특별시 동작구 보라매로 94 (신대방동외2필지),7053.0,신촌찌개집(신대방삼거리점),20190700000000.0,U,2019-08-01 2:40,한식,193584.2268,443930.9914,한식,1774532901,4.34
영업,02  821 9957,121.88,156840,서울특별시 동작구 상도동 188-40 ,서울특별시 동작구 상도로 148 (상도동),6959.0,옥문,20211200000000.0,U,2021-12-07 2:40,중국식,194264.015,444500.088,중국식,1923250609,4.26
영업,02 8213330,128.17,156811,서울특별시 동작구 대방동 406-6,서울특별시 동작구 보라매로 112 (대방동),7041.0,마포숯불갈비,20220700000000.0,U,2021-12-06 23:04,한식,193609.2145,444125.5582,,20834283,4.16
영업,,49.12,156855,서울특별시 동작구 신대방동 724 보라매자이 더 포레스트,서울특별시 동작구 여의대방로22길 121 상가동 1층 1450호 (신대방동 보라매자이 더 포레스트),7056.0,백스비어 신대방삼거리역점,20220400000000.0,I,2021-12-03 22:03,호프/통닭,193441.3893,444008.6005,,1661321531,-
영업,,33.0,156821,서울특별시 동작구 사당동 265-12,서울특별시 동작구 사당로 229 1층 (사당동),7004.0,베베빗(bebebit),20220700000000.0,I,2021-12-06 22:08,기타,197574.1384,442391.3009,,1222713932,-
영업,02  26358854,34.81,156823,서울특별시 동작구 사당동 319-44번지 ,서울특별시 동작구 동작대로11길 104 (사당동),7012.0,조이랜드,20180500000000.0,I,2018-08-31 23:59,일식,197790.2576,442159.52,일식,1348330791,-
영업,02 8150104,26.0,156807,서울특별시 동작구 대방동 20-77 ,서울특별시 동작구 등용로 100 지상1층 (대방동),6932.0,BHC대방점,20211000000000.0,U,2021-10-27 2:40,호프/통닭,193940.2371,445319.034,호프/통닭,37658155,4.56
영업,02 8248464,23.7,156811,서울특별시 동작구 대방동 415-6번지 ,서울특별시 동작구 여의대방로24가길 10 (대방동),7055.0,김가보쌈,20100100000000.0,I,2018-08-31 23:59,한식,192948.3445,444055.1439,한식,20853499,4.31
영업,,53.58,156816,서울특별시 동작구 사당동 145-13번지 2층 ,서울특별시 동작구 동작대로27가길 38 (사당동2층),7008.0,정파스타(Jung Pasta),20141000000000.0,I,2018-08-31 23:59,경양식,198246.8363,442635.1228,경양식,-,-
영업,02 8478367,34.8,156855,서울특별시 동작구 신대방동 708번지 해태보라매타워 ,서울특별시 동작구 보라매로3길 29 지하층 52535657호 (신대방동 해태보라매타워),7071.0,소반,20190800000000.0,U,2019-08-23 2:40,한식,193279.5991,443230.4182,한식,1629252754,4.25
영업,,69.3,156800,서울특별시 동작구 노량진동 62-11 ,서울특별시 동작구 노량진로 132 2층 (노량진동),6922.0,으스시,20220300000000.0,I,2022-03-27 0:22,일식,194675.2675,445680.2824,일식,1397535512,4.43
영업,232805959,91.62,156030,서울특별시 동작구 상도동 477-17 ,서울특별시 동작구 상도로37길 74 (상도동),6971.0,황새골손칼국수,20201100000000.0,U,2020-11-25 2:40,한식,195758.0858,443972.0029,한식,32117320,4.43
영업,,60.0,156030,서울특별시 동작구 상도동 316-2 1층 ,서울특별시 동작구 성대로2길 1 (상도동 1층),7042.0,오남매감자탕,20211100000000.0,U,2021-11-18 2:40,한식,193949.4019,444182.6687,한식,-,-
영업,,30.0,156815,서울특별시 동작구 사당동 77-63 ,서울특별시 동작구 동작대로33길 23 1층 (사당동),6997.0,고향식당,20210900000000.0,U,2021-09-03 2:40,기타,198240.4889,443069.4838,기타,1241778841,4.41
영업,,55.0,156813,서울특별시 동작구 본동 386-1 ,서울특별시 동작구 노량진로18길 13 (본동),6916.0,고향갈비,20211000000000.0,U,2021-10-20 2:40,한식,195572.4368,445561.6981,한식,34198804,4.07
영업,,35.52,156840,서울특별시 동작구 상도동 235-37 상현빌딩 ,서울특별시 동작구 성대로29길 1 상현빌딩 1층 (상도동),6962.0,미자네식당,20211200000000.0,U,2021-12-07 2:40,한식,194606.3065,444102.2767,한식,1640400712,-
영업,,30.0,156861,서울특별시 동작구 흑석동 190-22 ,서울특별시 동작구 흑석로13마길 65-3 1층 (흑석동),6910.0,일이삼식당,20201200000000.0,U,2020-12-17 2:40,한식,196312.0908,445030.115,한식,38276136,4.49
영업,02522 0888,78.24,156826,서울특별시 동작구 사당동 1031-25 ,서울특별시 동작구 동작대로3길 8 (사당동),7015.0,하선생,20220200000000.0,U,2022-02-12 2:40,중국식,198244.9975,441807.7842,중국식,1752865998,-
영업,,20.5,156853,서울특별시 동작구 신대방동 621-2 ,서울특별시 동작구 신대방2길 32 1층 (신대방동),7066.0,피크닉존,20210900000000.0,I,2021-09-03 0:22,기타,192238.2368,442974.2352,기타,1888800489,4.78
영업,232851112,31.19,156819,서울특별시 동작구 사당동 252-10번지 큰빛교회 ,서울특별시 동작구 사당로13길 8 큰빛교회 1층 (사당동),7004.0,달쫀 남성역점,20191000000000.0,I,2019-10-09 0:22,분식,197524.8011,442487.9801,분식,-,-
영업,,42.0,156855,서울특별시 동작구 신대방동 724 보라매자이 더 포레스트,서울특별시 동작구 여의대방로22길 121 제상가동 1층 1416호 (신대방동 보라매자이 더 포레스트),7056.0,바른치킨 신대방삼거리점,20220600000000.0,I,2021-12-07 0:02,호프/통닭,193441.3893,444008.6005,,1310933611,-
영업,02 8136114,266.8,156813,서울특별시 동작구 노량진동 330번지 지층 ,서울특별시 동작구 만양로 84 (노량진동 지층),6914.0,바다회상,20200500000000.0,U,2020-05-06 2:40,일식,195079.2655,445413.2884,일식,1551302676,4.54
영업,02 8429322,27.04,156838,서울특별시 동작구 상도동 195-46 ,서울특별시 동작구 상도로22길 10 1층 (상도동),6959.0,우리포차,20211100000000.0,U,2021-11-11 2:40,한식,194318.5487,444502.1729,한식,1204724406,-
영업,02 8171923,60.96,156801,서울특별시 동작구 노량진동 125-16 ,서울특별시 동작구 만양로14가길 16 (노량진동),6913.0,엄마손부침개,20211000000000.0,U,2021-10-20 2:40,분식,195087.6052,445551.0076,분식,20926421,3.98
영업,,28.84,156824,서울특별시 동작구 사당동 1006-20 ,서울특별시 동작구 동작대로21길 36 103호 (사당동),7013.0,_사이,20210500000000.0,I,2021-05-13 0:22,기타,198137.7594,442421.2306,기타,1722601761,4.59
영업,,24.0,156831,서울특별시 동작구 상도동 20-12번지 1층 ,서울특별시 동작구 만양로 10 (상도동),6919.0,소로르국수전,20190700000000.0,U,2019-07-04 2:40,기타,195250.2016,444827.5941,기타,-,-
영업,,95.58,156816,서울특별시 동작구 사당동 145-28 2층 ,서울특별시 동작구 동작대로27가길 31 (사당동 2층),7008.0,맥주마트,20211100000000.0,U,2021-11-19 2:40,경양식,198266.8856,442662.6023,경양식,31487688,4.69
영업,02813 4540,96.84,156861,서울특별시 동작구 흑석동 190-26번지 ,서울특별시 동작구 흑석로 83-1 지상1층 (흑석동),6910.0,더진국 중앙대점,20180700000000.0,I,2018-08-31 23:59,한식,196287.9985,445003.7856,한식,1326895559,4.51
영업,,30.16,156801,서울특별시 동작구 노량진동 124-9번지 ,서울특별시 동작구 만양로14길 21 (노량진동),6913.0,피자보이시나,20150800000000.0,I,2018-08-31 23:59,기타,195101.5426,445516.5017,기타,37072828,4.37
영업,02  842 7755,342.48,156728,서울특별시 동작구 신대방동 395-66 보라매삼성쉐르빌 ,서울특별시 동작구 보라매로5길 43 1층 112113114호 (신대방동 보라매삼성쉐르빌),7071.0,신도세기보라매,20210300000000.0,I,2021-03-24 0:23,한식,193153.177,443251.1214,한식,1574208667,4.21
영업,02825 5952,61.64,156030,서울특별시 동작구 상도동 502-6번지 동운빌딩 ,서울특별시 동작구 사당로 14 1층 (상도동),7027.0,숭실대중문 한솥도시락,20180300000000.0,I,2018-08-31 23:59,한식,196034.3082,443674.6169,한식,1258501482,-
영업,226193848,30.7,156030,서울특별시 동작구 상도동 315-22번지 ,서울특별시 동작구 성대로2길 7 1층 (상도동),7042.0,가마솥장우왕족발,20200600000000.0,U,2020-06-25 2:40,한식,193893.764,444126.4685,한식,13156362,4.27
영업,234774467,86.5,156819,서울특별시 동작구 사당동 257-26,서울특별시 동작구 사당로17나길 2 (사당동),7004.0,진미 순대국,20220700000000.0,U,2021-12-06 23:07,한식,197570.6478,442422.8288,,20845950,4.35
영업,070 82518079,19.0,156841,서울특별시 동작구 상도동 211-59번지 1층 101호 ,서울특별시 동작구 양녕로28길 22 (상도동 1층 101호),7036.0,동네카페 고커피,20140400000000.0,I,2018-08-31 23:59,까페,195057.0586,444020.5121,까페,1775358137,5
영업,02816 2443,43.5,156030,서울특별시 동작구 상도동 414번지 ,서울특별시 동작구 만양로 26 1층 104105호 (상도동 건영(아)상가동),6918.0,홈런호프치킨,20191200000000.0,U,2019-12-18 2:40,호프/통닭,195489.4234,444995.6756,호프/통닭,1715706637,4.61
영업,02535 5797,132.0,156820,서울특별시 동작구 사당동 324-4,서울특별시 동작구 사당로 259 1층 (사당동),7005.0,밀양손만두,20220300000000.0,U,2021-12-04 0:02,한식,197839.4566,442396.9145,,1347261647,-
영업,263267470,34.61,156826,서울특별시 동작구 사당동 1030-1번지 ,서울특별시 동작구 사당로30길 97 1층 (사당동),7015.0,하노이별,20200500000000.0,U,2020-05-20 2:40,외국음식전문점(인도태국등),198239.6276,442037.4671,외국음식전문점(인도태국등),37049840,4.54
영업,,39.54,156857,서울특별시 동작구 흑석동 50-24 ,서울특별시 동작구 서달로14길 16 (흑석동),6979.0,원조소금구이,20211000000000.0,U,2021-10-06 2:40,한식,196733.4982,445072.0151,한식,20937716,4.3
영업,,71.52,156816,서울특별시 동작구 사당동 145-13 ,서울특별시 동작구 동작대로27가길 38 3층 (사당동),7008.0,힛지(HITG),20201100000000.0,I,2020-11-21 0:23,기타,198246.8363,442635.1228,기타,1578938683,4.7
영업,02 8245830,29.7,156800,서울특별시 동작구 노량진동 36-5 ,서울특별시 동작구 노량진로8길 35 (노량진동),6928.0,원조마포갈비,20201200000000.0,U,2020-12-05 2:40,한식,194390.7938,445604.7429,한식,20834283,4.16
영업,,53.55,156811,서울특별시 동작구 대방동 407-46번지 더킴벌리빌딩 ,서울특별시 동작구 여의대방로24길 129 더킴벌리빌딩 1층 (대방동),7055.0,딱새우407,20200200000000.0,I,2020-02-07 0:23,기타,193491.1055,444130.6096,기타,1090345629,4.52
영업,,51.61,156881,서울특별시 동작구 상도1동 509-2 ,서울특별시 동작구 매봉로 51 1층 (상도1동),6919.0,빅토리아 가든,20210200000000.0,I,2021-02-24 0:23,기타,195643.1911,444999.6264,기타,1416585634,4.42
영업,02 8357066,128.0,156811,서울특별시 동작구 대방동 402-2 ,서울특별시 동작구 상도로 26 지상1층 (대방동),,보라매25시해장국,20211200000000.0,U,2021-12-26 2:40,한식,193148.2109,444164.9818,한식,19036473,4.34
영업,,55.08,156807,서울특별시 동작구 대방동 23-26 ,서울특별시 동작구 등용로 112 (대방동),6932.0,맛짱갈비,20201200000000.0,U,2020-12-18 2:40,한식,193937.1119,445434.8304,한식,1816099381,4.23
영업,,133.43,156811,서울특별시 동작구 대방동 407-29 ,서울특별시 동작구 여의대방로24길 141 2층 (대방동),7055.0,엉터리생고기,20201100000000.0,U,2020-11-13 2:40,통닭(치킨),193557.0607,444112.2946,통닭(치킨),37615390,4.32
영업,,31.6,156817,서울특별시 동작구 사당동 161-106,서울특별시 동작구 사당로27길 54 1층 (사당동),7007.0,이수집밥,20220300000000.0,U,2021-12-04 0:01,한식,197883.1926,442658.5094,,1802963582,-
영업,02 8467604,19.0,156710,서울특별시 동작구 신대방동 395-68 보라매나산스위트 지하동 49호,서울특별시 동작구 보라매로5가길 24 지하동 49호 (신대방동보라매나산스위트),7071.0,나눔,20201200000000.0,U,2020-12-03 2:40,분식,193204.7822,443168.5136,분식,1175323625,4.47
영업,02 5226621,89.3,156827,서울특별시 동작구 사당동 1040-4 ,서울특별시 동작구 동작대로7길 65 1층 (사당동),7025.0,오드리곱창,20211200000000.0,U,2021-12-09 2:40,한식,198086.5664,441754.7984,한식,1139062420,4.82
영업,,29.12,156816,서울특별시 동작구 사당동 138-4,서울특별시 동작구 동작대로27다길 29 (사당동),7008.0,오늘와인한잔,20220700000000.0,U,2021-12-07 0:06,기타,198217.6261,442674.1554,,1674054773,-
영업,,56.1,156030,서울특별시 동작구 상도동 503-1번지 ,서울특별시 동작구 상도로67길 27 (상도동),7027.0,아영이네,20110800000000.0,I,2018-08-31 23:59,호프/통닭,196074.8777,443627.2198,호프/통닭,1550776609,4.23
영업,,39.6,156844,서울특별시 동작구 상도동 256-41 김한욱치과 ,서울특별시 동작구 성대로 40 1층 (상도동),7044.0,상도칼국수,20201000000000.0,U,2020-10-28 2:40,한식,194030.2707,444085.5983,한식,1593467281,4.25
영업,5945550,138.37,156816,서울특별시 동작구 사당동 145-27번지 ,서울특별시 동작구 동작대로25길 13 (사당동),7008.0,육촌,20170600000000.0,I,2018-08-31 23:59,중국식,198268.1189,442673.6994,중국식,458846611,4.33
영업,02  815 9997,39.0,156800,서울특별시 동작구 노량진동 50-2 ,서울특별시 동작구 장승배기로 164 나동 1층 (노량진동),6924.0,대구생막창,20201100000000.0,I,2020-11-15 0:23,한식,194668.0419,445546.2306,한식,1763081719,3.94
영업,,49.52,156030,서울특별시 동작구 상도동 505-3번지 1층 ,서울특별시 동작구 사당로 24-1 (상도동 1층),7027.0,은화수식당,20171200000000.0,I,2018-08-31 23:59,기타,196139.7961,443653.7409,기타,1201214733,4.38
영업,,67.39,156030,서울특별시 동작구 상도동 503-1번지 ,서울특별시 동작구 상도로67길 27 2층 (상도동),7027.0,밀플랜비,20200200000000.0,I,2020-03-01 0:23,경양식,196074.8777,443627.2198,경양식,1947323834,4.67
영업,,23.2,156801,서울특별시 동작구 노량진동 119-75 ,서울특별시 동작구 만양로 89 (노량진동),6923.0,대박분식,20201200000000.0,U,2020-12-04 2:40,분식,194998.4238,445464.7678,분식,1248309826,4.73
영업,02 8261246,57.6,156811,서울특별시 동작구 대방동 405-11 코스모빌딩 1층 107호,서울특별시 동작구 보라매로 113 (대방동),7055.0,일미리금계찜닭 신대방삼거리역점,20201200000000.0,U,2020-12-11 2:40,한식,193554.745,444142.0407,한식,1168745827,4.34
영업,02 5949200,82.5,156816,서울특별시 동작구 사당동 131-4 ,서울특별시 동작구 동작대로29길 11 (사당동),7008.0,황제소고기국밥,20201200000000.0,U,2020-12-09 2:40,한식,198279.3931,442857.6773,한식,18761631,4.28
영업,02 5855105,34.94,156826,서울특별시 동작구 사당동 1032-49번지 ,서울특별시 동작구 동작대로3길 28 (사당동),7015.0,마파치킨사당역점,20200300000000.0,U,2020-03-28 2:40,한식,198157.0404,441813.9764,한식,36883405,4.24
영업,,45.87,156860,서울특별시 동작구 흑석동 181-1번지 한신빌딩 ,서울특별시 동작구 서달로15길 23 1층 (흑석동),6972.0,박군하누,20190800000000.0,U,2019-08-11 2:40,한식,196547.6883,445149.1798,한식,1289215422,4.81
영업,,55.71,156826,서울특별시 동작구 사당동 1032-8번지 ,서울특별시 동작구 사당로30길 126 (사당동),7015.0,요란한부엌,20180400000000.0,I,2018-08-31 23:59,한식,198216.74,441894.6867,한식,36046483,-
영업,02 7220201,43.97,156861,서울특별시 동작구 흑석동 184-28번지 (2층) ,서울특별시 동작구 흑석로 101-1 (흑석동(2층)),6910.0,신전떡볶이(중앙대점),20190100000000.0,U,2019-01-20 2:40,분식,196451.1129,445064.5581,분식,273816314,4.52
영업,02823 8788,13.0,156800,서울특별시 동작구 노량진동 90-8 ,서울특별시 동작구 노량진로16길 27 1층 (노량진동),6922.0,소라네김밥,20210600000000.0,U,2021-07-02 2:40,호프/통닭,194984.9186,445578.9481,호프/통닭,1888626583,4.43
영업,02 5863241,38.18,156826,서울특별시 동작구 사당동 1032-24번지 ,서울특별시 동작구 사당로30길 136 (사당동),7015.0,화우(火牛),20150400000000.0,I,2018-08-31 23:59,한식,198214.8874,441843.3903,한식,-,-
영업,02 5981189,74.43,156827,서울특별시 동작구 사당동 1040-30번지 지하1층 ,서울특별시 동작구 동작대로3길 25 지하1층 (사당동),7025.0,까망까레,20200500000000.0,U,2020-05-16 2:40,경양식,198158.4958,441793.9982,경양식,38010353,4.5
영업,02  823 6446,27.0,156031,서울특별시 동작구 상도1동 265-1번지 ,서울특별시 동작구 상도로37길 42 지상1층 (상도1동),6970.0,프라이밋(PRIMEAT),20170100000000.0,I,2018-08-31 23:59,경양식,195598.677,444206.728,경양식,1826405755,4.59
영업,263988881,43.17,156861,서울특별시 동작구 흑석동 190-57 ,서울특별시 동작구 흑석로 97-1 1층 (흑석동),6910.0,카페미뇽중앙대점,20210100000000.0,U,2021-01-06 2:40,기타,196427.5158,445049.8182,기타,1546509952,4.51
영업,02 5921263,72.35,156815,서울특별시 동작구 사당동 88-19번지 ,서울특별시 동작구 동작대로31길 5 (사당동),6997.0,계룡원,20150500000000.0,I,2018-08-31 23:59,한식,198308.0684,442924.3297,한식,-,-
영업,02 9063601,30.5,156853,서울특별시 동작구 신대방동 605-11번지 ,서울특별시 동작구 신대방길 71 1층 (신대방동),7070.0,시골이모,20181200000000.0,I,2018-12-15 2:20,한식,191953.1838,442989.4037,한식,1942426594,-
영업,,58.19,156030,서울특별시 동작구 상도동 535 상도2차두산위브트레지움아파트 ,서울특별시 동작구 상도로30길 40 1층 114호 (상도동 상도2차두산위브트레지움아파트),6964.0,벚꽃스시,20210900000000.0,U,2021-09-16 2:40,일식,194870.3844,444631.1127,일식,1548114845,-
영업,,18.0,156840,서울특별시 동작구 상도동 194-10 ,서울특별시 동작구 상도로22길 36 1층 (상도동),6959.0,윤S푸드,20211100000000.0,I,2021-11-19 0:22,한식,194369.7136,444391.0249,한식,-,-
영업,208147756,17.51,156804,서울특별시 동작구 노량진동 267-10 ,서울특별시 동작구 등용로14길 67 (노량진동),6927.0,박리김밥,20210500000000.0,U,2021-05-30 2:40,분식,194203.7059,445587.8896,분식,20406472,4.37
영업,,22.28,156871,서울특별시 동작구 상도1동 741-1번지 ,서울특별시 동작구 상도로38가길 1 (상도1동),7032.0,등마루식당,20141200000000.0,I,2018-08-31 23:59,한식,195312.3188,444456.4943,한식,1448353798,-
