,업소아이디,업소명,분류코드,분류코드명,업소 주소,업소 전화번호,찾아오시는 길,업소정보,자랑거리,추천수,기준년월,업소 사진,위도,경도,행정구,행정동,검색명,식당아이디
10,7786,한우마당,1,한식,서울특별시 중구 남대문로5길 7 (북창동),02-3789-7792,2호선 시청역 7번출구에서   한국은행 옆 일방통행길 (횡단보도건너 좌측으로 올라가 우측까페베네끼고 우회전),(2022년 5월 기준) ○ 영업시간 : 10:00~22:00 (휴무일: 일요일) ○ 좌석수 : 120석  ○ 배달 : 불가 ○ 주차 : 불가 ○ 기타:  예약 가능 카드 가능  ,전용 숙성고에서 20~30일 동안 저온 숙성된 고급 육질의 쇠고기를 맛볼 수 있어요.  유통 마진을 줄여 저렴한 가격에 1등급 이상의 한우를 제공합니다.  숯 대신 두꺼운 돌 불판을 사용하여 고기 본연의 육즙과 향을 고스란히 느낄 수 있어요.,64,21-2,http://tearstop.seoul.go.kr/mulga/photo/20220512100541.jpg,37.56167432,126.9788515,중구,북창동,중구 북창동 한우마당,13132772
11,6778,흥부농장,1,한식,서울특별시 광진구 뚝섬로59길 81-2 (자양동),3437-3611       ,자양사거리에서 자양골목시장 방향 100m지점,영업시간 : 11:00~익일02:00 좌석수 : 40석 휴무일 : 명절 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :  ,가격이 저렴하고 청결함,64,21-2,http://tearstop.seoul.go.kr/mulga/photo/SDC10304.JPG,37.53552255,127.0827993,광진구,자양동,광진구 자양동 흥부농장,17990777
12,6384,자매식당,1,한식,서울특별시 광진구 구의로 16 (구의동),3437-8760       ,구의역 근처 서울광진 우체국 맞은편,영업시간 : 09:00 ~ 21:00 좌석수 : 30 휴무일 : 매주일요일 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :  ,저렴한 가격,63,21-2,http://tearstop.seoul.go.kr/mulga/photo/20111108095530.JPG,37.53927948,127.0895514,광진구,구의동,광진구 구의동 자매식당,1492791228
13,4826,김밥나라,1,한식,서울특별시 광진구 용마산로 52 (중곡동),446-2442        , 중곡동길에서 신성시장길 입구,영업시간 : 24시간 좌석수 : 휴무일 : 둘째넷째 일요일 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :     , o 옥외 가격표시 우수업소 - 가격이 저렴하고 청결,63,21-2,http://tearstop.seoul.go.kr/mulga/photo/STA71371.JPG,37.55833658,127.0880062,광진구,중곡동,광진구 중곡동 김밥나라,32088848
14,6378,다비다식당,1,한식,서울특별시 광진구 동일로 444 (중곡동),466-1074        ,중곡동성원아파트 지나 현대주유소 맞은편,영업시간 : 11:00 ~ 20:00 좌석수 : 50 휴무일 : 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :  ,가격이 저렴하고 청결함,63,21-2,http://tearstop.seoul.go.kr/mulga/photo/20111108095547.JPG,37.56970056,127.0797764,광진구,중곡동,광진구 중곡동 다비다식당,18808869
15,6871,궁원 중화요리,2,중식,서울특별시 동대문구 사가정로 229 (장안동),2212-7749       ,장안2동 주민센터 길건너편 뚜레주르제과점 2층에 위치.,영업시간 : 11:00 ~ 21:00 휴무일 : 첫째셋째 화요일 명절 배달 : 가능 (할인적용은 안됨) 예약 : 가능 카드 : 가능 주차 : 가능(2~3대정도) 기타 : 세트메뉴 4인가족 식사 가능 ,맛고 성실 친절로 승부합니다. 꿈나무카드 가맹점으로 오기 힘든 아이들을 위해 배달까지 가능합니다. ,62,21-2,http://tearstop.seoul.go.kr/mulga/photo/20130820140648.jpg,37.57894686,127.0705533,동대문구,장안동,동대문구 장안동 궁원 중화요리,36004924
16,7142,제주토방탕수육,2,중식,서울특별시 송파구 성내천로 212 (마천동),431-0049,전철노선:5호선마천역 2번출구 버스노선:3316.3315.3416.3214.3318.3314.3317 남천초등학교방면' ,영업시간 :11:00~23:00 좌석수 :4석 휴무일 :둘째 넷째주 월요일 배달 : 배달가능모든메뉴포장가능 예약 :가능 카드 :가능 주차 :가능 기타 : 제주축협에서 직송하는 제주도 돼지고기만을 사용하고 있음 ,15년 동안  한장소에서  운영하고 있습니다!!! 돼지고기는 제주산  생고기만을 사용합니다.(냉동고기는 사용 안함)~~~ 맛이좋습니다!!!  탕수육 전문점으로 단일품목만 취급하며 홀 방문시 저렴한 가격으로 제공 ,60,21-2,http://tearstop.seoul.go.kr/mulga/photo/20111104152729.jpg,37.50001784,127.151182,송파구,마천동,송파구 마천동 제주토방탕수육,36004929
17,6856,자매식당,1,한식,서울특별시 동대문구 이문로28길 16 (이문동),967-9358        ,한국외국어대학교 앞 지하차도 도입부의 편의점옆 골목으로 들어가 온누리성민약국 우측 골목에 위치.,영업시간 : 09:30~21:30 좌석수 : 36석 휴무일 : 매주일요일 명절 예약 : 가능 카드 : 가능 주차 : 불가  ,집에서 먹는 어머니의 손맛을 느낄 수 있으며 맛있고 푸짐하게 식사가 가능합니다.  ,60,21-2,http://tearstop.seoul.go.kr/mulga/photo/20130820140706.jpg,37.59549733,127.0605629,동대문구,이문동,동대문구 이문동 자매식당,1907395009
18,7501,한연수짜장,2,중식,서울특별시 송파구 송이로31길 4-11 (문정동),402-3414,전철노선:8호선 문정역 2번출구 문정고등학교지나 장지동주민센터방면 삼성래미안 하차 공원쪽으로 지나 상가 밀집지역으로 20m 버스노선:3215.3418.301.3011.401.3319' ,영업시간 : 11:00~19:00 좌석수 :8 휴무일 : 둘째 넷째 월요일 배달 : X 예약 : O 카드 : O 주차 : X  ,배달제외로 인건비 절감  저렴한 가격은 물론. 신선하고 질 좋은 식재료로 정성껏 준비하여 손님을 맞이하며  청결 깨끗한 요리작업을 볼 수 있게 주방이 오픈되어 있습니다. ,60,21-2,http://tearstop.seoul.go.kr/mulga/photo/20110707191607.jpg,37.48803873,127.132459,송파구,문정동,송파구 문정동 한연수짜장,20868139
19,1113,해주냉면,1,한식,서울특별시 송파구 올림픽로12길 5-22 (잠실동),424-7192        ,전철노선:2호선 신천역 4번출구 맥도날드 골목안 좌회전 로즈모텔앞 위치 버스노선:600.6006.1100.2000.3217.3315.등 잠실롯데백화점방면버스 모두 ,영업시간 : 11:30 ~ 21:00 좌석수 : 40석 휴무일 : 매주일요일 배달 : 무 예약 : 가능 카드 : 가능 주차 : 2대 ,냉면양념의 맵고 새콤달콤한 특별한 맛과 20년 전통의 특별한 노하우가 있으며. SBS MBC TV에 방영된 업소입니다. 단일메뉴로 반찬 식자재 절감효과로 저렴한 가격제공가능,60,21-2,http://tearstop.seoul.go.kr/mulga/photo/20111104155711.jpg,37.5109865,127.0841391,송파구,잠실동,송파구 잠실동 해주냉면,1920811115
20,7338,우돈골,1,한식,서울특별시 송파구 위례성대로20길 24 (오금동),3401-4585,전철노선: 5호선 방이역 2번출구 도보 3분  버스노선: 3214321632203414  오금동 대림아파트 정류장 하차 도보3분 ,영업시간 : 오전11시 ~ 새벽 1시  좌석수 : 테이블 12 의자 50 휴무일 : 연중무휴  배달 : ×  예약 : 가능  카드 : 가능  주차 : 가능  ,점심특선으로 가격할인제공  국내산 삼겹살 600g 22000원으로 푸짐한 양과 저렴한 가격 점심특선 메뉴로 인근 직장인들이 많이 이용함 ,60,21-2,http://tearstop.seoul.go.kr/mulga/photo/20100726170307.jpg,37.50926539,127.1272557,송파구,오금동,송파구 오금동 우돈골,-
21,5713,김밥나라,1,한식,서울특별시 강서구 양천로59길 46 (가양동),02-3664-8327,강서구청 가양동 별관 주위,영업시간 : 24시간 좌석수 : 20개 휴무일 : 미정 배달 : 불가 예약 : 가능 카드 : 가능 주차 : 가능 홈페이지 주소 : 없음 전자우편주소 : 없음 기타 : 없음   ,다양한 메뉴 친절하고 깨끗합니다.,59,21-2,http://tearstop.seoul.go.kr/mulga/photo/g3_2.jpg,37.56104156,126.860025,강서구,가양동,강서구 가양동 김밥나라,36004204
22,7299,백미식당,1,한식,서울특별시 강서구 공항대로59가길 25 (등촌동),02-3662-9288,등촌역2번출구에서 서울신기술 창업센터방면으로 100m,영업시간 :오전9시~오후9시 좌석수 :7개 휴무일 :매주일요일 배달 :가능 예약 :가능 카드 :가능 주차 :불가능 홈페이지 주소 : 전자우편주소 :   ,저렴한가격으로 가까운곳은  배달서비스도 가능합니다. 모든 음식을 조달하지 않고 직접 조리합니다. ,56,21-2,http://tearstop.seoul.go.kr/mulga/photo/20100722163135.jpg,37.55175699,126.8652265,강서구,등촌동,강서구 등촌동 백미식당,-
23,1460,남영해물탕,1,한식,서울특별시 용산구 한강대로80길 12 (남영동),798-2545        ,숙대입구역(6번 출구)에서 도보로 200m 거리,영업시간 : 10:00~22:00 좌석수 : 26석 휴무일 : 연중무휴 예약 : 가능 카드 : 가능 주차 : 없음 배달: 불가 ,깨끗하고 청결한 위생관리와 항상 신선한 재료와 각종 해물을 산지에서 직송하여 사용하는 모범업소임,56,21-2,http://tearstop.seoul.go.kr/mulga/photo/20130708102620.jpg,37.54254316,126.973487,용산구,남영동,용산구 남영동 남영해물탕,18715342
24,736,장수설렁탕,1,한식,서울특별시 송파구 백제고분로 148 (잠실동),415-1472        ,버스노선: 340.363.3314.3417.4318 잠실본동 주민센터 인근 형지빌딩 ' ,영업시간 : 24시간 좌석수 : 40석  휴무일 : 연중무휴  예약 : 가능  카드 : 가능  주차 : 10대 배달 : 불가  ,15년 한 자리 영업으로 단골고객 보유,56,21-2,http://tearstop.seoul.go.kr/mulga/photo/20111104160604.jpg,37.50548704,127.0831211,송파구,잠실동,송파구 잠실동 장수설렁탕,18570229
25,6759,부부칼국수,1,한식,서울특별시 강서구 강서로56가길 47 (등촌동) 101호 동진빌딩,02-3662-4594,발산사거리에서 가양동쪽으로 우리은행 영광교회 뒤편 호서전산학교,영업시간 :09:00~21:30 좌석수 :50석 휴무일 :일요일 배달 :가능 예약 :가능 카드 :가능 주차 :가능 홈페이지 주소 : 전자우편주소 :  ,직접 손으로 만든 김치로 만두와 칼국수 냉콩국수 10년이 넘도록 한곳에서 같은 재료와 같은 가격으로~~ 주변 호서전문 학생들은 20% 할인 해드립니다. ,41,21-2,http://tearstop.seoul.go.kr/mulga/photo/d3_2.jpg,37.56170219,126.8400994,강서구,등촌동,강서구 등촌동 부부칼국수,13152434
26,7833,별미 바지락칼국수,1,한식,서울특별시 강동구 풍성로 160 (성내동),470-7393,,영업시간 : 좌석수 : 휴무일 : 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :   ,칼국수 비빔국수 등이 매우 맛있고 식사시간에 줄서서 먹는 집입니다. 소비자단체의 추천을 받은 청결함이 매우 뛰어난 업소입니다.,33,21-2,http://tearstop.seoul.go.kr/mulga/photo/20220527141256.jpg,37.53058027,127.1296127,강동구,성내동,강동구 성내동 별미 바지락칼국수,-
27,7832,뚝배기,1,한식,서울특별시 강동구 양재대로 1389 (성내동),476-6005,길동 사거리에서 둔촌 방향으로 한 정거장 떨어진 도로변에 위치합니다. 주말이면 하남행 등산객들의 발길로 분주합니다.,영업시간 : 24시간 좌석수 : 15석 휴무일 : 배달 : 불가 예약 : 불가 카드 : 가능 주차 : 불가 홈페이지 주소 : 전자우편주소 :   ,모든메뉴가 3000원입니다. 소비자단체의 추천업소로 청결한 위생과 맛을 모두 자랑합니다. ,32,21-2,http://tearstop.seoul.go.kr/mulga/photo/20220527141321.jpg,37.53018558,127.1367675,강동구,성내동,강동구 성내동 뚝배기,944494960
28,7802,박리김밥,1,한식,서울특별시 중랑구 공릉로2길 22 (묵동),02-949-7101,먹골역(7호선) 1번 출구로 나와서 묵동 삼거리에서 우회전하면 전방 100m앞에 위치,영업시간 : 6시 ~ 23시 좌석수 : 28석 휴무일 : 1 3주 월요일 예약 : 가능 배달 : 가능 카드 : 가능 주차 : 가능 취급품목 : 김밥 2000원 기타: 업소가 매우 깨끗하며 친절함  ,먹골역에서 가까워 교통이 편리하고 업소가 매우 깨끗하며 치즈김밥 순두부찌개 등 음식이 맛있어 오랜 단골들 확보 대부분의 메뉴가 5000원으로 가격도 저렴해서 인근 직장인들이 많이 찾는 곳 '주변 평균가격 보다 7~15% 저렴한 업소로 1년 동안  동일 가격유지' ,23,21-2,http://tearstop.seoul.go.kr/mulga/photo/20151126104526.jpg,37.61195597,127.0790364,중랑구,묵동,중랑구 묵동 박리김밥,36004211
29,7663,소소한날,1,한식,서울특별시 영등포구 도림로 462 (문래동3가),02-2068-2220,국화아파트 상가 1층,영업시간 : 10:00-22:00 좌석수 : 56석 휴무일 : 휴무없음 배달 : 가능 예약 : 가능 카드 : 가능 주차 : 가능 홈페이지 주소 : 전자우편주소 : 기타 :주인이 주방 및 총괄가격동결로 물가안정에 동참   ,소고기는 한우만 취급하고 등심 가격이 저렴함 돼지고기는 암돼지만 사용(200g 9000원) ※경로우대계란찜 무한리필,22,21-2,http://tearstop.seoul.go.kr/mulga/photo/20150427152616.jpg,37.51577851,126.8923582,영등포구,문래동,영등포구 문래동 소소한날,19007398
30,3887,부남돌구이,1,한식,서울특별시 종로구 대학로2길 65-5 (효제동),742-2451        ,지하철1호선 종로5가역3번출구에서 건영의료기 골목에 위치.50M정도에 위치 버스노선:262 720 271 260 261270 7025등 다수가 있음.,영업시간 :오전10:00 ~ 오후10:00 좌석수 :46 휴무일 :매주일요일 배달 :가능 예약 :가능 카드 :가능 주차 : 불가    ,오랫동안 숙련된 사장님의 손맛에 깔끔하고 신선한 재료로써 주위에 직장인들이 점심시간에 기다려야 할 정도랍니다. 사장님의 자랑할 만한 요리는 쭈꾸미 철판 볶음이랍니다.,10,21-2,http://tearstop.seoul.go.kr/mulga/photo/00003887.jpg,37.57179175,127.0055853,종로구,효제동,종로구 효제동 부남돌구이,-
31,7574,대림각,2,중식,서울특별시 노원구 섬밭로 263 (중계동),02-949-2748,,영업시간 :10:30 ~ 21:00 좌석수 : 135석 휴무일 : 연휴때 설추석 예약가능여부 : 가능 배달가능여부 : 가능 주차가능여부 : 가능 카드사용가능      ,영업장 청결 및 3년째 저렴한 가격.  ,9,21-2,http://tearstop.seoul.go.kr/mulga/photo/20140122161756.JPG,37.63913993,127.0638195,노원구,중계동,노원구 중계동 대림각,36004923
32,2022,봉주르,1,한식,서울특별시 마포구 와우산로 155-1 (서교동),332-8373        ,홍대방향의 산울림 소극장 바로 옆에 위치 하고 있습니다. ,영업시간 :10:00-24:00 좌 석 수  : 45석 휴 무 일  : 매주 일요일 예    약   : 가능 카    드   : 가능       ,저희 업소는 단골을 위주로한 편안하고 아늑한 분위기의 업소를 표방합니다.  커피국산차도 있습니다. 한가지 메뉴가 아닌 주인아주머니의 손맛에따라 매일 메뉴가 바뀝니다.,9,21-2,http://tearstop.seoul.go.kr/mulga/photo/00002022.jpg,37.55497892,126.9300363,마포구,서교동,마포구 서교동 봉주르,34807268
33,2225,일봉,3,경양식일식,서울특별시 종로구 종로 192-1 (종로4가),2266-2540       , 종로5가 지하철역 예지상가 2번출구  파랑색 버스 143 150 160 161 200번 타고 종로 5가 하차,영업시간 : 오전11시 - 오후10시 좌석수 : 60석 휴무일 : 매주일요일 배달 : 무 예약 : 가능 카드 : 가능 주차 : 불가 홈페이지 주소 : 없음   ,종업원 인건비를 생선에 투자하여 신선하고 저렴한가격으로 드실수 있도록 최선을 다하고 있습니다,9,21-2,http://tearstop.seoul.go.kr/mulga/photo/00002225.jpg,37.57046489,126.9990785,종로구,종로4가,종로구 종로4가 일봉,38009845
34,4526,깡통참숯돼지갈비,1,한식,서울특별시 성북구 보문로30라길 17 (동선동2가),928-3343        ,성북구청 후문에서 성신여대방향으로 우측에 20M,영업시간 : 10시 ~ 23시 좌석수 :40 휴무일 : 없음 배달 :   불가 예약 : 가능 카드 : 가능 주차 : 가능 홈페이지 주소 : 전자우편주소 :  ,국내산 고기만을 사용하며 특이 사항은 직장인을 대상으로 점심메뉴로 옛날식도시락으로 7가지의 반찬과 하루하루 다른 반찬과 매일 담그는 신선한 겉절이등으로 손님에 입맛을 돋우는 맛으로 가격은 5천으로 저렴한 가격으로 직장인들에게 가정에서 먹는 맛 그대로를 전해드리려 노력하고 있습니다. 주인이 직접 인근전통시장에 야채를 배달받아 박리다매 중,9,21-2,http://tearstop.seoul.go.kr/mulga/photo/20160104160204.JPG,37.58973215,127.0187619,성북구,동선동,성북구 동선동 깡통참숯돼지갈비,36004757
35,2832,투가리올림픽,1,한식,서울특별시 송파구 백제고분로 465 (방이동),386-7004, 전철노선:2.8 호선 잠실역.몽촌토성역 버스노선:3214.3216.3313.3315 3414.3411.송파구청 하차 방이사거리 방이맛골에 위치하며 방이시장 남문에 위치함.  올림픽공원 남이문쪽에 가까이 위치하고 있음,영업시간 :24시간 좌석수 :35석 휴무일 :연중무휴 예약 :가능 카드 :무 배달 : 불가 주차 : 불가   ,인건비 절약(고객 셀프서비스) 실내가 깨끗하며 화학조미료를 절대 사용하지 않고  신선한 재료로 맛을 낸다. 20년의 손맛으로 끓여주는 깔끔한 맛 ,9,21-2,http://tearstop.seoul.go.kr/mulga/photo/00002832.jpg,37.51218629,127.1130539,송파구,방이동,송파구 방이동 투가리올림픽,1163150239
36,6665,산정,1,한식,서울특별시 중구 동호로 288 (장충동2가),2277-0913       ,3호선 동대입구역 1번 출구쪽 장충동 앰버서더서울풀만호텔 건너편 S-oil근처 ,(2022년 5월 현재) ○ 영업시간 : 11:00~22:00 (휴무일: 1 3째주 일요일) ○ 좌석수 : 80석 ○ 배달 : 불가  ○ 주차 : 2대 정도 가능 ○ 기타: 예약 가능 카드 가능      ,제주도산 고기만 사용합니다.  오랫동안 고기 맛을 인정받아 단골고객이 많은 가게입니다. '식객 허영만의 백반기행' (79회)에도 소개되었어요~,9,21-2,http://tearstop.seoul.go.kr/mulga/photo/20130604113250.JPG,37.56021602,127.0031204,중구,장충동,중구 장충동 산정,18054957
37,7340,동춘원,2,중식,서울특별시 중랑구 봉우재로71길 41 (망우동),02-434-9454, 우림시장사거리에서 용마프라자 지나 우림시장 주차장 앞 ,영업시간 :11:00~20:30 좌석수 : 16 휴무일 : 24주 화요일 배달 : 불가능 예약 : 불가능 카드 : 가능 주차 : 불가능 취급품목 : 자장면 2000원 짬뽕 2500원 기타: '배달은 하지 않고 홀에 오시는 손님에게만 저렴한 가격으로  판매'    ,주변 평균가격보다 약 35% 저렴한 업소로 사장님  부부가 직접 요리 서빙하여 인건비 절감',9,21-2,http://tearstop.seoul.go.kr/mulga/photo/20100802163706.JPG,37.5963378,127.0978063,중랑구,망우동,중랑구 망우동 동춘원,20919368
38,7595,다운이,1,한식,서울특별시 노원구 한글비석로 444 (상계동) 교림노원프라자 지하1층,02-937-1160,,영업시간 : 10:00 ~ 19:30 좌석수 : 8석  휴무일 : 주일 예약가능여부 : 불가 주차가능여부 : 가능 배달 : 불가 카드사용불가       ,가족(본인모)이 직접운영함,8,21-2,http://tearstop.seoul.go.kr/mulga/photo/20140122161913.JPG,37.66361305,127.0684926,노원구,상계동,노원구 상계동 다운이,36004022
39,1145,원조막국수,1,한식,서울특별시 강북구 노해로33길 49 (수유동),991-5215        ,광산부페4거리에서 쌍문교방향으로 200미터 올라가 이광언내과 맞은편 디지털LG대리점골목으로 500미터 올라가 우이시장 못미처 좌측에 위치.,영업시간 : 9시~21시 좌석수 : 48석 (12개 테이블) 휴무일 : 없음 배달 : 불가 예약 : 안함 카드 : 가능 주차 : 불가  ,25년 경력의 사골로 국물을 낸 육수와 열무오이배참깨 등 각종 재료를 아끼지 않고 사용하여 푸짐하며 매콤한 김칫국물 맛과 갈아 넣은 얼음 맛으로 시원한 국물맛이 일품이다.,8,21-2,http://tearstop.seoul.go.kr/mulga/photo/00001145.gif,37.64672082,127.0218646,강북구,수유동,강북구 수유동 원조막국수,36003825
40,4955,김밥천국,1,한식,서울특별시 강서구 가로공원로76길 61 (화곡동),02-2692-5955,화곡대림아파트1동 강수원 치과 맞은편에 있는 화곡중앙의원 뒷편,,,8,21-2,http://tearstop.seoul.go.kr/mulga/photo/hh_10.jpg,37.53442541,126.8382672,강서구,화곡동,강서구 화곡동 김밥천국,37687259
41,2700,제주똥돼지촌,1,한식,서울특별시 구로구 구로동로28길 98 (구로동),02-837-3077,구로4동사무소 옆,영업시간 : 14:00 ~ 24:00 좌석수 : 36석 휴무일 : 명절 배달 : 없음 예약 : 가능 카드 : 가능 주차 : 12대 홈페이지 주소 : X 전자우편주소 : X 기타 :         ,#NAME?,8,21-2,http://tearstop.seoul.go.kr/mulga/photo/00002700.jpg,37.49172629,126.8892641,구로구,구로동,구로구 구로동 제주똥돼지촌,32101231
42,7651,세림가든,1,한식,서울특별시 영등포구 경인로 874 (영등포동1가),02-2671-5678,롯데백화점(영등포) 옆 신길역 방향 100m 대로변,영업시간 : 11:00-23:00 좌석수 : 70석 휴무일 : 휴무없음 배달 : 불가 예약 : 가능 카드 : 가능 주차 : 가능 홈페이지 주소 : 전자우편주소 : 기타 : 재료는 주인이 직접구매 및 주방담당  ,교통이 편리하고 매장이 청결 저렴한 가격의 세트 메뉴 판매 등 전체 메뉴가 비교적 저가격 유지 직원의 친절한 서비스,8,21-2,http://tearstop.seoul.go.kr/mulga/photo/20121108163234.jpg,37.51719978,126.9098191,영등포구,영등포동,영등포구 영등포동 세림가든,-
