,index,상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,업소id,리뷰
13,14,영업,02  32801100,57.6,156842,서울특별시 동작구 상도동 214-295 현산푸른숲 ,서울특별시 동작구 양녕로26길 49 1층 101호 (상도동 현산푸른숲),7037.0,젠(ZEN),20220100000000.0,I,2022-01-19 0:22,기타,194976.3579,443800.5754,기타,1816157694,"[95, 77, 15, 2, 5, 44, 54, 3, 13, 9, 20, '0', 7, 33, 7]"
14,15,영업,02843 7003,177.6,156855,서울특별시 동작구 신대방동 708 ,서울특별시 동작구 보라매로3길 29 상가동 2층 44 45호 (신대방동 해태보라매타워),7071.0,순남시래기,20201200000000.0,U,2020-12-11 2:40,한식,193279.5991,443230.4182,한식,983271561,"[191, 59, 57, 44, 26, 36, 2, 4, 4, 6, 4, '0', '0', 55, 35]"
15,16,영업,,22.0,156822,서울특별시 동작구 사당동 300-69번지 ,서울특별시 동작구 사당로16길 64 1층 (사당동),7018.0,밥이불,20200500000000.0,I,2020-05-03 0:23,한식,197441.6581,442091.2518,한식,1527943211,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
16,17,영업,7076045953,13.5,156811,서울특별시 동작구 대방동 402-7 ,서울특별시 동작구 여의대방로24라길 32 지상1층 (대방동),7055.0,알렉스플레이스,20211000000000.0,U,2021-10-31 2:40,경양식,193091.1527,444134.0199,경양식,21274070,"[251, 75, 54, 57, 57, 59, 39, '0', 48, 3, 2, '0', 2, 127, 2]"
17,18,영업,02817 5001,117.0,156830,서울특별시 동작구 상도1동 638-2번지 ,서울특별시 동작구 양녕로 282-1 1층 (상도1동),6969.0,갈매울감자탕,20181000000000.0,U,2018-10-25 2:37,식육(숯불구이),195548.01,444687.4916,식육(숯불구이),1020768837,"[143, 48, 29, 63, 24, 9, 5, 3, 5, 10, 4, '0', 5, 22, 23]"
18,19,영업,02   8225697,40.71,156803,서울특별시 동작구 노량진동 231-10번지 ,서울특별시 동작구 장승배기로23길 1 (노량진동),6935.0,오감만족,20121000000000.0,I,2018-08-31 23:59,한식,194605.4799,445310.2168,한식,233912086,"[38, 23, 38, '0', '0', 1, '0', '0', 10, 7, 1, '0', '0', '0', '0']"
19,20,영업,,26.4,156821,서울특별시 동작구 사당동 269-23번지 ,서울특별시 동작구 사당로16가길 43 1층 (사당동),7010.0,또래오래,20200300000000.0,U,2020-03-05 2:40,호프/통닭,197370.728,442364.5967,호프/통닭,11483655,"[17, 6, 4, 6, '0', '0', '0', '0', 3, '0', '0', '0', '0', 2, '0']"
20,21,영업,02 8178152,26.46,156810,서울특별시 동작구 대방동 385-13 ,서울특별시 동작구 여의대방로36길 1 (대방동),6945.0,옛날짜장,20201000000000.0,U,2020-10-08 2:40,중국식,193067.403,444674.7958,중국식,20668686,"[10, 5, 12, 2, 1, 1, '0', '0', '0', '0', '0', '0', '0', 2, 1]"
21,22,영업,260142120,108.59,156831,서울특별시 동작구 상도동 26-27 ,서울특별시 동작구 상도로 217-4 지하2층 (상도동),6921.0,두젠틀(DOGENTLE),20210300000000.0,U,2021-03-11 2:40,기타,194879.621,444803.0784,기타,398449188,"['0', 34, '0', '0', '0', '0', 6, '0', '0', '0', 10, '0', '0', '0', '0']"
22,24,영업,,26.0,156826,서울특별시 동작구 사당동 1030-10 ,서울특별시 동작구 동작대로7길 12 1층 2호 (사당동),7015.0,뜸들이다 사당점,20211100000000.0,I,2021-11-12 0:22,한식,198237.705,441979.1023,한식,1886398621,"[46, 21, 11, 13, 27, 18, 1, '0', 11, '0', '0', '0', '0', 11, '0']"
23,25,영업,,40.0,156030,서울특별시 동작구 상도동 314-16번지 ,서울특별시 동작구 성대로 18 2층 24호 (상도동),7042.0,상도미식회,20200400000000.0,U,2020-05-01 2:40,기타,193961.8337,444158.8817,기타,1409592232,"[9, 3, 3, 1, 1, 1, '0', '0', 1, '0', '0', '0', '0', 1, 2]"
24,26,영업,02 5229293,90.16,156827,서울특별시 동작구 사당동 1041-28번지 ,서울특별시 동작구 사당로30길 154 (사당동),7025.0,푸드100,20190200000000.0,U,2019-02-20 2:40,한식,198213.011,441755.2762,한식,11807293,"[112, 319, 558, 74, 623, 202, 24, 13, 100, 44, 56, '0', 12, 171, 576]"
25,27,영업,02  34763392,62.58,156816,서울특별시 동작구 사당동 139-52번지 ,서울특별시 동작구 동작대로27다길 9 (사당동),7008.0,호우양꼬치,20150300000000.0,I,2018-08-31 23:59,한식,198212.8818,442776.8789,한식,36830431,"[130, 65, 26, 13, '0', 14, 2, 6, 16, 18, 2, '0', '0', 25, 12]"
26,28,영업,8126889,73.9,156030,서울특별시 동작구 상도동 505-8 ,서울특별시 동작구 상도로61길 35 (상도동),7027.0,백채김치찌개,20201100000000.0,U,2020-11-25 2:40,한식,196115.215,443640.4862,한식,36631123,"[125, 57, 61, 75, 7, 7, '0', '0', 6, 3, 1, '0', 1, 25, 1]"
27,29,영업,02588 5444,26.3,156825,서울특별시 동작구 사당동 1029-38 ,서울특별시 동작구 사당로30길 100 (사당동),7015.0,주라주라김밥,20201100000000.0,U,2020-11-22 2:40,일식,198221.0595,442025.2194,일식,1997244192,"[46, 27, 21, 19, 25, 6, '0', 1, 2, 1, '0', '0', 1, 12, '0']"
28,30,영업,02 8221145,26.36,156857,서울특별시 동작구 흑석동 50-22 ,서울특별시 동작구 서달로14길 24 (흑석동),6979.0,재일,20211100000000.0,U,2021-11-19 2:40,일식,196768.3726,445056.3044,일식,35209214,"[11, 6, 3, 1, '0', 1, '0', '0', '0', '0', '0', '0', '0', 1, '0']"
29,31,영업,,88.42,156030,서울특별시 동작구 상도동 507-3번지 제이플러스 ,서울특별시 동작구 상도로61길 72 지하1층 B103호 (상도동 제이플러스),7027.0,고렝,20180100000000.0,I,2018-08-31 23:59,외국음식전문점(인도태국등),196284.0741,443586.544,외국음식전문점(인도태국등),1082149369,"[60, 14, 8, 15, 13, 8, 12, 3, 9, 2, 1, '0', '0', 8, 7]"
30,32,영업,,45.12,156832,서울특별시 동작구 상도동 358-1 ,서울특별시 동작구 상도로15길 98 1층 (상도동),6949.0,소소한 브런치,20220100000000.0,I,2022-01-20 0:22,경양식,194289.6268,444672.6218,경양식,1134463428,"[30, 21, 4, 8, 7, 17, 4, 1, 6, '0', '0', '0', '0', 16, '0']"
31,33,영업,,32.06,156824,서울특별시 동작구 사당동 1001-7,서울특별시 동작구 동작대로17길 40 2층 (사당동),7012.0,온도425,20220400000000.0,I,2021-12-03 22:00,경양식,197914.9641,442309.6195,,1806113489,"['0', 1, '0', '0', '0', '0', 1, 1, 1, '0', '0', '0', '0', '0', '0']"
32,34,영업,7041101534,53.66,156816,서울특별시 동작구 사당동 147-29 이수자이 ,서울특별시 동작구 사당로 300 지하2층 B202호 (사당동 이수자이),7013.0,산쪼메 이수점,20201100000000.0,U,2020-11-21 2:40,일식,198202.4725,442471.241,일식,1779562085,"[83, 24, 18, 13, 43, 8, 3, 1, 9, 1, '0', '0', 1, 9, 5]"
33,35,영업,02 8225972,41.0,156804,서울특별시 동작구 노량진동 271-13번지 ,서울특별시 동작구 등용로14길 68 지상1층 (노량진동),6931.0,새우네집,20170300000000.0,I,2018-08-31 23:59,분식,194209.5458,445564.3385,분식,230403199,"[98, 43, 29, 21, 21, 17, 8, 4, 26, 1, '0', '0', 1, 25, '0']"
34,36,영업,,53.48,156847,서울특별시 동작구 신대방동 345-7번지 외2필지 ,서울특별시 동작구 보라매로 94 (신대방동외2필지),7053.0,신촌찌개집(신대방삼거리점),20190700000000.0,U,2019-08-01 2:40,한식,193584.2268,443930.9914,한식,1774532901,"[62, 16, 24, 23, 6, 11, 2, '0', 3, 2, 2, '0', '0', 10, 10]"
35,37,영업,02  821 9957,121.88,156840,서울특별시 동작구 상도동 188-40 ,서울특별시 동작구 상도로 148 (상도동),6959.0,옥문,20211200000000.0,U,2021-12-07 2:40,중국식,194264.015,444500.088,중국식,1923250609,"[123, 39, 18, 27, 18, 13, 2, '0', 11, 7, 1, '0', '0', 18, 26]"
36,38,영업,02 8213330,128.17,156811,서울특별시 동작구 대방동 406-6,서울특별시 동작구 보라매로 112 (대방동),7041.0,마포숯불갈비,20220700000000.0,U,2021-12-06 23:04,한식,193609.2145,444125.5582,,20834283,"[32, 14, 6, 9, 9, 3, 3, '0', 1, 8, '0', '0', 3, 5, 15]"
37,39,영업,,49.12,156855,서울특별시 동작구 신대방동 724 보라매자이 더 포레스트,서울특별시 동작구 여의대방로22길 121 상가동 1층 1450호 (신대방동 보라매자이 더 포레스트),7056.0,백스비어 신대방삼거리역점,20220400000000.0,I,2021-12-03 22:03,호프/통닭,193441.3893,444008.6005,,1661321531,"[25, 11, 23, '0', '0', 6, 2, '0', 2, '0', 5, '0', '0', '0', '0']"
38,40,영업,,33.0,156821,서울특별시 동작구 사당동 265-12,서울특별시 동작구 사당로 229 1층 (사당동),7004.0,베베빗(bebebit),20220700000000.0,I,2021-12-06 22:08,기타,197574.1384,442391.3009,,1222713932,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
39,41,영업,02  26358854,34.81,156823,서울특별시 동작구 사당동 319-44번지 ,서울특별시 동작구 동작대로11길 104 (사당동),7012.0,조이랜드,20180500000000.0,I,2018-08-31 23:59,일식,197790.2576,442159.52,일식,1348330791,"['0', 1, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
40,42,영업,02 8150104,26.0,156807,서울특별시 동작구 대방동 20-77 ,서울특별시 동작구 등용로 100 지상1층 (대방동),6932.0,BHC대방점,20211000000000.0,U,2021-10-27 2:40,호프/통닭,193940.2371,445319.034,호프/통닭,37658155,"[39, 10, 3, 5, '0', 2, '0', '0', 2, '0', '0', '0', '0', 6, '0']"
41,43,영업,02 8248464,23.7,156811,서울특별시 동작구 대방동 415-6번지 ,서울특별시 동작구 여의대방로24가길 10 (대방동),7055.0,김가보쌈,20100100000000.0,I,2018-08-31 23:59,한식,192948.3445,444055.1439,한식,20853499,"[29, 6, 13, 3, 3, 3, '0', '0', 2, '0', '0', '0', '0', 6, '0']"
42,45,영업,02 8478367,34.8,156855,서울특별시 동작구 신대방동 708번지 해태보라매타워 ,서울특별시 동작구 보라매로3길 29 지하층 52535657호 (신대방동 해태보라매타워),7071.0,소반,20190800000000.0,U,2019-08-23 2:40,한식,193279.5991,443230.4182,한식,1629252754,"[53, 12, 16, 10, 10, 6, 2, 1, 2, '0', '0', '0', '0', 5, 2]"
43,46,영업,,69.3,156800,서울특별시 동작구 노량진동 62-11 ,서울특별시 동작구 노량진로 132 2층 (노량진동),6922.0,으스시,20220300000000.0,I,2022-03-27 0:22,일식,194675.2675,445680.2824,일식,1397535512,"[17, 14, 6, 3, 13, 9, 1, 1, 3, '0', '0', '0', 3, 7, '0']"
44,47,영업,232805959,91.62,156030,서울특별시 동작구 상도동 477-17 ,서울특별시 동작구 상도로37길 74 (상도동),6971.0,황새골손칼국수,20201100000000.0,U,2020-11-25 2:40,한식,195758.0858,443972.0029,한식,32117320,"[110, 28, 18, 22, 5, 12, 2, '0', 5, 8, '0', '0', 2, 26, 8]"
45,49,영업,,30.0,156815,서울특별시 동작구 사당동 77-63 ,서울특별시 동작구 동작대로33길 23 1층 (사당동),6997.0,고향식당,20210900000000.0,U,2021-09-03 2:40,기타,198240.4889,443069.4838,기타,1241778841,"[3, 4, 1, 2, 2, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
46,50,영업,,55.0,156813,서울특별시 동작구 본동 386-1 ,서울특별시 동작구 노량진로18길 13 (본동),6916.0,고향갈비,20211000000000.0,U,2021-10-20 2:40,한식,195572.4368,445561.6981,한식,34198804,"[130, 33, 11, 30, '0', 1, '0', '0', 2, 1, 2, '0', '0', 1, '0']"
47,51,영업,,35.52,156840,서울특별시 동작구 상도동 235-37 상현빌딩 ,서울특별시 동작구 성대로29길 1 상현빌딩 1층 (상도동),6962.0,미자네식당,20211200000000.0,U,2021-12-07 2:40,한식,194606.3065,444102.2767,한식,1640400712,"[9, 1, 5, 1, 6, 2, '0', '0', '0', '0', 2, '0', '0', 5, 1]"
48,52,영업,,30.0,156861,서울특별시 동작구 흑석동 190-22 ,서울특별시 동작구 흑석로13마길 65-3 1층 (흑석동),6910.0,일이삼식당,20201200000000.0,U,2020-12-17 2:40,한식,196312.0908,445030.115,한식,38276136,"[9, 2, 4, 4, 1, '0', '0', '0', '0', '0', '0', '0', '0', '0', 1]"
49,53,영업,02522 0888,78.24,156826,서울특별시 동작구 사당동 1031-25 ,서울특별시 동작구 동작대로3길 8 (사당동),7015.0,하선생,20220200000000.0,U,2022-02-12 2:40,중국식,198244.9975,441807.7842,중국식,1752865998,"[22, 8, 7, 8, '0', 3, '0', '0', 4, 1, '0', '0', 1, 4, 2]"
50,54,영업,,20.5,156853,서울특별시 동작구 신대방동 621-2 ,서울특별시 동작구 신대방2길 32 1층 (신대방동),7066.0,피크닉존,20210900000000.0,I,2021-09-03 0:22,기타,192238.2368,442974.2352,기타,1888800489,"['0', 38, 24, '0', '0', 30, 32, '0', 34, '0', '0', '0', 2, '0', '0']"
51,56,영업,,42.0,156855,서울특별시 동작구 신대방동 724 보라매자이 더 포레스트,서울특별시 동작구 여의대방로22길 121 제상가동 1층 1416호 (신대방동 보라매자이 더 포레스트),7056.0,바른치킨 신대방삼거리점,20220600000000.0,I,2021-12-07 0:02,호프/통닭,193441.3893,444008.6005,,1310933611,"[21, 10, 4, 6, '0', 6, '0', '0', 10, '0', '0', '0', '0', 8, '0']"
52,57,영업,02 8136114,266.8,156813,서울특별시 동작구 노량진동 330번지 지층 ,서울특별시 동작구 만양로 84 (노량진동 지층),6914.0,바다회상,20200500000000.0,U,2020-05-06 2:40,일식,195079.2655,445413.2884,일식,1551302676,"[17, 12, 2, 2, 2, 6, '0', '0', 1, 6, 2, '0', '0', 8, 7]"
53,58,영업,02 8429322,27.04,156838,서울특별시 동작구 상도동 195-46 ,서울특별시 동작구 상도로22길 10 1층 (상도동),6959.0,우리포차,20211100000000.0,U,2021-11-11 2:40,한식,194318.5487,444502.1729,한식,1204724406,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
54,59,영업,02 8171923,60.96,156801,서울특별시 동작구 노량진동 125-16 ,서울특별시 동작구 만양로14가길 16 (노량진동),6913.0,엄마손부침개,20211000000000.0,U,2021-10-20 2:40,분식,195087.6052,445551.0076,분식,20926421,"[8, 3, 12, 5, '0', '0', '0', 1, 1, 2, 1, '0', '0', '0', 3]"
55,60,영업,,28.84,156824,서울특별시 동작구 사당동 1006-20 ,서울특별시 동작구 동작대로21길 36 103호 (사당동),7013.0,_사이,20210500000000.0,I,2021-05-13 0:22,기타,198137.7594,442421.2306,기타,1722601761,"[35, 15, 5, 5, '0', 8, 11, 11, 14, 10, 4, '0', '0', 18, 4]"
56,62,영업,,95.58,156816,서울특별시 동작구 사당동 145-28 2층 ,서울특별시 동작구 동작대로27가길 31 (사당동 2층),7008.0,맥주마트,20211100000000.0,U,2021-11-19 2:40,경양식,198266.8856,442662.6023,경양식,31487688,"[4, 5, 3, '0', '0', 2, '0', '0', 1, 1, '0', '0', '0', '0', '0']"
57,63,영업,02813 4540,96.84,156861,서울특별시 동작구 흑석동 190-26번지 ,서울특별시 동작구 흑석로 83-1 지상1층 (흑석동),6910.0,더진국 중앙대점,20180700000000.0,I,2018-08-31 23:59,한식,196287.9985,445003.7856,한식,1326895559,"[34, 7, 20, 12, 16, 11, 1, '0', 2, 1, '0', '0', '0', 1, 7]"
58,64,영업,,30.16,156801,서울특별시 동작구 노량진동 124-9번지 ,서울특별시 동작구 만양로14길 21 (노량진동),6913.0,피자보이시나,20150800000000.0,I,2018-08-31 23:59,기타,195101.5426,445516.5017,기타,37072828,"[102, 19, 57, 18, 12, 8, 1, '0', 6, 3, '0', '0', '0', 12, 1]"
59,65,영업,02  842 7755,342.48,156728,서울특별시 동작구 신대방동 395-66 보라매삼성쉐르빌 ,서울특별시 동작구 보라매로5길 43 1층 112113114호 (신대방동 보라매삼성쉐르빌),7071.0,신도세기보라매,20210300000000.0,I,2021-03-24 0:23,한식,193153.177,443251.1214,한식,1574208667,"[108, 37, 8, 14, 3, 21, 18, 12, 26, 21, 1, '0', '0', 33, 24]"
60,66,영업,02825 5952,61.64,156030,서울특별시 동작구 상도동 502-6번지 동운빌딩 ,서울특별시 동작구 사당로 14 1층 (상도동),7027.0,숭실대중문 한솥도시락,20180300000000.0,I,2018-08-31 23:59,한식,196034.3082,443674.6169,한식,1258501482,"[55, 20, 39, 11, 19, 7, '0', '0', 5, 1, 1, '0', 1, 12, 1]"
61,67,영업,226193848,30.7,156030,서울특별시 동작구 상도동 315-22번지 ,서울특별시 동작구 성대로2길 7 1층 (상도동),7042.0,가마솥장우왕족발,20200600000000.0,U,2020-06-25 2:40,한식,193893.764,444126.4685,한식,13156362,"[159, 41, 77, 29, 1, 7, 1, 1, 4, '0', 1, '0', 2, 22, 1]"
62,68,영업,234774467,86.5,156819,서울특별시 동작구 사당동 257-26,서울특별시 동작구 사당로17나길 2 (사당동),7004.0,진미 순대국,20220700000000.0,U,2021-12-06 23:07,한식,197570.6478,442422.8288,,20845950,"[24, 14, 9, 6, 7, 1, '0', 1, 1, '0', 2, '0', 1, 5, 1]"
63,69,영업,070 82518079,19.0,156841,서울특별시 동작구 상도동 211-59번지 1층 101호 ,서울특별시 동작구 양녕로28길 22 (상도동 1층 101호),7036.0,동네카페 고커피,20140400000000.0,I,2018-08-31 23:59,까페,195057.0586,444020.5121,까페,1775358137,"['0', 2, 1, '0', '0', '0', 1, '0', '0', '0', '0', '0', 1, '0', '0']"
64,70,영업,02816 2443,43.5,156030,서울특별시 동작구 상도동 414번지 ,서울특별시 동작구 만양로 26 1층 104105호 (상도동 건영(아)상가동),6918.0,홈런호프치킨,20191200000000.0,U,2019-12-18 2:40,호프/통닭,195489.4234,444995.6756,호프/통닭,1715706637,"[61, 22, 16, 12, 1, 6, 2, 1, 8, 5, 1, '0', 2, 11, 3]"
65,71,영업,02535 5797,132.0,156820,서울특별시 동작구 사당동 324-4,서울특별시 동작구 사당로 259 1층 (사당동),7005.0,밀양손만두,20220300000000.0,U,2021-12-04 0:02,한식,197839.4566,442396.9145,,1347261647,"[34, 12, 1, 9, 2, 8, 1, 1, 3, 2, '0', '0', 1, 10, 7]"
66,72,영업,263267470,34.61,156826,서울특별시 동작구 사당동 1030-1번지 ,서울특별시 동작구 사당로30길 97 1층 (사당동),7015.0,하노이별,20200500000000.0,U,2020-05-20 2:40,외국음식전문점(인도태국등),198239.6276,442037.4671,외국음식전문점(인도태국등),37049840,"[99, 29, 12, 18, 38, 8, 2, '0', 10, 1, 1, '0', 2, 19, 1]"
67,73,영업,,39.54,156857,서울특별시 동작구 흑석동 50-24 ,서울특별시 동작구 서달로14길 16 (흑석동),6979.0,원조소금구이,20211000000000.0,U,2021-10-06 2:40,한식,196733.4982,445072.0151,한식,20937716,"[63, 15, 14, 10, 1, 2, 3, 1, 12, 4, '0', '0', 2, 12, 1]"
68,74,영업,,71.52,156816,서울특별시 동작구 사당동 145-13 ,서울특별시 동작구 동작대로27가길 38 3층 (사당동),7008.0,힛지(HITG),20201100000000.0,I,2020-11-21 0:23,기타,198246.8363,442635.1228,기타,1578938683,"[9, 6, 3, '0', '0', 3, 3, '0', 1, 1, 5, '0', '0', '0', '0']"
69,75,영업,02 8245830,29.7,156800,서울특별시 동작구 노량진동 36-5 ,서울특별시 동작구 노량진로8길 35 (노량진동),6928.0,원조마포갈비,20201200000000.0,U,2020-12-05 2:40,한식,194390.7938,445604.7429,한식,20834283,"[32, 14, 6, 9, 9, 3, 3, '0', 1, 8, '0', '0', 3, 5, 15]"
70,76,영업,,53.55,156811,서울특별시 동작구 대방동 407-46번지 더킴벌리빌딩 ,서울특별시 동작구 여의대방로24길 129 더킴벌리빌딩 1층 (대방동),7055.0,딱새우407,20200200000000.0,I,2020-02-07 0:23,기타,193491.1055,444130.6096,기타,1090345629,"[27, 10, 9, 3, '0', 5, 1, 2, 8, '0', 1, '0', '0', 14, '0']"
71,77,영업,,51.61,156881,서울특별시 동작구 상도1동 509-2 ,서울특별시 동작구 매봉로 51 1층 (상도1동),6919.0,빅토리아 가든,20210200000000.0,I,2021-02-24 0:23,기타,195643.1911,444999.6264,기타,1416585634,"['0', 8, 1, '0', '0', 4, 4, '0', '0', '0', 1, '0', 1, '0', '0']"
72,78,영업,02 8357066,128.0,156811,서울특별시 동작구 대방동 402-2 ,서울특별시 동작구 상도로 26 지상1층 (대방동),,보라매25시해장국,20211200000000.0,U,2021-12-26 2:40,한식,193148.2109,444164.9818,한식,19036473,"[70, 18, 46, 26, 24, 2, 1, 1, 3, 2, 6, '0', '0', 5, 10]"
73,79,영업,,55.08,156807,서울특별시 동작구 대방동 23-26 ,서울특별시 동작구 등용로 112 (대방동),6932.0,맛짱갈비,20201200000000.0,U,2020-12-18 2:40,한식,193937.1119,445434.8304,한식,1816099381,"[20, 6, 5, 3, 2, 1, '0', '0', 2, 1, '0', '0', '0', 3, 2]"
74,80,영업,,133.43,156811,서울특별시 동작구 대방동 407-29 ,서울특별시 동작구 여의대방로24길 141 2층 (대방동),7055.0,엉터리생고기,20201100000000.0,U,2020-11-13 2:40,통닭(치킨),193557.0607,444112.2946,통닭(치킨),37615390,"[52, 26, 47, 44, 1, '0', 2, 1, 1, 12, 1, '0', 1, 20, 3]"
75,81,영업,,31.6,156817,서울특별시 동작구 사당동 161-106,서울특별시 동작구 사당로27길 54 1층 (사당동),7007.0,이수집밥,20220300000000.0,U,2021-12-04 0:01,한식,197883.1926,442658.5094,,1802963582,"[4, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
76,82,영업,02 8467604,19.0,156710,서울특별시 동작구 신대방동 395-68 보라매나산스위트 지하동 49호,서울특별시 동작구 보라매로5가길 24 지하동 49호 (신대방동보라매나산스위트),7071.0,나눔,20201200000000.0,U,2020-12-03 2:40,분식,193204.7822,443168.5136,분식,1175323625,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
77,83,영업,02 5226621,89.3,156827,서울특별시 동작구 사당동 1040-4 ,서울특별시 동작구 동작대로7길 65 1층 (사당동),7025.0,오드리곱창,20211200000000.0,U,2021-12-09 2:40,한식,198086.5664,441754.7984,한식,1139062420,"[163, 83, 45, 51, 3, 53, 4, 6, 28, 30, 3, '0', 1, 81, 22]"
