"업소아이디","업소명","분류코드","분류코드명","업소 주소","업소 전화번호","추천수","상품명","상품가격(일반)(원)"
"00009615","동일이용원","005","이 미용업","서울특별시 서울 마포구 성미산로1길 30","02-333-0771","0","염색","20000"
"00009615","동일이용원","005","이 미용업","서울특별시 서울 마포구 성미산로1길 30","02-333-0771","0","커트","10000"
"00009615","동일이용원","005","이 미용업","서울특별시 서울 마포구 성미산로1길 30","02-333-0771","0","면도","10000"
"00009614","은경미용실","005","이 미용업","서울특별시 서울 마포구 월드컵로28길 6","02-334-6262","0","파마","20000"
"00009614","은경미용실","005","이 미용업","서울특별시 서울 마포구 월드컵로28길 6","02-334-6262","0","커트","10000"
"00009613","태양미용실","005","이 미용업","서울특별시 서울 마포구 월드컵북로 207","02-375-3912","0","파마","30000"
"00009613","태양미용실","005","이 미용업","서울특별시 서울 마포구 월드컵북로 207","02-375-3912","0","커트","10000"
"00009612","현 미용실","005","이 미용업","서울특별시 서울 마포구 성미산로1길 5","","0","커트","10000"
"00009612","현 미용실","005","이 미용업","서울특별시 서울 마포구 성미산로1길 5","","0","파마","35000"
"00009611","조은사진관","013","기타서비스업종","서울특별시 서울 마포구 월드컵북로 230","02-375-7755","0","촬영료","15000"
"00009611","조은사진관","013","기타서비스업종","서울특별시 서울 마포구 월드컵북로 230","02-375-7755","0","인화료(장당)","400"
"00009610","카페매일이기념일","004","기타외식업(다방패스트푸드등)","서울특별시 서울 도봉구 우이천로24길 69(쌍문동)","","0","커피","1500"
"00009610","카페매일이기념일","004","기타외식업(다방패스트푸드등)","서울특별시 서울 도봉구 우이천로24길 69(쌍문동)","","0","에스프레소","1500"
"00009609","엄마가","001","한식","서울특별시 관악구 신림로 280 1층(신림동)","","0","김치볶음밥","5500"
"00009609","엄마가","001","한식","서울특별시 관악구 신림로 280 1층(신림동)","","0","쫄면","4500"
"00009609","엄마가","001","한식","서울특별시 관악구 신림로 280 1층(신림동)","","0","김밥","2000"
"00009608","바른꽈배기","004","기타외식업(다방패스트푸드등)","서울특별시 관악구 은천로 92 103호(봉천동)","02-877-7863","0","핫도그","1300"
"00009608","바른꽈배기","004","기타외식업(다방패스트푸드등)","서울특별시 관악구 은천로 92 103호(봉천동)","02-877-7863","0","꽈배기(3개)","2000"
"00009607","명태본가","001","한식","서울특별시 서울 구로구 구로중앙로19길 20","02-861-0303","0","",""
"00009606","고창국수","001","한식","서울특별시 서울 구로구 디지털로33길 48 대륭포스트타워7차 B108호 ","0507-1415-7751","0","",""
"00009605","윤경이네","001","한식","서울특별시 서울 구로구 도림로 36 지층 ","0507-1349-4956","0","",""
"00009604","포에리얼 떡볶이","001","한식","서울특별시 서울 구로구 경인로 403 A동 105호 ","02.","0","",""
"00009603","꿀꿀이생고기맛집","001","한식","서울특별시 서울 구로구 중앙로 32","02-2686-2049","0","",""
"00009601","이펜세탁소","007","세탁업","서울특별시 서울 구로구 천왕로 10 천왕이펜하우스 5단지 상가 101호","0507-1322-6703","0","",""
"00009600","행촌","001","한식","서울특별시 서울 도봉구 우이천로34길 10(쌍문동)","02-902-5688","0","청국장","8000"
"00009600","행촌","001","한식","서울특별시 서울 도봉구 우이천로34길 10(쌍문동)","02-902-5688","0","순두부찌개","6000"
"00009599","남성이용원","005","이 미용업","서울특별시 서울 도봉구 도봉로109길 35-27(쌍문동)","","0","남성커트","5000"
"00009598","쌍문이용원","005","이 미용업","서울특별시 서울 도봉구 방학로3길 108(쌍문동)","02-990-6800","0","남성커트","7000"
"00009597","이지헤어","005","이 미용업","서울특별시 서울 도봉구 도봉로130길 31(창동)","","0","커트","7000"
"00009597","이지헤어","005","이 미용업","서울특별시 서울 도봉구 도봉로130길 31(창동)","","0","염색","15000"
"00009596","서울미용실","005","이 미용업","서울특별시 서울 도봉구 시루봉로 56(쌍문동)","02-999-3147","0","파마","25000"
"00009596","서울미용실","005","이 미용업","서울특별시 서울 도봉구 시루봉로 56(쌍문동)","02-999-3147","0","커트","10000"
"00009595","도깨비머리방","005","이 미용업","서울특별시 서울 도봉구 방학로6가길 76(방학동)","02-3494-4724","0","커트(경로우대)","5000"
"00009595","도깨비머리방","005","이 미용업","서울특별시 서울 도봉구 방학로6가길 76(방학동)","02-3494-4724","0","파마","20000"
"00009595","도깨비머리방","005","이 미용업","서울특별시 서울 도봉구 방학로6가길 76(방학동)","02-3494-4724","0","커트","6000"
"00009594","서울진우동덮밥","001","한식","서울특별시 강동구 성내로 11107호","070-8779-3215","0","진온국수","5900"
"00009594","서울진우동덮밥","001","한식","서울특별시 강동구 성내로 11107호","070-8779-3215","0","새싹비빔밥","6500"
"00009593","미소분식","001","한식","서울특별시 강동구 성내로3가길 7 1층(성내동)","02-474-2884","0","아침국밥","3000"
"00009593","미소분식","001","한식","서울특별시 강동구 성내로3가길 7 1층(성내동)","02-474-2884","0","청국장","7000"
"00009592","세아이용원","005","이 미용업","서울특별시 강동구 천중로27-18 104호","전화 없음","0","이발","6000"
"00009592","세아이용원","005","이 미용업","서울특별시 강동구 천중로27-18 104호","전화 없음","0","염색","7000"
"00009591","경희사","007","세탁업","서울특별시 서울 동작구 서달로10길 16","02-812-3947","0","양복세탁료","6000"
"00009590","남원추어탕","001","한식","서울특별시 서울 동작구 여의대방로 250 지하1층 14호","02-812-2047","0","추어탕","9000"
"00009589","섬마을일식","003","경양식일식","서울특별시 서울 동작구 여의대방로 22 지하1층 14호","02-848-2199","0","모듬초밥10pcs","10000"
"00009588","신대방대박찹쌀꽈배기","004","기타외식업(다방패스트푸드등)","서울특별시 서울 동작구 신대방길 105","02-848-0307","0","꽈배기3개","2000"
"00009587","상도칼국수","001","한식","서울특별시 서울 동작구 성대로 40","02-813-7500","0","김치찌개","7000"
"00009587","상도칼국수","001","한식","서울특별시 서울 동작구 성대로 40","02-813-7500","0","백반","7000"
"00009586","동가보쌈","001","한식","서울특별시 서울 동작구 성대로6길 10","02-3280-3023","0","제육볶음","8000"
"00009586","동가보쌈","001","한식","서울특별시 서울 동작구 성대로6길 10","02-3280-3023","0","청국장","8000"
"00009585","이가떡방","004","기타외식업(다방패스트푸드등)","서울특별시 서울 동작구 국사봉1길 70","02-816-2388","0","떡1팩","2500"
"00009584","남원추어탕아구찜","001","한식","서울특별시 서울 동작구 사당로29길 1","02-595-4271","0","추어탕","9000"
"00009583","명동국수","001","한식","서울특별시 서울 동작구 상도로41길 12","없음","0","잔치국수","4000"
"00009582","큰손갈비","001","한식","서울특별시 서울 동작구 장승배기로27길 7","02-813-8081","0","돼지갈비250g(국내산)","15000"
"00009582","큰손갈비","001","한식","서울특별시 서울 동작구 장승배기로27길 7","02-813-8081","0","김치찌개","7000"
"00009581","행운이발관","005","이 미용업","서울특별시 노원구 화랑로449 2층1호(공릉동)","","0","이용료(커트)","6000"
"00009580","연스튜디오","013","기타서비스업종","서울특별시 서울 금천구 시흥대로 190","02-802-0286","0","여권 증명사진","10000"
"00009579","알리파스타","001","한식","서울특별시 논현로 151길 29 1층","02-518-1125","0","클래식","5500"
"00009579","알리파스타","001","한식","서울특별시 논현로 151길 29 1층","02-518-1125","0","통새우볶음밥","6000"
"00009579","알리파스타","001","한식","서울특별시 논현로 151길 29 1층","02-518-1125","0","알리오올리오","6500"
"00009578","선자네","001","한식","서울특별시 서울 마포구 잔다리로 131 1층","02-326-5151","0","비빔밥","7000"
"00009578","선자네","001","한식","서울특별시 서울 마포구 잔다리로 131 1층","02-326-5151","0","콩나물국밥","6000"
"00009578","선자네","001","한식","서울특별시 서울 마포구 잔다리로 131 1층","02-326-5151","0","된장찌개백반","6000"
"00009578","선자네","001","한식","서울특별시 서울 마포구 잔다리로 131 1층","02-326-5151","0","김치찌개백반","6000"
"00009577","명품헤어샵","005","이 미용업","서울특별시 서울 마포구 월드컵로23길 25","02-3141-2989","0","파마","30000"
"00009577","명품헤어샵","005","이 미용업","서울특별시 서울 마포구 월드컵로23길 25","02-3141-2989","0","커트","8000"
"00009576","현미프로헤어","005","이 미용업","서울특별시 서울 성동구 무학봉15길 17-1","2281-3040","0","커트(경로)","10000"
"00009576","현미프로헤어","005","이 미용업","서울특별시 서울 성동구 무학봉15길 17-1","2281-3040","0","펌(경로)","30000"
"00009576","현미프로헤어","005","이 미용업","서울특별시 서울 성동구 무학봉15길 17-1","2281-3040","0","커트(학생)","8000"
"00009575","전주식당","001","한식","서울특별시 서울 성동구 무학봉15가길 1","2295-0517","0","간장게장","10000"
"00009575","전주식당","001","한식","서울특별시 서울 성동구 무학봉15가길 1","2295-0517","0","백반","6000"
"00009575","전주식당","001","한식","서울특별시 서울 성동구 무학봉15가길 1","2295-0517","0","자반구이","10000"
"00009574","고시칼국수","001","한식","서울특별시 서울 관악구 신림로18가길 42","070-7803-0001","0","칼국수","5000"
"00009574","고시칼국수","001","한식","서울특별시 서울 관악구 신림로18가길 42","070-7803-0001","0","냉면","6000"
"00009573","마마떼","004","기타외식업(다방패스트푸드등)","서울특별시 서울 관악구 대학6길 36 1층","02-887-6262","0","카페라떼","3500"
"00009573","마마떼","004","기타외식업(다방패스트푸드등)","서울특별시 서울 관악구 대학6길 36 1층","02-887-6262","0","아메리카노","3000"
"00009572","황태사랑","001","한식","서울특별시 테헤란로 322 지하2층","02-2183-1005","0","제육정식","7000"
"00009572","황태사랑","001","한식","서울특별시 테헤란로 322 지하2층","02-2183-1005","0","황태들깨미역국","6500"
"00009572","황태사랑","001","한식","서울특별시 테헤란로 322 지하2층","02-2183-1005","0","제육돌솥비빔밥","6500"
"00009571","삼탱이시래기밥","001","한식","서울특별시 테헤란로 322 지하2층","02-2183-3078","0","시래기밥정식","8000"
"00009571","삼탱이시래기밥","001","한식","서울특별시 테헤란로 322 지하2층","02-2183-3078","0","들깨시래기국밥","6000"
"00009570","명가 홍삼을담다","004","기타외식업(다방패스트푸드등)","서울특별시 서울 양천구 남부순환로69길 13","02-2699-2516","0","",""
"00009569","로데헤어 망원점","005","이 미용업","서울특별시 서울 마포구 월드컵로31길 48 1층","02-704-8289","0","파마","25000"
"00009569","로데헤어 망원점","005","이 미용업","서울특별시 서울 마포구 월드컵로31길 48 1층","02-704-8289","0","커트","10000"
"00009568","해피하우스소정","001","한식","서울특별시 서울 마포구 성산로 128 지하1층","02-336-4897","0","된장찌개백반","6500"
"00009568","해피하우스소정","001","한식","서울특별시 서울 마포구 성산로 128 지하1층","02-336-4897","0","김치찌개백반","6500"
"00009567","부산미용","005","이 미용업","서울특별시 서울 마포구 숭문길 186","","0","커트","10000"
"00009567","부산미용","005","이 미용업","서울특별시 서울 마포구 숭문길 186","","0","파마","25000"
"00009566","자유느낌헤어클럽","005","이 미용업","서울특별시 서울 마포구 광성로6길 8","02-719-1104","0","파마","30000"
"00009566","자유느낌헤어클럽","005","이 미용업","서울특별시 서울 마포구 광성로6길 8","02-719-1104","0","커트","9000"
"00009565","한화세탁","007","세탁업","서울특별시 서울 마포구 마포대로 33","02-706-6603","0","의복수선료","4000"
"00009565","한화세탁","007","세탁업","서울특별시 서울 마포구 마포대로 33","02-706-6603","0","양복세탁료","7000"
"00009564","일일사","007","세탁업","서울특별시 서울 마포구 대흥로9길 28 1층","02-715-5728","0","의복수선료","3000"
"00009564","일일사","007","세탁업","서울특별시 서울 마포구 대흥로9길 28 1층","02-715-5728","0","양복세탁료","7000"
"00009563","수도미용실","005","이 미용업","서울특별시 서울 마포구 굴레방로7길 26","","0","파마","25000"
"00009563","수도미용실","005","이 미용업","서울특별시 서울 마포구 굴레방로7길 26","","0","커트","7000"
"00009562","로뎀미용실","005","이 미용업","서울특별시 서울 마포구 숭문길 217","","0","파마","30000"
"00009562","로뎀미용실","005","이 미용업","서울특별시 서울 마포구 숭문길 217","","0","커트","10000"
"00009561","준헤어필","005","이 미용업","서울특별시 서울 마포구 월드컵북로 125 1층","02-332-5532","0","파마","35000"
"00009561","준헤어필","005","이 미용업","서울특별시 서울 마포구 월드컵북로 125 1층","02-332-5532","0","커트","12000"
"00009560","옛날무쇠가마솥","001","한식","서울특별시 서울 마포구 서강로1길 12-5 1층","2-323-7098","0","된장찌개백반","6000"
"00009560","옛날무쇠가마솥","001","한식","서울특별시 서울 마포구 서강로1길 12-5 1층","2-323-7098","0","물냉면","4000"
"00009560","옛날무쇠가마솥","001","한식","서울특별시 서울 마포구 서강로1길 12-5 1층","2-323-7098","0","비빔밥","6000"
"00009560","옛날무쇠가마솥","001","한식","서울특별시 서울 마포구 서강로1길 12-5 1층","2-323-7098","0","김치찌개백반","7000"
"00009559","만두의정석","004","기타외식업(다방패스트푸드등)","서울특별시 동작구 국사봉1길 45 103호","02-6349-6349","0","고기만두","5000"
"00009559","만두의정석","004","기타외식업(다방패스트푸드등)","서울특별시 동작구 국사봉1길 45 103호","02-6349-6349","0","옛날찐빵","5000"
"00009558","황금오리","001","한식","서울특별시 동작구 신대방길 112-2","02-831-6787","0","오리훈제","43000"
"00009557","일이삼식당","001","한식","서울특별시 동작구 흑석로13마길 65-3 1층","02-814-6961","0","제육볶음","7000"
"00009556","그린사","007","세탁업","서울특별시 동작구 사당로14길 63","02-3472-6974","0","양복세탁료","7000"
"00009555","모아세탁소","007","세탁업","서울특별시 동작구 사당로26길 106 1층","02-585-0245","0","양복세탁료","7000"
"00009555","모아세탁소","007","세탁업","서울특별시 동작구 사당로26길 106 1층","02-585-0245","0","수선료","4000"
"00009554","최신이용원","005","이 미용업","서울특별시 동작구 사당로23아길 6","없음","0","커트","7000"
"00009554","최신이용원","005","이 미용업","서울특별시 동작구 사당로23아길 6","없음","0","염색","15000"
"00009553","고투콜라헤어","005","이 미용업","서울특별시 동작구 사당로2차길 72","02-586-5080","0","파마","20000"
"00009553","고투콜라헤어","005","이 미용업","서울특별시 동작구 사당로2차길 72","02-586-5080","0","커트","8000"
"00009552","삼락","001","한식","서울특별시 동작구 여의대방로36길 10-11","02-812-6741","0","삼겹살(200g)","15000"
"00009551","실비촌","001","한식","서울특별시 동작구 여의대방로 250 105호(대림쇼핑타운)","없음","0","김치찌개","7000"
"00009551","실비촌","001","한식","서울특별시 동작구 여의대방로 250 105호(대림쇼핑타운)","없음","0","칡물냉면","7000"
"00009550","태원","002","중식","서울특별시 동작구 등용로 81 1층","02-815-5155","0","짬뽕","7500"
"00009550","태원","002","중식","서울특별시 동작구 등용로 81 1층","02-815-5155","0","짜장면","6000"
"00009549","호순네집","001","한식","서울특별시 동작구 등용로 107 1층","02-812-9185","0","김치찌개","7000"
"00009548","정가네밥상","001","한식","서울특별시 동작구 노량진로10길 28 1층","없음","0","백반","6000"
"00009547","황토정","001","한식","서울특별시 동작구 서달로13길 5-23","02-814-4467","0","부대찌개","7000"
"00009547","황토정","001","한식","서울특별시 동작구 서달로13길 5-23","02-814-4467","0","돼지갈비(250g)","14000"
"00009546","준호가만드는부대찌개","001","한식","서울특별시 동작구 흑석로13마길 61 1층","02-6083-8247","0","부대찌개","7500"
"00009545","남매이야기","001","한식","서울특별시 동작구 현충로 102 1층","02-813-2399","0","돼지갈비(250g)","13500"
"00009544","산천칡냉면","001","한식","서울특별시 동작구 사당로12길 2 2층","02-3472-2849","0","칡비빔냉면","8000"
"00009544","산천칡냉면","001","한식","서울특별시 동작구 사당로12길 2 2층","02-3472-2849","0","칡물냉면","8000"
"00009543","마포곱창","001","한식","서울특별시 동작구 사당로 185","02-532-9171","0","모듬곱창(250g)","20000"
"00009543","마포곱창","001","한식","서울특별시 동작구 사당로 185","02-532-9171","0","막창(300g)","20000"
"00009542","고향갈비","001","한식","서울특별시 동작구 노량진로18길 13","02-813-3033","0","백반","6500"
"00009542","고향갈비","001","한식","서울특별시 동작구 노량진로18길 13","02-813-3033","0","백반","6500"
"00009541","달길포차","001","한식","서울특별시 동작구 사당로30길 63 1층","없음","0","동태찌개","8000"
"00009541","달길포차","001","한식","서울특별시 동작구 사당로30길 63 1층","없음","0","제육볶음","7000"
"00009540","계단집","001","한식","서울특별시 동작구 현충로 94 2층","02-821-9867","0","김치찌개","7000"
"00009540","계단집","001","한식","서울특별시 동작구 현충로 94 2층","02-821-9867","0","오겹살(160g)","13000"
"00009539","이화세탁소","007","세탁업","서울특별시 동작구 장승배기로 26 107호(현대아파트 상가동)","02-814-2677","0","양복세탁료","7000"
"00009539","이화세탁소","007","세탁업","서울특별시 동작구 장승배기로 26 107호(현대아파트 상가동)","02-814-2677","0","수선료","3000"
"00009538","백양세탁소","007","세탁업","서울특별시 동작구 여의대방로22아길 30","02-816-9277","0","양복세탁료","7000"
"00009537","우성세탁소","007","세탁업","서울특별시 동작구 노량진로28길 14","02-814-6462","0","양복세탁료","7000"
"00009537","우성세탁소","007","세탁업","서울특별시 동작구 노량진로28길 14","02-814-6462","0","수선료","4000"
"00009536","빗과결사이","005","이 미용업","서울특별시 동작구 등용로 102","02-812-5108","0","커트","10000"
"00009536","빗과결사이","005","이 미용업","서울특별시 동작구 등용로 102","02-812-5108","0","파마","30000"
"00009535","영미용실","005","이 미용업","서울특별시 동작구 동작대로35길 13","02-532-0553","0","커트","8000"
"00009535","영미용실","005","이 미용업","서울특별시 동작구 동작대로35길 13","02-532-0553","0","파마","25000"
"00009534","조현호미용실","005","이 미용업","서울특별시 동작구 현충로14길 8","02-822-5142","0","파마","30000"
"00009534","조현호미용실","005","이 미용업","서울특별시 동작구 현충로14길 8","02-822-5142","0","커트","10000"
"00009533","신지헤어샵","005","이 미용업","서울특별시 동작구 성대로1길 17","02-815-3090","0","커트","10000"
"00009533","신지헤어샵","005","이 미용업","서울특별시 동작구 성대로1길 17","02-815-3090","0","파마","30000"
"00009532","미화미용실","005","이 미용업","서울특별시 동작구 노량진로12길 44","02-813-1105","0","파마","30000"
"00009532","미화미용실","005","이 미용업","서울특별시 동작구 노량진로12길 44","02-813-1105","0","커트","10000"
"00009531","신온누리에돈까스","003","경양식일식","서울특별시 동작구 여의대방로24길 107 1층","02-823-8580","0","돈까스","8000"
"00009530","풀향기칼국수","001","한식","서울특별시 동작구 보라매로 73","02-817-8881","0","바지락칼국수","7000"
"00009530","풀향기칼국수","001","한식","서울특별시 동작구 보라매로 73","02-817-8881","0","비빔밥","7000"
"00009529","모꼬지","003","경양식일식","서울특별시 동작구 장승배기로 155","02-811-1309","0","돈까스","7500"
"00009529","모꼬지","003","경양식일식","서울특별시 동작구 장승배기로 155","02-811-1309","0","김치볶음밥","6000"
"00009528","준우식당","001","한식","서울특별시 동작구 등용로 93 1층","02-815-5792","0","백반","7000"
"00009528","준우식당","001","한식","서울특별시 동작구 등용로 93 1층","02-815-5792","0","김치찌개","8000"
"00009527","정선메밀고을","001","한식","서울특별시 동작구 양녕로26길 63 2층","02-811-0730","0","냉메밀막국수","6500"
"00009527","정선메밀고을","001","한식","서울특별시 동작구 양녕로26길 63 2층","02-811-0730","0","비빔막국수","6500"
"00009526","동해해물탕","001","한식","서울특별시 동작구 양녕로22가길 67","02-814-7700","0","알탕","8000"
"00009526","동해해물탕","001","한식","서울특별시 동작구 양녕로22가길 67","02-814-7700","0","해물탕(중)","40000"
"00009525","대풍참숯갈비","001","한식","서울특별시 서울 강남구 논현로76길 8","02-564-3793","0","돼지왕갈비(200g)","15000"
"00009525","대풍참숯갈비","001","한식","서울특별시 서울 강남구 논현로76길 8","02-564-3793","0","삼결살(200g)","15000"
"00009525","대풍참숯갈비","001","한식","서울특별시 서울 강남구 논현로76길 8","02-564-3793","0","와규갈비살(150g)","20000"
"00009524","시골밥상","001","한식","서울특별시 서울 강남구 역삼동 702-13 지하1층 3호","02-561-4667","0","수제떡갈비정식","6000"
"00009524","시골밥상","001","한식","서울특별시 서울 강남구 역삼동 702-13 지하1층 3호","02-561-4667","0","비빔밥","5000"
"00009524","시골밥상","001","한식","서울특별시 서울 강남구 역삼동 702-13 지하1층 3호","02-561-4667","0","멸치국수","4000"
"00009523","제주왕뚜껑생고기","001","한식","서울특별시 서울 동작구 등용로 110","02-826-1342","0","김치찌개","7000"
"00009523","제주왕뚜껑생고기","001","한식","서울특별시 서울 동작구 등용로 110","02-826-1342","0","오겹살(200g)","15000"
"00009522","준호네 돈가스","003","경양식일식","서울특별시 서울 동작구 흑석로 85-7 1층","02-810-5500","0","등심돈까스","7000"
"00009522","준호네 돈가스","003","경양식일식","서울특별시 서울 동작구 흑석로 85-7 1층","02-810-5500","0","피자돈까스","8000"
"00009521","황제소고기국밥","001","한식","서울특별시 서울 동작구 동작대로29길 11 1층","02-594-9200","0","소고기국밥","9000"
"00009521","황제소고기국밥","001","한식","서울특별시 서울 동작구 동작대로29길 11 1층","02-594-9200","0","갈비탕","12000"
"00009520","옛날칼국수","001","한식","서울특별시 서울 동작구 상도로 296-2","02-814-2151","0","칼국수","4000"
"00009519","머리못하는 집","001","한식","서울특별시 서울 강서구 마곡서1로 115-1","02-2666-3693","0","커트","7000"
"00009519","머리못하는 집","001","한식","서울특별시 서울 강서구 마곡서1로 115-1","02-2666-3693","0","파마","25000"
"00009518","까꼬뽀꼬","005","이 미용업","서울특별시 서울 강서구 강서로45라길 35","02-2663-2445","0","커트","10000"
"00009518","까꼬뽀꼬","005","이 미용업","서울특별시 서울 강서구 강서로45라길 35","02-2663-2445","0","파마","35000"
"00009517","판도라","005","이 미용업","서울특별시 서울 강서구 마곡중앙로 59-11","02-2661-3622","0","커트","7000"
"00009517","판도라","005","이 미용업","서울특별시 서울 강서구 마곡중앙로 59-11","02-2661-3622","0","파마","30000"
"00009516","먹깨비 김밥","001","한식","서울특별시 서울 강서구 강서로 39","02-2698-0123","0","야채김밥","2000"
"00009516","먹깨비 김밥","001","한식","서울특별시 서울 강서구 강서로 39","02-2698-0123","0","만두","4000"
"00009516","먹깨비 김밥","001","한식","서울특별시 서울 강서구 강서로 39","02-2698-0123","0","떡볶이","1500"
"00009516","먹깨비 김밥","001","한식","서울특별시 서울 강서구 강서로 39","02-2698-0123","0","주먹밥","1500"
"00009514","지니카페","004","기타외식업(다방패스트푸드등)","서울특별시 서울 광진구 자양로37길 12","","0","커피","2500"
"00009514","지니카페","004","기타외식업(다방패스트푸드등)","서울특별시 서울 광진구 자양로37길 12","","0","국산차","3000"
"00009513","자양다방","004","기타외식업(다방패스트푸드등)","서울특별시 서울 광진구 자양로15길 100","","0","커피","1900"
"00009513","자양다방","004","기타외식업(다방패스트푸드등)","서울특별시 서울 광진구 자양로15길 100","","0","국산차","3500"
"00009512","옥돌바베큐","004","기타외식업(다방패스트푸드등)","서울특별시 서울 광진구 군자로 138","","0","치킨","12000"
